date,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyOtherCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyDilutedEPS,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfBusiness,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyGoodwill
2001-09-30,114562000,-127389000,266678000.0,8292729000.0,,133203000.0,0.0,133203000.0,,91311000.0,297881000,-551359000,427281000,,529051000.0,,-201233000,10670268000.0,9518636000.0,,,151819000.0,,118070000,177101000.0,240000000.0,15133000,,187143000,133203000,-107978000,238970000,-101251000,102303000,,,10033000.0,1256747000.0,7024104000.0,109631000,1151632000.0,732014000.0,-114672000,,,427281000,-7328000,1060717000,8292729000.0,86289000.0,-107978000,,369147000,311783000.0,457191000.0,773504000.0,691570000,43092000.0,698898000,6292090000.0,,,3747150000.0,,183319000,1683698000.0,183319000,3646164000.0,,,,,,,,,
2001-12-31,41120000,-139321000,290602000.0,8296686000.0,,35756000.0,0.0,35756000.0,,9996000.0,106732000,-62796000,164459000,,544121000.0,,-165163000,10418301000.0,9534479000.0,,,173419000.0,,-97447000,249973000.0,,133203000,,69370000,35756000,-96743000,-150615000,-101201000,18236000,,,-56672000.0,,6789912000.0,112471000,883822000.0,600936000.0,193663000,,,164459000,-94235000,771804000,8296686000.0,74640000.0,-96743000,,268867000,167548000.0,331925000.0,720825000.0,502937000,44742000.0,597172000,6188976000.0,,,3742346000.0,,65612000,1625886000.0,65612000,3628389000.0,,,,,,,,,
2002-03-31,47540000,-125875000,284848000.0,8368102000.0,-580000.0,32193000.0,,32193000.0,,96833000.0,123736000,83613000,198370000,,542016000.0,,-28349000,10494014000.0,9632447000.0,,,354991000.0,,-3563000,,240000000.0,35756000,,79852000,32193000,-173584000,68830000,-111382000,96509000,,,-16543000.0,1184890000.0,6899369000.0,116006000,861567000.0,676891000.0,-46119000,,158090000.0,198370000,-19497000,802249000,8368102000.0,226122000.0,-173584000,,210297000,66977000.0,324119000.0,751220000.0,591952000,45685000.0,611449000,6222478000.0,,,3742656000.0,,76196000,1604588000.0,76196000,3594645000.0,,,,,,,,,
2002-06-30,73884000,-124723000,272486000.0,8425760000.0,,325101000.0,,325101000.0,,144648000.0,193268000,53895000,197472000,,550740000.0,,291864000,10910074000.0,9710824000.0,,,910211000.0,,292908000,189838000.0,240000000.0,32193000,-514000.0,123055000,325101000,-196428000,33241000,-111337000,76883000,,,-3031000.0,1192807000.0,7307097000.0,116512000,1199250000.0,1493533000.0,-68634000,,,197472000,-39629000,924343000,8425760000.0,125011000.0,-196428000,,295862000,248836000.0,402739000.0,748600000.0,628481000,44395000.0,668110000,5813564000.0,,,3329591000.0,,119384000,1608516000.0,119384000,3602977000.0,,,,,,,,,
2002-09-30,125908000,-120779000,263100000.0,8462560000.0,,21168000.0,0.0,21168000.0,,66971000.0,330263000,-430158000,348197000,,539469000.0,,-542243000,10655799000.0,9750320000.0,,,642337000.0,,-303933000,180890000.0,240000000.0,325101000,-3188000.0,208043000,21168000,-109887000,58988000,-111351000,150120000,,,17765000.0,1285684000.0,7029660000.0,116824000,905479000.0,1181533000.0,-49735000,,,348197000,33296000,1119136000,8462560000.0,112013000.0,-109887000,,359365000,291335000.0,462113000.0,756218000.0,759771000,45441000.0,726475000,5848127000.0,,,3333993000.0,,204355000,1627566000.0,204355000,3626139000.0,,,,,,,,,
2002-12-31,45104000,329161000,261338000.0,8544494000.0,-224000.0,22685000.0,0.0,22685000.0,,36991000.0,120963000,-49979000,206790000,,861552000.0,,-20562000,10686006000.0,9845753000.0,,,1311126000.0,,1517000,259985000.0,,21168000,,79283000,22685000,-184711000,-186387000,-111106000,1184250000,,,50637000.0,,7060754000.0,115983000,840253000.0,1745445000.0,185162000,33924000.0,,206790000,-122148000,864805000,8544494000.0,110035000.0,-184711000,,304615000,137343000.0,287587000.0,624845000.0,560190000,45553000.0,682338000,5315309000.0,,,2851562000.0,,75859000,1663829000.0,75859000,3625252000.0,,,,,,,,,
2003-03-31,59073000,-58996000,267375000.0,8992792000.0,58964000.0,28603000.0,,28603000.0,,0.0,154917000,-42309000,166915000,,873104000.0,,30905000,11172087000.0,10324296000.0,,,1301858000.0,,5918000,,240000000.0,22685000,-13489000.0,99869000,28603000,-191902000,5162000,-110750000,87924000,,,14105000.0,1233218000.0,7435087000.0,117031000,847791000.0,1466171000.0,-61026000,31578000.0,105683000.0,166915000,-29107000,894561000,8992792000.0,221399000.0,-191902000,,239744000,58630000.0,265737000.0,630740000.0,654817000,45916000.0,683924000,5968916000.0,,,3089659000.0,,95844000,1696432000.0,95844000,3737000000.0,,,,,,,,,
2003-06-30,55758000,-64133000,272094000.0,9085889000.0,-59436000.0,29057000.0,,29057000.0,,70931000.0,167128000,59887000,192909000,,927157000.0,,-23358000,11387880000.0,10484138000.0,,,668009000.0,,454000,193867000.0,265000000.0,28603000,-12367000.0,116117000,29057000,-169097000,-6903000,-113009000,111605000,,,18607000.0,1232291000.0,7621719000.0,119602000,903742000.0,1123368000.0,-35044000,29165000.0,,192909000,-7997000,964556000,9085889000.0,131245000.0,-169097000,,234988000,190561000.0,310688000.0,713171000.0,729568000,47378000.0,737565000,6498351000.0,,,3536617000.0,,111370000,1724389000.0,111370000,3766161000.0,,,,,,,,,
2003-09-30,135271000,-61088000,274057000.0,9090120000.0,-235000.0,213105000.0,0.0,213105000.0,,0.0,356535000,-58764000,476438000,,618141000.0,,-169637000,11660825000.0,10516176000.0,,,1352706000.0,,184048000,235569000.0,265000000.0,29057000,-7742000.0,226012000,213105000,-122753000,-9737000,-110638000,107703000,,,26201000.0,1341257000.0,7781074000.0,117880000,1144649000.0,1770204000.0,134301000,26684000.0,181929000.0,476438000,-10177000,1216134000,9090120000.0,117099000.0,-122753000,,424098000,,396544000.0,723682000.0,792036000,46950000.0,802213000,6010870000.0,,,3012302000.0,,221264000,1743817000.0,221264000,3879751000.0,,,,,,,,,
2003-12-31,40276000,149854000,298683000.0,9733124000.0,-236000.0,42752000.0,25000000.0,42752000.0,,0.0,102875000,40246000,281832000,,857278000.0,,-238174000,12070624000.0,11195415000.0,,,665842000.0,,-170353000,297331000.0,,213105000,,30812000,42752000,-214011000,1949000,-113984000,1311828000,,,94241000.0,,8197452000.0,112572000,875209000.0,1168826000.0,10105000,36567000.0,83544000.0,281832000,-164660000,903760000,9733124000.0,54984000.0,-214011000,,328011000,122109000.0,294109000.0,1160461000.0,575749000,47811000.0,740409000,7028626000.0,,,3377148000.0,,62599000,1787385000.0,62599000,3873172000.0,,,,,,,,,
2004-03-31,57268000,-54245000,293088000.0,9830768000.0,-1438000.0,166009000.0,20000000.0,166009000.0,,,152762000,-4807000,122936000,,871583000.0,,199794000,12322347000.0,11315185000.0,,,897168000.0,,123257000,212828000.0,310000000.0,42752000,-16698000.0,100241000,166009000,-199473000,2342000,-113961000,-33765000,,,35416000.0,1271210000.0,8826676000.0,124220000,1007162000.0,1262927000.0,-121629000,33486000.0,68524000.0,122936000,-157985000,959694000,9830768000.0,63327000.0,-199473000,,360553000,84407000.0,212369000.0,1461241000.0,599141000,47279000.0,757126000,7563749000.0,,,3685444000.0,,95494000,1840337000.0,95494000,3495671000.0,,,,,,,,,
2004-06-30,72567000,-59049000,304114000.0,9901496000.0,-5000.0,27800000.0,0.0,27800000.0,,45978000.0,183559000,37750000,168917000,,890083000.0,,-126218000,12426898000.0,11420175000.0,,,711230000.0,,-138209000,201044000.0,310000000.0,166009000,4438000.0,117697000,27800000,-180908000,-26696000,-113963000,-49481000,,,49939000.0,1266102000.0,8441360000.0,114819000,1006723000.0,1138987000.0,-73182000,31015000.0,86242000.0,168917000,-164300000,1058817000,9901496000.0,71838000.0,-180908000,,403018000,94493000.0,244269000.0,981103000.0,655799000,47995000.0,820099000,7302373000.0,,,3839045000.0,,110992000,1898395000.0,110992000,3985538000.0,,,,,,,,,
2004-09-30,138834000,-53889000,289551000.0,9991106000.0,-125002000.0,28396000.0,20000000.0,28396000.0,,130791000.0,364663000,83089000,454573000,,885093000.0,,-288161000,12657945000.0,11594144000.0,,,215918000.0,,596000,292240000.0,330000000.0,27800000,-13175000.0,231901000,28396000,-165816000,-14531000,-116248000,100744000,,,35199000.0,1378374000.0,8558002000.0,134753000,1063801000.0,940602000.0,68205000,28281000.0,185048000.0,454573000,-34009000,1246373000,9991106000.0,65982000.0,-165816000,,448956000,116605000.0,302077000.0,1006413000.0,797417000,45301000.0,831426000,7617400000.0,,,4089339000.0,,225829000,1917535000.0,225829000,4099943000.0,,,,,,,,,
2004-12-31,44355000,158596000,295706000.0,10102470000.0,-600000000.0,84461000.0,0.0,84461000.0,,225005000.0,116808000,-115088000,264531000,,106263000.0,-5097930000.0,68145000,12783459000.0,11734263000.0,,,75963000.0,,56065000,339930000.0,4075251000.0,28396000,,31332000,84461000,-276611000,22051000,-116767000,1507085000,,,132304000.0,,8708208000.0,123218000,1049196000.0,852465000.0,-81549000,25056000.0,28498000.0,-532483000,1376777000,971107000,15200400000.0,47763000.0,520403000,,386829000,153381000.0,287366000.0,,584278000,535411000.0,-792499000,,,,4164536000.0,,72453000,2238868000.0,72453000,4075251000.0,,,,,,,,,
2005-03-31,13445000,-47517000,331045000.0,10195083000.0,,119544000.0,0.0,119544000.0,,,112919000,-2347000,101308000,,919830000.0,,140436000,12911672000.0,11799738000.0,,,566542000.0,,35083000,238420000.0,795046000.0,84461000,-17092000.0,105546000,119544000,-206661000,-134519000,-107217000,-87816000,,,,1332072000.0,8841163000.0,127300000,1111934000.0,940436000.0,10280000,,44203000.0,101308000,-215116000,969736000,10195083000.0,72842000.0,-206661000,,371984000,91271000.0,220704000.0,995070000.0,597752000,45457000.0,812868000,7900727000.0,,,4244806000.0,,99474000,2072928000.0,99474000,4070509000.0,,,,,,,,,
2005-06-30,78573000,-50722000,363459000.0,10266382000.0,,41148000.0,40000000.0,41148000.0,,,206138000,-95000,179653000,,930732000.0,,-68643000,13008609000.0,11886539000.0,,,646800000.0,,-78396000,245364000.0,835046000.0,119544000,-25047000.0,133637000,41148000,-189406000,-2748000,-108548000,-46169000,,,,1351093000.0,8878961000.0,120103000,1122070000.0,1025490000.0,-64725000,,39313000.0,179653000,-166272000,1085839000,10266382000.0,61918000.0,-189406000,,419131000,94013000.0,267864000.0,951952000.0,666708000,45278000.0,832980000,7853471000.0,,,4218577000.0,,127565000,2081889000.0,127565000,4129648000.0,,,,,,,,,
2005-09-30,149764000,-56566000,337047000.0,10384616000.0,,146147000.0,0.0,146147000.0,,,391921000,225000,437250000,,671181000.0,,-108119000,13522346000.0,12120039000.0,,,705678000.0,,104999000,347254000.0,835046000.0,41148000,-11607000.0,248229000,146147000,-224132000,210150000,-108344000,-34213000,,,,1484706000.0,9242533000.0,128204000,1402307000.0,1320551000.0,-134487000,,126969000.0,437250000,-162417000,1457970000,10384616000.0,114593000.0,-224132000,,605794000,140650000.0,345390000.0,897382000.0,852176000,45859000.0,1014593000,7921982000.0,,,4219400000.0,,242157000,2121718000.0,242157000,4279813000.0,,,,,,,,,
2005-12-31,42933000,154625000,346837000.0,10582832000.0,,22472000.0,0.0,22472000.0,,861923000.0,105921000,21993000,189885000,,138341000.0,-5313731000.0,3716000,13689907000.0,12495722000.0,,,129700000.0,,-118925000,456918000.0,4257772000.0,146147000,,20483000,22472000,-312526000,-94602000,-108550000,1697615000,,,,,9432135000.0,123307000,1194185000.0,1720525000.0,-14399000,,63844000.0,-670922000,1557344000,1134279000,15896563000.0,143399000.0,549147000,,517876000,176448000.0,325710000.0,,616403000,555333000.0,-940941000,,,,3869465000.0,,62988000,2369009000.0,62988000,4257772000.0,,,,,,,,,
2006-03-31,53363000,-60754000,371868000.0,10685264000.0,,123571000.0,,123571000.0,,0.0,141577000,-331566000,164418000,-228402000.0,799931000.0,,182214000,13838301000.0,12550635000.0,,,611339000.0,,101099000,302466000.0,835046000.0,22472000,-10705000.0,94286000,123571000,-245533000,-101162000,-116220000,-93123000,,,,1411138000.0,9603855000.0,129238000,1287666000.0,1122916000.0,48420000,,120713000.0,-63984000,-222361000,1072707000,10685264000.0,140302000.0,-17131000,,420518000,88398000.0,273322000.0,704762000.0,652189000,47111000.0,874550000,8480939000.0,,,4666010000.0,,88214000,2246656000.0,88214000,4234446000.0,,,,,,,,,
2006-06-30,77634000,-60027000,380670000.0,10766963000.0,,90775000.0,,90775000.0,,0.0,201811000,-8160000,136286000,-188490000.0,869015000.0,,39120000,13978822000.0,12696929000.0,,,768579000.0,,-32796000,315351000.0,875046000.0,123571000,-10868000.0,130249000,90775000,-208202000,-62542000,-116220000,-154459000,,,,1419095000.0,9695849000.0,128438000,1281893000.0,1200652000.0,-50945000,,21619000.0,-52204000,-282897000,1249424000,10766963000.0,131100000.0,-19712000,,540867000,95103000.0,322304000.0,715153000.0,708557000,47561000.0,991454000,8495197000.0,,,4644744000.0,,124177000,2293102000.0,124177000,4282973000.0,,,,,,,,,
2006-09-30,149379000,-69790000,398378000.0,10853300000.0,,155718000.0,0.0,155718000.0,,0.0,393405000,559000,392580000,-201676000.0,987276000.0,,-115661000,14330492000.0,12904870000.0,,,787616000.0,,64943000,315424000.0,875046000.0,90775000,-15643000.0,250098000,155718000,-211976000,112613000,-116220000,-84594000,,,,1546901000.0,9923728000.0,133746000,1425622000.0,1295251000.0,-109734000,,69163000.0,190904000,-218340000,1572407000,10853300000.0,116842000.0,-10300000,,676604000,123048000.0,409146000.0,735205000.0,895803000,46997000.0,1114143000,8628477000.0,,,4644957000.0,,244026000,2334878000.0,244026000,4406764000.0,,,,,,,,,
2006-12-31,49969000,208824000,408784000.0,11060737000.0,,15539000.0,80000000.0,15539000.0,,788316000.0,136016000,312873000,262727000,-314738000.0,166927000.0,-5636475000.0,-91834000,14655290000.0,13481872000.0,,,142885000.0,,-140179000,426457000.0,4644694000.0,155718000,,43097000,15539000,-311072000,67250000,-116258000,1981580000,,,,,10010596000.0,132891000,1173418000.0,1570008000.0,27482000,,3120000.0,-52011000,1833297000,1120190000,16697212000.0,113128000.0,4532000,,460909000,179534000.0,372910000.0,,659281000,596987000.0,-1174016000,,,,4148185000.0,,86047000,2404098000.0,86047000,4644694000.0,,,,,,,,,
2007-03-31,72702000,-63528000,430790000.0,11210827000.0,,16348000.0,70000000.0,16348000.0,,74794000.0,195818000,-46603000,175764000,-263712000.0,1030195000.0,,100632000,14807428000.0,13665102000.0,,,876404000.0,,809000,331826000.0,560000000.0,15539000,-2993000.0,123116000,16348000,-275587000,-24716000,-122765000,-72412000,,,,1514931000.0,10089675000.0,136060000,1142326000.0,1419401000.0,-56257000,,49592000.0,-87948000,-208472000,1197202000,11210827000.0,77802000.0,-11875000,,463424000,86785000.0,307878000.0,1213450000.0,733778000,48589000.0,942250000,8670274000.0,,,4347678000.0,,123116000,2324469000.0,123116000,4717753000.0,,,,,,,,,
2007-06-30,94182000,4410000,449578000.0,11397089000.0,,21582000.0,70000000.0,21582000.0,69575000.0,118512000.0,249536000,190717000,185423000,-291621000.0,300058000.0,-5786309000.0,217784000,15263933000.0,13719155000.0,,,176941000.0,,5234000,361449000.0,630000000.0,16348000,-750000.0,147172000,21582000,-397973000,11467000,-124433000,454821000,,,,1545851000.0,11052823000.0,135710000,1544778000.0,1556689000.0,-142727000,,74282000.0,-106198000,-244384000,1336092000,17183398000.0,74489000.0,-106352000,,555472000,102322000.0,384780000.0,,780620000,629808000.0,1025004000,,,,4594356000.0,,155354000,2261332000.0,155354000,4211110000.0,,,,,,,,,
2007-09-30,152956000,-7526000,455926000.0,11558490000.0,,307715000.0,0.0,307715000.0,65918000.0,65941000.0,407544000,120218000,537223000,-2736544000.0,277091000.0,,-4209000,15744284000.0,13864140000.0,,,195574000.0,,286133000,379354000.0,630000000.0,21582000,-2162000.0,246084000,307715000,-246881000,5736000,-124427000,612387000,,,-19531000.0,1675690000.0,11404123000.0,138925000,1880144000.0,1943168000.0,143669000,,195292000.0,-2199321000,-202556000,1635198000,11558490000.0,68630000.0,2489663000,,678609000,128763000.0,546107000.0,,956589000,629631000.0,1159145000,,,,4491428000.0,,254588000,2239167000.0,254588000,4340161000.0,,,,,,,,,
2007-12-31,31358000,13854000,470957000.0,11784097000.0,,73616000.0,89000000.0,73616000.0,79172000.0,535152000.0,114028000,-21985000,251433000,2134691000.0,209153000.0,-5950373000.0,-152636000,15746625000.0,14258626000.0,,,123053000.0,,-234099000,501695000.0,5094195000.0,307715000,,71392000,73616000,-332896000,-36662000,-124755000,331464000,,,10724000.0,,10652430000.0,138264000,1487999000.0,1424842000.0,81041000,,45958000.0,2386124000,1870248000,1191501000,17734470000.0,69876000.0,-2466721000,,503302000,189786000.0,400100000.0,,688199000,622656000.0,-1182049000,,,,4750196000.0,,82670000,2339551000.0,82670000,5094195000.0,,,,,,,,,
2008-03-31,73428000,4081000,513881000.0,12018288000.0,,86061000.0,150000000.0,86061000.0,68975000.0,70316000.0,213394000,4939000,142222000,-349684000.0,261428000.0,,195839000,16022599000.0,14461213000.0,,,195227000.0,-125000000.0,12445000,409224000.0,869000000.0,73616000,-7779000.0,130100000,86061000,-325616000,444000,-134100000,428577000,,,4513000.0,1636439000.0,11450600000.0,146208000,1561386000.0,1233571000.0,-144914000,,63655000.0,-207462000,-279429000,1336679000,12018288000.0,97400000.0,24068000,,553075000,84995000.0,386570000.0,1257092000.0,783604000,591041000.0,1063033000,,,,5051860000.0,,139966000,2250735000.0,139966000,4571999000.0,,,,,,,,,
