date,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyDilutedEPS,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGoodwill,quarterlyInventory,quarterlyNetIncomeContinuousOperations,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest
1998-09-30,-1000000.0,41100000.0,,20800000.0,119600000.0,2900000,,0.025,,232200000,,0,-49900000.0,45600000,67700000,,25600000,,66900000,290100000,14100000,,24500000,26100000,60100000,8800000,,,5800000.0,-4200000.0,22100000,5800000,,-2700000,,67600000,169728000.0,-6700000.0,-19700000,39100000.0,64000000.0,33900000,0.0225,16000000,,,39300000.0,,100000,2400000,15700000,,4300000.0,15700000,,200000.0,,133100000,15700000,-59400000,,169728000.0,4000000,-46400000.0,,0,133100000,,29700000,,0,,8900000.0,338400000,48300000,25300000,106200000
1998-12-31,300000.0,60600000.0,,21300000.0,79600000.0,29700000,,,,297500000,,0,61600000.0,-21600000,70900000,,28000000,,85100000,244000000,14200000,,76600000,101400000,109200000,27600000,,,6800000.0,-63800000.0,92500000,6800000,,25700000,12900000.0,75500000,,-7100000.0,-5500000,,55400000.0,58900000,,-58500000,,,48800000.0,,4600000,-16000000,49000000,,4100000.0,49000000,,,,127500000,49000000,-71300000,,,8900000,-129700000.0,,0,127500000,,-4900000,,0,,46800000.0,431400000,187400000,126400000,133900000
1999-03-31,-700000.0,,,24000000.0,75000000.0,44300000,,0.075,,342800000,,0,-200000.0,45000000,82100000,,31200000,,121600000,536700000,15300000,,40300000,42500000,134900000,14500000,,,11800000.0,-2700000.0,37100000,304200000,,-3000000,,85000000,174508000.0,-8700000.0,285600000,38900000.0,77300000.0,36400000,0.07,8400000,,,340800000.0,,2900000,3500000,25800000,,4800000.0,25800000,,301900000.0,,413100000,25800000,-55000000,,174508000.0,5400000,-102400000.0,,127500000,413100000,400000.0,33700000,,-100000,,43000000.0,805200000,268500000,210200000,462400000
1999-06-30,-2800000.0,,,27300000.0,121700000.0,44000000,,0.08,,378600000,,0,-300000.0,52100000,93200000,,37500000,,119000000,408100000,16700000,,43400000,46800000,162700000,15600000,,,7800000.0,-3300000.0,41100000,7800000,,-7100000,,94400000,175606000.0,-10600000.0,-178300000,43900000.0,35100000.0,35200000,0.075,8900000,,,349800000.0,,1200000,6400000,27800000,,7500000.0,27800000,,305900000.0,,234900000,27800000,-221300000,,175606000.0,5700000,-250500000.0,,0,234900000,4100000.0,31900000,39900000.0,0,,39300000.0,847400000,439300000,383300000,468800000
1999-09-30,-900000.0,57900000.0,,34300000.0,39200000.0,50200000,,0.085,-1600000.0,449300000,,179900000,-300000.0,59500000,104900000,,42400000,,116100000,412300000,21500000,,45800000,53000000,192100000,16500000,,,24000000.0,-39900000.0,45400000,23900000,,-9000000,,105800000,178318000.0,-12800000.0,-54900000,48900000.0,65900000.0,53000000,0.075,9500000,137300000.0,,358700000.0,,900000,-2300000,29300000,,8500000.0,29300000,,309800000.0,,317200000,29300000,-131900000,,178318000.0,7600000,-149600000.0,100000.0,0,179900000,4000000.0,13100000,,-100000,,65200000.0,924100000,511800000,425100000,474800000
1999-12-31,-1200000.0,10300000.0,,47400000.0,69100000.0,59600000,,,-2500000.0,533100000,,216100000,800000.0,67500000,117600000,,47800000,,137000000,570200000,31500000,,53200000,59000000,226100000,19200000,,200000.0,26800000.0,-15400000.0,50100000,26200000,,-13100000,,118100000,,-15900000.0,36200000,53900000.0,77400000.0,59400000,,10800000,222000000.0,,367800000.0,,500000,0,34000000,,7700000.0,34000000,,313900000.0,,438100000,34000000,-49300000,,,8900000,-45000000.0,200000.0,179900000,216100000,4100000.0,44000000,,0,,63400000.0,1037900000,467700000,372800000,504800000
2000-03-31,-3729000.0,53713000.0,,55527000.0,125567000.0,77424000,,0.21,7603000.0,683893000,,265142000,0.0,76739000,126350000,,53844000,,159993000,722553000,36438000,,55064000,60394000,264650000,16519000,,,38404000.0,-8670000.0,49611000,38358000,,-70423000,,127515000,208309000.0,-19089000.0,49026000,43972000.0,42671000.0,49880000,0.19,12112000,238381000.0,,361923000.0,,1165000,0,38545000,,10489000.0,38545000,,317951000.0,,503523000,38545000,-39212000,,183151000.0,10783000,-56143000.0,185000.0,216116000,265142000,4143000.0,41210000,39898000.0,0,,84107000.0,1205809000,483256000,362711000,521916000
2000-06-30,-802000.0,52392000.0,,66537000.0,101108000.0,71019000,,0.08,2375000.0,714099000,,350960000,0.0,86170000,102072000,,61638000,,151100000,794255000,42595000,,21390000,28134000,279623000,6417000,,,11723000.0,-10547000.0,15902000,11720000,,15305000,,106086000,203316000.0,-23942000.0,85818000,34099000.0,80081000.0,66864000,0.07,12300000,276065000.0,,356143000.0,,4014000,0,14973000,,8840000.0,14973000,,322044000.0,,627025000,14973000,7234000,,185356000.0,12232000,-34611000.0,186000.0,265142000,350960000,4246000.0,56317000,,-3000,,75432000.0,1221342000,427087000,309060000,507243000
2000-09-30,188000.0,114787000.0,,78538000.0,105550000.0,71973000,,0.12,-2355000.0,616239000,,322408000,0.0,84166000,110077000,,58304000,,153034000,772652000,49155000,,30881000,39241000,301240000,9264000,,,7600000.0,-11889000.0,25911000,-114312000,,-16862000,,113491000,192879000.0,-29383000.0,-28552000,24091000.0,81061000.0,47296000,0.11,12532000,286476000.0,,350312000.0,,3414000,0,21617000,,5107000.0,21617000,,326221000.0,,608884000,21617000,38464000,,185627000.0,13330000,-62444000.0,187000.0,350960000,322408000,4250000.0,35407000,,-11000,,69300000.0,1119585000,346933000,228478000,503346000
2000-12-31,581000.0,422094000.0,,90928000.0,78173000.0,78739000,-35949000.0,,-2943000.0,592875000,,375025000,-1333000.0,92863000,122745000,,65283000,,159387000,586731000,55559000,,27681000,43785000,320617000,8304000,,,17631000.0,-12426000.0,29882000,-18318000,,47550000,-13582000.0,123354000,,-35369000.0,52617000,29814000.0,80648000.0,79197000,,13677000,91612000.0,,360311000.0,,609000,-9081000,19377000,,4622000.0,19377000,,330497000.0,,466637000,19377000,-8262000,,,13903000,-416597000.0,188000.0,322408000,375025000,4350000.0,66771000,,0,,52339000.0,1112573000,525842000,417944000,519698000
2001-03-31,-649000.0,69529000.0,,108696000.0,0.0,78999000,-29868000.0,0.16,803000.0,642987000,,328123000,0.0,89904000,125500000,88850000.0,67427000,,167849000,539342000,73327000,,40187000,52700000,349552000,11252000,,,27307000.0,-24206000.0,35596000,-2561000,,-20335000,6900000.0,132812000,195669000.0,-35369000.0,-46902000,14274000.0,0.0,56876000,0.15,16173000,83981000.0,,349056000.0,43057000.0,7312000,0,28935000,,4593000.0,28935000,,334782000.0,,412104000,28935000,-101217000,,184832000.0,17104000,-146540000.0,190000.0,375025000,328123000,4362000.0,32670000,,0,,46034000.0,1159892000,620550000,482106000,516905000
2001-06-30,-530000.0,52004000.0,,114776000.0,0.0,89736000,-28722000.0,0.12,1785000.0,652433000,,215261000,-173266000.0,106279000,140051000,93242000.0,75901000,,182978000,375980000,79407000,,34927000,48870000,372446000,12033000,,,14873000.0,-8214000.0,33772000,-13852000,,-7245000,7647000.0,147274000,194001000.0,-35369000.0,-112862000,10848000.0,0.0,57360000,0.12,18150000,46917000.0,,350019000.0,55596000.0,7223000,-5691000,22894000,,4136000.0,22894000,,339171000.0,,262178000,22894000,-156370000,,184490000.0,15098000,-26894000.0,191000.0,328123000,215261000,4465000.0,49146000,,-3000,,203206000.0,1185430000,809450000,510202000,532997000
2001-09-30,167000.0,280431000.0,,115051000.0,0.0,98989000,-92872000.0,0.15,-740000.0,656041000,,162225000,0.0,113538000,145922000,88820000.0,81744000,,187809000,353131000,79682000,,40275000,54441000,400236000,12485000,,,64119000.0,-7437000.0,32384000,-21230000,,-20127000,-2824000.0,153495000,196835000.0,-35369000.0,-53036000,24514000.0,0.0,52993000,0.14,16899000,53680000.0,,368084000.0,79203000.0,7573000,4534000,27790000,,3733000.0,27790000,,343570000.0,,215905000,27790000,-84799000,,186308000.0,22057000,-347326000.0,196000.0,215261000,162225000,6400000.0,45556000,,7523000,,196390000.0,1211934000,858803000,582731000,555893000
2001-12-31,-226000.0,13669000.0,,154865000.0,21444000.0,111928000,-58760000.0,,-84000.0,647330000,,139693000,0.0,116128000,150307000,80573000.0,84249000,,192501000,346055000,90110000,,37161000,59508000,425877000,11520000,,,23070000.0,-20700000.0,34179000,-45364000,,5882000,-9252000.0,158048000,,-64755000.0,-22532000,16554000.0,0.0,62614000,,16476000,77078000.0,,368399000.0,65032000.0,7741000,40119000,25641000,,3568000.0,25641000,,351845000.0,,216771000,25641000,-39782000,,,25329000,-32730000.0,197000.0,162225000,139693000,5199000.0,41914000,,-7533000,,188977000.0,1208230000,862175000,558017000,560900000
2002-03-31,480000.0,20983000.0,,154220000.0,24147000.0,101496000,-52605000.0,0.14,-337000.0,641278000,,84570000,0.0,106616000,137558000,77888000.0,84436000,,179384000,333954000,89465000,,33784000,42938000,452566000,7095000,,,3291000.0,-8218000.0,30942000,-54394000,,-25167000,-256000.0,142310000,187465000.0,-64755000.0,-55123000,4983000.0,0.0,27901000,0.14,18849000,100468000.0,,356826000.0,79504000.0,4752000,126000,26689000,,3014000.0,26689000,,351843000.0,,185038000,26689000,-28630000,,184174000.0,11996000,-30715000.0,197000.0,139693000,84570000,4608000.0,19683000,,-5000,,185845000.0,1177488000,843534000,543245000,536210000
2002-06-30,-306000.0,31167000.0,,150022000.0,35181000.0,94122000,,0.06,6607000.0,669556000,,93301000,0.0,102422000,112698000,81026000.0,82752000,,175148000,357442000,85267000,,10849000,20771000,463415000,0,,,2106000.0,-4329000.0,10276000,-9967000,,-13445000,-1022000.0,117456000,181262000.0,-64755000.0,8731000,6738000.0,0.0,32880000,0.06,17059000,104539000.0,,356765000.0,69665000.0,4758000,-1684000,10849000,152364000.0,2438000.0,10849000,,350027000.0,,197840000,10849000,-14182000,,179935000.0,10495000,-41020000.0,197000.0,84570000,93301000,4612000.0,28551000,,-64678000,,31052000.0,1201469000,844027000,552582000,531913000
2002-09-30,-90000.0,104567000.0,,146741000.0,29882000.0,82951000,,0.1,4432000.0,599184000,,117560000,0.0,97155000,114523000,85998000.0,77363000,,168949000,364051000,81986000,,19312000,27102000,480230000,2497000,,,-1467000.0,-4555000.0,17368000,-105475000,,24710000,-3732000.0,118898000,175891000.0,-64755000.0,24259000,3604000.0,0.0,63714000,0.1,17146000,129250000.0,,340725000.0,51895000.0,4375000,-821000,16815000,,2538000.0,16815000,,337121000.0,,246810000,16815000,66020000,,175127000.0,9734000,-33992000.0,197000.0,93301000,117560000,4303000.0,59159000,,66724000,,181013000.0,1108858000,744807000,458802000,509674000
2002-12-31,303000.0,236737000.0,,167014000.0,32498000.0,92926000,-16338000.0,,3833000.0,614590000,,142700000,902000.0,98365000,143639000,95963000.0,79788000,,188889000,375299000,76534000,,49212000,54487000,519797000,9645000,,,4051000.0,-2002000.0,45274000,-14350000,,-9434000,7272000.0,148784000,,-90480000.0,25140000,16475000.0,0.0,62608000,,15869000,77213000.0,,358052000.0,69471000.0,5145000,-1104000,39567000,,1774000.0,39567000,,341577000.0,,219913000,39567000,-23118000,,,9213000,-258755000.0,197000.0,117560000,142700000,4640000.0,60606000,,-2063000,,183213000.0,1161531000,786232000,520898000,546941000
2003-03-31,,46850000.0,,163533000.0,0.0,95327000,-60170000.0,0.18,4543000.0,605320000,,151819000,-372000.0,100832000,138760000,102768000.0,82733000,,536099000,561730000,73053000,,39388000,48080000,550127000,9059000,,47000.0,5064000.0,-1402000.0,37928000,-55111000,,10860000,358000.0,143491000,170402000.0,-90480000.0,9119000,,0.0,59409000,0.18,15125000,250641000.0,,12354000.0,68733000.0,4731000,346000,30329000,,,30329000,,,,402460000,30329000,4821000,,167300000.0,10152000,-40255000.0,199000.0,142700000,151819000,4549000.0,58007000,338004000.0,-5000,,180943000.0,1153773000,592043000,332747000,548453000
2003-06-30,,77728000.0,,69541000.0,0.0,102817000,,0.18,5885000.0,657012000,,248222000,372000.0,102515000,138013000,119554000.0,83572000,,564805000,647689000,69541000,,37116000,43919000,579471000,7772000,,,20792000.0,-2484000.0,35498000,10323000,,6013000,-628000.0,143049000,171925000.0,,96403000,0.0,0.0,54403000,0.17,16244000,221780000.0,,8597000.0,84246000.0,5036000,1629000,29344000,,,29344000,,8597000.0,,470002000,29344000,31677000,,165409000.0,8421000,-43939000.0,200000.0,151819000,248222000,4523000.0,51919000,342434000.0,-70639000,,177013000.0,1230414000,582725000,331030000,573402000
2003-09-30,,21478000.0,,157407000.0,0.0,102638000,,0.19,4483000.0,649737000,,264469000,-1358000.0,100275000,138991000,133768000.0,81751000,,583282000,691330000,66927000,,39737000,46751000,610466000,8742000,,,8702000.0,-3090000.0,38716000,-44565000,,22816000,-2488000.0,144341000,171111000.0,-90480000.0,16247000,,0.0,72580000,0.18,15656000,250608000.0,,10797000.0,85563000.0,5350000,277000,30995000,,,30995000,,,,515077000,30995000,-11768000,,164310000.0,8035000,-28798000.0,201000.0,248222000,264469000,4558000.0,69490000,346876000.0,71286000,,174768000.0,1243816000,552486000,305102000,594079000
2003-12-31,,93310000.0,,163062000.0,0.0,121643000,-1000.0,,7810000.0,706798000,,359343000,-1572000.0,110578000,152825000,152938000.0,90365000,,626004000,809485000,65837000,,44446000,49975000,646740000,8171000,,,24520000.0,-4087000.0,42247000,23865000,,21951000,3370000.0,157744000,,-97225000.0,94874000,0.0,0.0,69039000,,17418000,252971000.0,,12137000.0,87464000.0,4919000,1206000,36275000,,,36275000,,12137000.0,,612314000,36275000,1970000,,,7728000,-85681000.0,203000.0,264469000,359343000,4650000.0,64952000,351423000.0,-654000,,173664000.0,1344939000,535454000,292785000,638141000
2004-03-31,,214644000.0,,164251000.0,0.0,106742000,,0.06,5347000.0,845827000,,201102000,-92192000.0,121677000,157074000,172707000.0,98879000,,279449000,410251000,67026000,,11804000,44052000,656065000,2479000,,,10235000.0,-4150000.0,35397000,-345424000,,23297000,19000.0,161310000,172584000.0,-97225000.0,-158241000,15300000.0,0.0,77966000,0.05,19038000,50091000.0,,26273000.0,67646000.0,4236000,-24934000,9325000,,,9325000,,10973000.0,,251193000,9325000,109217000,,166457000.0,8655000,-9085000.0,209000.0,359343000,201102000,4344000.0,73816000,,0,,381987000.0,1151549000,741298000,292285000,305722000
2004-06-30,,47007000.0,,166157000.0,0.0,107682000,,0.18,624000.0,847195000,,183958000,79250000.0,136285000,173377000,184002000.0,108641000,,291684000,410336000,68932000,,39841000,47810000,687541000,8366000,,,9641000.0,-7586000.0,37092000,-33533000,,-6009000,-388000.0,178302000,176273000.0,-97225000.0,-17144000,9447000.0,0.0,44889000,0.18,22173000,56407000.0,,19224000.0,86479000.0,4925000,190000,31475000,,,31475000,,9777000.0,,240365000,31475000,-28500000,,170327000.0,10718000,-56421000.0,210000.0,201102000,183958000,8000.0,37303000,,0,,388582000.0,1158103000,747767000,290141000,310908000
2004-09-30,,9268000.0,,167644000.0,0.0,102661000,-39634000.0,0.23,1069000.0,859519000,,197655000,-3842000.0,135859000,182182000,190894000.0,108754000,,293555000,433855000,70419000,,49630000,57026000,725988000,11182000,,,5386000.0,-7562000.0,46323000,-34249000,,1748000,1537000.0,187578000,172870000.0,-97225000.0,13697000,9338000.0,0.0,62217000,0.22,21832000,68340000.0,,20756000.0,90115000.0,5396000,727000,38448000,,,38448000,,11418000.0,,265995000,38448000,-14271000,,169148000.0,10703000,-12135000.0,210000.0,183958000,197655000,7000.0,54655000,,0,,387432000.0,1173830000,739975000,282124000,314311000
2004-12-31,,143144000.0,,186172000.0,0.0,131287000,-39095000.0,,6426000.0,924905000,,73485000,0.0,148949000,208228000,210872000.0,127808000,,342159000,426580000,69281000,,63158000,62781000,778286000,10860000,,,38201000.0,-5114000.0,59279000,-893000,,11172000,8721000.0,213967000,,-116891000.0,52204000,,0.0,80209000,,23314000,159656000.0,,19020000.0,108399000.0,5739000,452000,52298000,,,52298000,,,,233141000,52298000,-27112000,,,3502000,-115104000.0,213000.0,197655000,73485000,7000.0,75095000,,0,,448624000.0,1286084000,859504000,341599000,361179000
2005-03-31,,91655000.0,,185126000.0,0.0,15196000,-39961000.0,0.23,1835000.0,935665000,,120947000,0.0,149047000,196007000,216422000.0,121805000,,336459000,472315000,68235000,,48730000,57444000,816846000,10170000,,,12739000.0,-4322000.0,46960000,-27222000,,19552000,,201890000,175913000.0,-116891000.0,47462000,,0.0,73400000,0.22,25065000,189691000.0,104841000.0,18101000.0,85459000.0,5883000,464000,38560000,,,38560000,,,,310638000,38560000,1284000,,170139000.0,10484000,-86049000.0,214000.0,73485000,120947000,8000.0,69078000,,0,,443796000.0,1290225000,817910000,305879000,354560000
2005-06-30,,80077000.0,,186280000.0,0.0,17389000,-1620000.0,0.16,-3739000.0,989267000,,207673000,0.0,150801000,203557000,227690000.0,122185000,,377810000,565455000,69389000,,54046000,64099000,844732000,26160000,,,23577000.0,-7718000.0,52756000,21957000,,17615000,,211229000,175146000.0,-116891000.0,86726000,,22095000.0,65102000,0.16,26402000,183278000.0,110636000.0,16658000.0,98861000.0,7672000,-370000,27886000,,,27886000,,,,390951000,27886000,-333000,,169698000.0,11343000,-72692000.0,216000.0,120947000,207673000,16000.0,57384000,,0,,439153000.0,1383735000,818280000,309738000,394468000
2005-09-30,,362464000.0,,186952000.0,0.0,17791000,-93952000.0,0.24,-24534000.0,1121060000,,508231000,-136676000.0,159238000,215508000,239271000.0,128551000,,399326000,695654000,70061000,,50363000,70700000,885685000,9410000,,,24617000.0,-4659000.0,56270000,5665000,,6245000,-4000.0,226947000,178210000.0,-116891000.0,300558000,17551000.0,23199000.0,75405000,0.23,27540000,,119065000.0,92551000.0,111130000.0,11439000,-7112000,40953000,,,40953000,,75000000.0,,508231000,40953000,219488000,,172870000.0,14430000,-1641000.0,224000.0,207673000,508231000,1060000.0,70746000,,75000000,,712458000.0,1612937000,917283000,134764000,491877000
