date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyChangeInInventory,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
2001-09-30,435557000,48066000,571285000,633308000,10297000,,1299093000,15161000,665785000,0.19,1017000,6402000,,1006842000,75877000,,,-2677000,39644000,76706000.0,15161000,15161000,434540000,-52341000,3864000,85980000,-9000.0,69082000.0,543464000.0,-19885000.0,2151666000,281000000.0,1054000,,,,16699000,0.19,292251000,0,,-42256000,0,,3864000,3864000,7775000,60400000.0,32417000,493613000.0,,11251000.0,2191310000,52458000,632164000,22945000,-4392000,2693000,17272000,589908000,,,-158000.0,0.0,2810000,76706000.0,29347000,,,,,,,,,,
2001-12-31,353294000,-42697000,505160000,558082000,12259000,,1261251000,8936000,703169000,,1617000,6732000,,858454000,98250000,,,4298000,38482000,,8936000,8936000,351677000,-28231000,3511000,188874000,,-109841000.0,365697000.0,-22948000.0,1531682000,389205000.0,3864000,,,,18991000,,402797000,0,,-48131000,0,,3511000,3511000,6600000,104482000.0,-58763000,386993000.0,,13592000.0,1570164000,-35432000,653050000,19491000,-7265000,63310000,13685000,604919000,,,,121340000.0,-353000,,26223000,,,,,,,,,,
2002-03-31,392612000,-2258000,581263000,643405000,10758000,,1364842000,14281000,721437000,0.155,1617000,6967000,,973875000,104959000,,,-544000,38388000,86506000.0,14281000,14281000,390995000,-24532000,3301000,151442000,0.0,37412000.0,488662000.0,-23160000.0,1506935000,377600000.0,3511000,,14281000.0,,17725000,0.155,390967000,26000,,-54292000,0,,3301000,3301000,6453000,103954000.0,-14963000,457637000.0,,13367000.0,1545323000,9140000,670770000,20663000,-11398000,15110000,19672000,616478000,,,,,-210000,86506000.0,27630000,,,,,,,,,,
2002-06-30,386376000,99269000,553692000,587115000,11119000,,1338004000,16951000,750889000,0.185,4785000,7177000,,940068000,125573000,,,-110000,41707000,86506000.0,16951000,16951000,381591000,-25607000,5792000,67289000,0.0,85187000.0,514034000.0,-23881000.0,1943640000,384415000.0,3301000,,16951000.0,,18296000,0.185,397936000,-26000,,-60320000,0,,5792000,5792000,6354000,57847000.0,85727000,476675000.0,,13521000.0,1985347000,108718000,685636000,23411000,-9449000,-80680000,19170000,625316000,,,,,2491000,86506000.0,30588000,,,,,,,,,,
2002-09-30,513370000,2931000,600145000,582352000,11512000,,1631490000,16317000,1049138000,0.165,4317000,8981000,,1113515000,104224000,,,-11067000,44266000,92054000.0,16317000,16317000,509053000,-299702000,4306000,81189000,,-17935000.0,496857000.0,-24601000.0,2299823000,502209000.0,5792000,,,,20493000,0.165,517975000,0,,-67900000,0,,4306000,4306000,7456000,105577000.0,-16181000,468988000.0,,15766000.0,2344089000,9529000,1012814000,23773000,-6598000,288917000,25580000,944914000,,,,,-1486000,92054000.0,32754000,,,,,,,,,,
2002-12-31,517716000,33362000,637249000,602935000,12274000,,1666575000,17743000,1063640000,,7980000,10943000,,1154965000,110887000,,,6286000,49930000,,17743000,17743000,509736000,-13940000,3501000,81849000,,1280000.0,499909000.0,-28199000.0,2459534000,542891000.0,4306000,,,,23217000,,511610000,0,,-77550000,17676000,,3501000,3501000,8759000,99249000.0,20047000,488922000.0,,-31281000.0,2509464000,46507000,1030303000,26713000,-13145000,-33891000,49078000,952753000,,,,-206225000.0,-805000,,37656000,,,,,,,,,,
2003-03-31,537263000,76316000,587692000,583114000,13072000,,1716535000,24351000,1133421000,0.23,14112000,10871000,,1124955000,120387000,,,-54000,57552000,100332000.0,24351000,24351000,523151000,-58907000,5277000,43134000,,40114000.0,507184000.0,-28199000.0,3224356000,635790000.0,3501000,,,,23943000,0.23,591580000,543000,,-88478000,27519000,,5277000,5277000,9258000,19622000.0,57101000,510879000.0,,-44210000.0,3281908000,91393000,1101512000,33609000,-15077000,-30896000,57191000,1013034000,,,,63895000.0,1776000,100332000.0,44480000,,,,,,,,,,
2003-06-30,548702000,62279000,560924000,497120000,12161000,,1710421000,23398000,1213301000,0.21,22207000,11305000,,1109626000,142962000,,,-6000,55305000,104446000.0,23398000,23398000,526495000,-52179000,5570000,41940000,0.0,901000.0,429417000.0,-30573000.0,2653884000,624052000.0,5277000,,23398000.0,,23466000,0.21,600795000,-311000,,-99896000,20193000,,5570000,5570000,8532000,43798000.0,50216000,502717000.0,,-23257000.0,2709189000,84694000,1170235000,31839000,-22415000,-32130000,14409000,1070339000,,,,0.0,293000,104446000.0,43144000,,,,,,,,,,
2003-09-30,475223000,4876000,629531000,564228000,18204000,,1810142000,11871000,1245914000,0.095,21483000,11988000,,1104754000,173843000,,,-27000,50660000,105576000.0,11871000,11871000,453740000,-33683000,3418000,162202000,,-125705000.0,350916000.0,-30574000.0,3003017000,681882000.0,5570000,,,,30192000,0.1,705388000,0,,-109873000,47692000,,3418000,3418000,8794000,35141000.0,-10881000,524866000.0,,23506000.0,3053677000,19564000,1181944000,20468000,-14688000,12061000,69524000,1072071000,,,,98010000.0,-2152000,106870000.0,32456000,,,,,,,,,,
2003-12-31,546985000,-140369000,801919000,732974000,29595000,,2095631000,-172000,1362657000,,27994000,12657000,,1348904000,211618000,,,-5104000,53892000,,-172000,-172000,518991000,-80556000,4137000,105967000,,45749000.0,590645000.0,-32476000.0,3491183000,762119000.0,3418000,,,,41604000,,746727000,-232000,,-121595000,32225000,,4137000,4137000,8746000,127259000.0,-158708000,603460000.0,,-15392000.0,3545075000,-127133000,1272634000,12288000,-13236000,208209000,71200000,1151039000,,,,88436000.0,719000,,24945000,,,,,,,,,,
2004-03-31,702619000,119656000,726276000,653756000,19139000,,2165073000,30990000,1511317000,0.245,14865000,13477000,,1428895000,202605000,,,0,72740000,116828000.0,30990000,30990000,687754000,-155903000,2037000,73843000,,32489000.0,554405000.0,-35174000.0,3731904000,712417000.0,4137000,,,,32259000,0.245,736178000,-143228000,,-133529000,23471000,,2037000,2037000,9532000,14689000.0,91784000,645322000.0,,23761000.0,3804644000,132981000,1442241000,40481000,-13325000,21064000,66265000,1308712000,,,,88000.0,-2100000,118034000.0,53958000,,,,,,,,,,
2004-06-30,960739000,-4716000,855646000,829449000,19603000,,2681904000,35677000,1852455000,0.27,25922000,16355000,,1816385000,269908000,,,-500000,80833000,123112000.0,35677000,35677000,934817000,-318740000,12056000,128534000,,-56624000.0,645295000.0,-37499000.0,5050902000,838358000.0,2037000,,,,35601000,0.27,865519000,-299982000,,-147949000,43564000,,12056000,12056000,9967000,21989000.0,-44861000,763659000.0,,27161000.0,5131735000,14129000,1730496000,45232000,-18845000,312971000,69998000,1582547000,,,,101125000.0,10019000,123112000.0,61587000,,,,,,,,,,
2004-09-30,862368000,-65485000,1199235000,1148707000,19484000,,3106021000,41734000,1957314000,0.295,24780000,16055000,,2061603000,298589000,,,-2672000,90749000,131552000.0,41734000,41734000,837588000,-92676000,4547000,242312000,559000.0,-103256000.0,846347000.0,-41795000.0,5776256000,1012637000.0,12056000,,,,35693000,0.295,1044418000,-10242000,,-165589000,55501000,,4547000,4547000,13322000,122882000.0,-87192000,965265000.0,,31781000.0,5867005000,-34059000,1824314000,55056000,-31426000,119373000,111088000,1658725000,,,,160919000.0,-7509000,131552000.0,71824000,,,,,,,,,,
2004-12-31,976490000,-62431000,1113717000,1101202000,24522000,,3160411000,24719000,2059209000,,27466000,21354000,,2090207000,331587000,,,-1901000,87094000,,24719000,24719000,949024000,-83868000,12988000,498200000,-2063000.0,-278528000.0,521785000.0,-43884000.0,6084992000,1039024000.0,4547000,,,,47939000,,1070204000,10242000,,-183887000,68229000,,12988000,12988000,14225000,175472000.0,-62654000,850912000.0,,31180000.0,6172086000,-9083000,1911509000,39155000,-53348000,101070000,87333000,1727622000,,,,0.0,8441000,,60509000,,,,,,,,,,
2005-03-31,962329000,-321860000,1961316000,1845768000,22111000,,3934202000,32808000,2088434000,0.215,32089000,19505000,,2923645000,312485000,,,-2849000,88516000,135034000.0,32808000,32808000,930240000,-61720000,21839000,711280000,,-208035000.0,1030139000.0,-45005000.0,6549980000,980569000.0,12988000,,,,41229000,0.215,1010557000,-13467000,,-201657000,82510000,,21839000,21839000,14558000,560962000.0,-340351000,1270276000.0,,29988000.0,6638496000,-271849000,1977606000,47287000,-50011000,342564000,130078000,1775949000,,,544000.0,22308000.0,8851000,136312000.0,66792000,,,,,,,,,,
2005-06-30,983519000,-217786000,2151042000,2029515000,26149000,,4134538000,62282000,2105023000,0.37,30365000,19851000,,3134561000,310972000,,,-2977000,121196000,135786000.0,62282000,62282000,953154000,-35699000,38000000,848173000,445000.0,-143426000.0,1035774000.0,-47652000.0,7039511000,970199000.0,21839000,,,,45152000,0.38,999977000,-1078000,,-218626000,107568000,,38000000,38000000,14253000,820769000.0,-281751000,1141364000.0,,29778000.0,7160707000,-181543000,2012677000,76044000,-36243000,233999000,188909000,1794051000,,,,0.0,16161000,138548000.0,95895000,,,,,,,,,,
2005-09-30,988597000,-31957000,2101017000,2128134000,26516000,,4398680000,68998000,2270546000,0.395,36153000,19156000,,3089614000,438208000,,,-1007000,131368000,135942000.0,68998000,68998000,952444000,-151062000,8174000,963567000,-290000.0,-119399000.0,1115563000.0,-48816000.0,8532996000,1272947000.0,38000000,,,,46483000,0.405,1309066000,-112500000,,-240524000,40830000,,8174000,8174000,15618000,774356000.0,-88193000,1234621000.0,,36119000.0,8664364000,3917000,2072862000,84885000,-35874000,117570000,92040000,1832338000,,,,213849000.0,-29826000,138746000.0,104831000,,,,,,,,,,
2005-12-31,996300000,431603000,1793300000,1805200000,28424000,,4120300000,53712000,2315100000,,44600000,24988000,,2789600000,457900000,,,-1467000,121220000,,53712000,53712000,951700000,-48719000,9600000,910300000,576000.0,45760000.0,781000000.0,-55527000.0,8592513000,1294100000.0,8174000,,,,53836000,,1330700000,0,,-258900000,104300000,,9600000,9600000,14971000,378400000.0,386295000,1293600000.0,,36600000.0,8713733000,473575000,2116100000,67384000,-41972000,-423533000,121300000,1857200000,,,,28043000.0,1414000,,92372000,,,,,,,,,,
2006-03-31,1000900000,-520300000,2294100000,2374400000,31800000,,4733700000,63400000,2359300000,0.355,49400000,21600000,,3295000000,459800000,,,-900000,125700000,148000000.0,57100000,63400000,951500000,-84300000,9300000,1027400000,-200000.0,-116000000.0,1242800000.0,-57300000.0,8509700000,1400000000.0,9600000,,,,53400000,0.365,1438700000,-4300000,,-278400000,94900000,,9300000,9300000,15300000,875800000.0,-549100000,1265100000.0,,38700000.0,8635400000,-457600000,2177900000,72300000,-62700000,541500000,153200000,1899500000,,,400000.0,101400000.0,-300000,151400000.0,93900000,,,,,,,,,,
2006-06-30,1312800000,-244000000,3179400000,3176400000,27400000,179600000.0,6018300000,80300000,2841900000,0.405,57700000,22100000,,4492200000,514800000,,,-3500000,145800000,154000000.0,80300000,80300000,1255100000,-408400000,7600000,1155900000,1100000.0,-98300000.0,1917200000.0,-63100000.0,4746600000,0.0,9300000,,,,48700000,0.41,1526100000,-500000,,-303400000,95700000,,7600000,7600000,18000000,1188500000.0,-295500000,1850800000.0,,40500000.0,4892400000,-185100000,2450900000,97100000,-58900000,599500000,140100000,2147500000,,,-3600000.0,51000000.0,-1700000,155600000.0,119200000,,,,,,,,,,
2006-09-30,1267300000,354500000,2941200000,2992200000,33000000,183300000.0,6047900000,95400000,3055700000,0.445,66900000,24600000,,4208500000,513400000,,,-2200000,170200000,159800000.0,95400000,95400000,1200400000,-301600000,10300000,1351500000,1300000.0,-200300000.0,1441500000.0,-69000000.0,4355600000,0.0,7600000,,,,158900000,0.45,1839400000,-5200000,,-323100000,188900000,,10300000,10300000,19200000,993700000.0,349400000,1822900000.0,,46800000.0,4525800000,460800000,2682100000,11300000,-106300000,-164800000,124600000,2359000000,,,,163200000.0,2700000,161600000.0,35900000,,,,,,,,,,
2006-12-31,2713400000,-206500000,3024700000,3157600000,41700000,1026200000.0,8714900000,46000000,5557300000,,87100000,32100000,,5738100000,689100000,,,-9700000,147300000,,46000000,46000000,2626300000,-856700000,11300000,1290000000,5500000.0,90100000.0,1725400000.0,-73200000.0,4243500000,2906100000.0,10300000,,,,75000000,,2976800000,5400000,,-348100000,130900000,,11300000,11300000,33100000,1001200000.0,-207800000,1846600000.0,,70700000.0,4390800000,-93400000,4190100000,72300000,-113100000,950800000,176900000,3842000000,,,,327200000.0,1000000,,105600000,,,,,,,,,,
2007-03-31,2718800000,237600000,2850600000,2809500000,46800000,1035100000.0,8513000000,84700000,5703500000,0.305,92700000,39900000,-9100000.0,5569400000,709700000,,,-200000,204200000,218800000.0,84700000,84700000,2626100000,-160700000,16600000,968200000,3600000.0,323300000.0,1665300000.0,-104600000.0,4025300000,0.0,11300000,,84800000.0,,86700000,0.31,2943600000,-4500000,,-384800000,159400000,,16600000,16600000,41100000,900900000.0,218000000,1723300000.0,,70100000.0,4229500000,371700000,4343500000,117500000,-134100000,-206800000,226400000,3958700000,100000.0,,18200000.0,,5300000,221400000.0,157400000,,,,,,,,,,
2007-06-30,2748900000,-232000000,3115700000,3462400000,47700000,1045500000.0,9264200000,104800000,5801800000,0.39,124600000,52500000,-200000.0,5864600000,669500000,,,100000,252500000,221000000.0,104800000,104800000,2624300000,-135100000,44600000,1585800000,5000000.0,-558700000.0,1716300000.0,-107400000.0,3665300000,0.0,16600000,,116900000.0,,99800000,0.39,3399600000,-10200000,,-431000000,115700000,,44600000,44600000,41200000,890900000.0,-269000000,2053800000.0,,79300000.0,3917800000,-99200000,4517800000,152700000,-132800000,254400000,171000000,4086800000,12100000.0,,-16100000.0,,28000000,222400000.0,205200000,,,,,,,,,,
2007-09-30,2743900000,561100000,3020100000,3184600000,33400000,1059200000.0,9187200000,98400000,6002600000,0.33,119700000,43100000,,5764000000,670700000,,,-400000,210400000,232000000.0,98400000,98400000,2624200000,-188400000,12500000,964900000,3800000.0,645600000.0,2098000000.0,-118200000.0,5588600000,3342900000.0,44600000,,101600000.0,,76300000,0.33,3423200000,-12200000,,-479200000,109200000,,12500000,12500000,38800000,481100000.0,542700000,2358000000.0,,80300000.0,5799000000,696000000,4751900000,134100000,-134900000,-538900000,181000000,4272700000,3200000.0,,69500000.0,0.0,-32100000,233600000.0,177200000,,,,,,,,,,
2007-12-31,2753000000,-318700000,3729000000,3673000000,36100000,1072000000.0,9906000000,77100000,6233000000,,129000000,45500000,,6482000000,742000000,,,-1500000,194900000,,77100000,77100000,2624000000,-178800000,24000000,972000000,2600000.0,-70200000.0,2561000000.0,-120800000.0,6252800000,3343000000.0,12500000,,77700000.0,,81200000,,3424000000,7900000,,-519000000,116000000,,24000000,24000000,40900000,960000000.0,-301700000,2577000000.0,,81000000.0,6447700000,-172500000,4938000000,113700000,-146200000,367300000,192000000,4419000000,600000.0,,18400000.0,500000.0,11800000,,159200000,,,,,,,,,,
2008-03-31,2790000000,360000000,3865000000,3663000000,40000000,1071000000.0,9985000000,92000000,6322000000,0.285,154000000,48000000,-13000000.0,6655000000,757000000,,,0,215000000,232000000.0,92000000,92000000,2636000000,-152000000,17000000,776000000,2000000.0,181000000.0,2756000000.0,-124000000.0,6980000000,3251000000.0,24000000,,90000000.0,,88000000,0.29,3330000000,0,,-557000000,114000000,,17000000,17000000,42000000,700000000.0,366000000,2996000000.0,-3000000.0,79000000.0,7195000000,509000000,5051000000,127000000,-149000000,-367000000,169000000,4494000000,-2000000.0,,6000000.0,,-7000000,234000000.0,175000000,,,,,,,,,,
2008-06-30,3554000000,-85000000,4748000000,4596000000,51000000,1260000000.0,11889000000,41000000,7293000000,0.065,334000000,52000000,-27000000.0,8302000000,1017000000,,,310000000,184000000,240000000.0,41000000,41000000,3220000000,-835000000,11000000,1181000000,4000000.0,-415000000.0,3036000000.0,-127000000.0,8876000000,3503000000.0,17000000,,46000000.0,,103000000,0.065,3587000000,-661000000,,-603000000,368000000,,11000000,11000000,49000000,719000000.0,-126000000,3724000000.0,0.0,84000000.0,9060000000,67000000,5619000000,81000000,-152000000,763000000,305000000,5016000000,5000000.0,,86000000.0,,-6000000,242000000.0,133000000,,,,,,,,,,
2008-09-30,3477000000,-482000000,4742000000,4535000000,39000000,1242000000.0,11870000000,206000000,7335000000,0.57,257000000,50000000,,8219000000,1032000000,,,1000000,331000000,246000000.0,206000000,206000000,3220000000,-128000000,37000000,1391000000,4000000.0,-287000000.0,2911000000.0,-141000000.0,8531000000,3566000000.0,11000000,,209000000.0,,88000000,0.575,3651000000,-3000000,,-644000000,196000000,,37000000,37000000,52000000,1349000000.0,-483000000,3138000000.0,1000000.0,85000000.0,8862000000,-337000000,5705000000,243000000,-145000000,490000000,255000000,5061000000,3000000.0,,-72000000.0,0.0,26000000,248000000.0,293000000,,,,,,,,,,
2008-12-31,3520000000,475000000,2960000000,2596000000,30000000,1210000000.0,10032000000,98000000,7436000000,,261000000,61000000,,6480000000,1167000000,,,-2000000,234000000,,98000000,98000000,3259000000,-224000000,11000000,801000000,3000000.0,401000000.0,1525000000.0,-140000000.0,4709000000,3469000000.0,37000000,,99000000.0,,91000000,,3552000000,-12000000,,-668000000,259000000,,11000000,11000000,53000000,1027000000.0,382000000,1507000000.0,1000000.0,83000000.0,4943000000,618000000,5727000000,143000000,-143000000,-422000000,426000000,5059000000,1000000.0,,185000000.0,0.0,-26000000,,204000000,,,,,,,,,,
