date,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyEndCashPosition,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyDilutedAverageShares,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses
1986-09-30,,,,,,,-0.03,,,,,,,,,,,,,,,,,,,5568960000.0,,,,324100000,,,324100000,,,,,,,,,,324100000,,,,,,,,,,,,-0.03,,,,,,,,,,-114200000,,,,,,,,,,5568960000.0,,
1986-12-31,,,,,,,,,1275200000.0,,,154200000.0,-584700000.0,112100000.0,373200000.0,373200000.0,,,,,,,,,,,,,,355600000,,1364000000.0,-1044700000,,779300000.0,,262200000.0,,,,,,-1044700000,,505000000.0,430500000.0,,,,374300000.0,1023700000.0,2080000000.0,,1056300000.0,,11500000.0,,,,,277000000.0,,804800000.0,,-26600000,,197900000.0,,286600000.0,,132400000.0,,,,,,
1987-03-31,,,,,,,0.01,,,,,,,,,,,,,,,,,,,5650272000.0,,,,394500000,,,394500000,,,,,,,,,,394500000,,,,,,,,,,,,0.01,,,,,,,,,,20000000,,,,,,,,,,5650272000.0,,
1987-06-30,,,,,,,0.01,,,,,,,,,,,,,,,,,,,5223296000.0,,,,439000000,,,439000000,,,,,,,,,,439000000,,,,,,,,,,,,0.01,,,,,,,,,,31500000,,,,,,,,,,5223296000.0,,
1987-09-30,,,,,,,0.01,,,,,,,,,,,,,,,,,,,5223296000.0,,,,501100000,,,501100000,,,,,,,,,,501100000,,,,,,,,,,,,0.01,,,,,,,,,,52000000,,,,,,,,,,5223296000.0,,
1987-12-31,,,,,,,,,1306400000.0,,,137700000.0,-645000000.0,302400000.0,618700000.0,618700000.0,,,,,,,,,,,,,,572500000,,1536200000.0,-1088700000,,891200000.0,,579300000.0,,,,,,-1088700000,,569500000.0,409100000.0,,,,881700000.0,1430800000.0,2597200000.0,,1166400000.0,,5600000.0,,,,,275200000.0,,1290800000.0,,72000000,,235500000.0,,298100000.0,,105400000.0,,,,,,
1988-03-31,,,,,,,0.02,,,,,,,,,,,,,,,,,,,5386624000.0,,,,635800000,,,635800000,,,,,,,,,,635800000,,,,,,,,,,,,0.02,,,,,,,,,,93700000,,,,,,,,,,5386624000.0,,
1988-06-30,,,,,,,0.03,,,,,,,,,,,,,,,,,,,5386624000.0,,,,726700000,,,726700000,,,,,,,,,,726700000,,,,,,,,,,,,0.03,,,,,,,,,,130700000,,,,,,,,,,5386624000.0,,
1988-09-30,,,,,,,0.03,,,,,,,,,,,,,,,,,,,5671424000.0,,,,784900000,,,784900000,,,,,,,,,,784900000,,,,,,,,,,,,0.03,,,,,,,,,,142700000,,,,,,,,,,5671424000.0,,
1988-12-31,,,,,,,,,2080100000.0,,,126400000.0,-775400000.0,200200000.0,971100000.0,971100000.0,,,,,,,,,,,,,,727400000,,1897900000.0,-1553000000,,1122500000.0,,733800000.0,,,,,,-1553000000,,992400000.0,535600000.0,,,,934000000.0,1969900000.0,3549700000.0,,1579800000.0,,-200000.0,,,,,457300000.0,,1469600000.0,,85800000,,365900000.0,,479300000.0,,56500000.0,,,,,,
1989-03-31,,,,,,,0.02,,,,,,,,,,,,,,,,,,,5777280000.0,,,,713100000,,,713100000,,,,,,,,,,713100000,,,,,,,,,,,,0.02,,,,,,,,,,97000000,,,,,,,,,,5777280000.0,,
1989-06-30,,,148000000.0,,262600000.0,,0.02,,2311400000.0,,,212700000.0,-871400000.0,233900000.0,866400000.0,866400000.0,24900000.0,,,130200000.0,,,,,,4965000000.0,,,,747300000,,2088500000.0,132400000,48700000.0,1217100000.0,,459800000.0,,,,,,188600000,,1188700000.0,587700000.0,,206400000.0,,823900000.0,1968600000.0,3723000000.0,99300000.0,1754400000.0,0.02,-100000.0,,395000000.0,,,537300000.0,,1411600000.0,99300000.0,99300000,,366800000.0,,466200000.0,,121600000.0,40600000.0,352300000.0,,4965000000.0,,
1989-09-30,,,107500000.0,0.0,270100000.0,,0.02,,2411400000.0,,0.0,192300000.0,-916500000.0,148600000.0,855100000.0,855100000.0,24200000.0,,21500000.0,165000000.0,,17600000.0,16800000.0,,,4907500000.0,-80700000.0,171600000.0,-90700000.0,771400000,,2162400000.0,127300000,35500000.0,1245900000.0,,448000000.0,,24000000.0,,-11400000.0,,188200000,60900000.0,1260700000.0,575000000.0,80900000.0,209200000.0,,761600000.0,1959900000.0,3748000000.0,72000000.0,1788100000.0,0.02,0.0,-33100000.0,397400000.0,,,542200000.0,0.0,1336600000.0,72000000.0,72000000,-102300000.0,357900000.0,0.0,446000000.0,8900000.0,129000000.0,4300000.0,374000000.0,,4907500000.0,,
1989-12-31,,,182700000.0,0.0,302300000.0,,,,2548800000.0,,0.0,157400000.0,-964600000.0,156500000.0,1089700000.0,1089700000.0,25500000.0,,16000000.0,165400000.0,,160200000.0,-20700000.0,,,,-20100000.0,334500000.0,-107400000.0,894900000,,2248700000.0,167700000,60000000.0,1284100000.0,,599300000.0,-300000.0,9400000.0,,208700000.0,,231600000,63900000.0,1383400000.0,524000000.0,227100000.0,238400000.0,,921200000.0,2162900000.0,3994000000.0,122700000.0,1831100000.0,,0.0,-14300000.0,470000000.0,,,547000000.0,100000.0,1445200000.0,122700000.0,122700000,-105700000.0,347100000.0,0.0,412500000.0,10900000.0,111500000.0,40500000.0,424900000.0,,,,
1990-03-31,,,221800000.0,1063700000.0,318100000.0,,0.03,,2740500000.0,,0.0,209000000.0,-1024700000.0,127000000.0,967800000.0,967800000.0,23500000.0,,1000000.0,168200000.0,,-97100000.0,3000000.0,,,4793333333.0,-5500000.0,119300000.0,-117600000.0,894500000,,2360300000.0,202600000,78000000.0,1335600000.0,,536300000.0,,38000000.0,,-95900000.0,,268000000,65400000.0,1527200000.0,507400000.0,1700000.0,252700000.0,,831500000.0,2147000000.0,4079400000.0,143800000.0,1932400000.0,0.03,-100000.0,-93200000.0,520700000.0,,,596800000.0,0.0,1338900000.0,143800000.0,143800000,-209800000.0,383400000.0,0.0,397200000.0,-36400000.0,110300000.0,42700000.0,373800000.0,,4793333333.0,,
1990-06-30,,,262200000.0,0.0,346400000.0,,0.03,,3168000000.0,,100000.0,279100000.0,-1078100000.0,124300000.0,1357100000.0,1357100000.0,25000000.0,,36200000.0,168200000.0,,71900000.0,-100000.0,,,5690000000.0,247300000.0,310500000.0,-139200000.0,968300000,,2488300000.0,217400000,91500000.0,1410200000.0,,726200000.0,,250300000.0,,389300000.0,,281900000,63600000.0,1697900000.0,449800000.0,171300000.0,281900000.0,,1018700000.0,2662000000.0,4636500000.0,170700000.0,1974500000.0,0.03,0.0,-65500000.0,563800000.0,,,564300000.0,200000.0,1468500000.0,170700000.0,170700000,-168400000.0,399000000.0,0.0,336000000.0,-15500000.0,113800000.0,69800000.0,404500000.0,,5690000000.0,,
1990-09-30,,,263900000.0,0.0,362500000.0,,0.03,,3431500000.0,,-100000.0,293600000.0,-1101800000.0,152800000.0,1595200000.0,1595200000.0,24600000.0,,200000.0,226200000.0,,82500000.0,-3500000.0,,,5730000000.0,118200000.0,335300000.0,-187300000.0,1012400000,,2618700000.0,232500000,92000000.0,1516900000.0,,850400000.0,,179600000.0,,238200000.0,,310500000,78000000.0,1861600000.0,456800000.0,148000000.0,293500000.0,,1229400000.0,3002600000.0,5117700000.0,171900000.0,2115100000.0,0.03,0.0,-28100000.0,595000000.0,,,598200000.0,0.0,1686200000.0,171900000.0,171900000,-215300000.0,411800000.0,0.0,340800000.0,-12900000.0,116000000.0,55900000.0,417400000.0,,5730000000.0,,
1990-12-31,,,238400000.0,0.0,390000000.0,,,,3591500000.0,,0.0,374500000.0,-1156000000.0,278600000.0,1619600000.0,1619600000.0,26300000.0,,900000.0,209400000.0,,-8300000.0,-1200000.0,,,,56900000.0,252800000.0,-235400000.0,1046100000,,2813600000.0,205800000,74500000.0,1657600000.0,,825800000.0,0.0,-388200000.0,,24300000.0,-11100000.0,291200000,85400000.0,2018800000.0,471000000.0,17400000.0,304600000.0,,1313800000.0,3119200000.0,5376300000.0,163900000.0,2257100000.0,,0.0,-50900000.0,595800000.0,,,599500000.0,425000000.0,1784800000.0,163900000.0,163900000,-285400000.0,415400000.0,0.0,344600000.0,-3600000.0,126400000.0,58900000.0,450300000.0,,,,
1991-03-31,,,298400000.0,1619600000.0,409000000.0,,0.03,,3841200000.0,,0.0,415100000.0,-1249900000.0,241500000.0,1592800000.0,1592800000.0,25400000.0,,,185700000.0,,-118100000.0,3600000.0,,,6580000000.0,7200000.0,188400000.0,-179200000.0,1132800000,,2985900000.0,269200000,101000000.0,1736000000.0,,717500000.0,,41600000.0,,-26800000.0,,365000000,95800000.0,2216200000.0,484600000.0,9200000.0,313200000.0,,1144700000.0,3142900000.0,5470500000.0,197400000.0,2327600000.0,0.03,0.0,-43300000.0,678200000.0,,,591600000.0,0.0,1629300000.0,197400000.0,197400000,-222500000.0,419700000.0,0.0,349400000.0,-4300000.0,135200000.0,54700000.0,454600000.0,,6580000000.0,,
1991-06-30,,,349800000.0,0.0,445200000.0,,0.04,,4111400000.0,,-100000.0,519100000.0,-1329600000.0,145000000.0,1601500000.0,1601500000.0,23100000.0,,,255800000.0,,85600000.0,2100000.0,,,5770000000.0,-79700000.0,429400000.0,-241900000.0,1252700000,,3200600000.0,322900000,119000000.0,1871000000.0,,812200000.0,,23100000.0,,8700000.0,,428400000,105500000.0,244700000.0,497800000.0,187500000.0,339800000.0,,1213000000.0,3347600000.0,5822200000.0,230800000.0,2474600000.0,0.04,100000.0,-102100000.0,768100000.0,,,603600000.0,100000.0,1710800000.0,230800000.0,230800000,-340900000.0,445800000.0,0.0,353300000.0,-26000000.0,144400000.0,50000000.0,484600000.0,,5770000000.0,,
1991-09-30,,,275700000.0,0.0,458700000.0,,0.03,,4344700000.0,,100000.0,854900000.0,-1418200000.0,157600000.0,1512800000.0,1512800000.0,14400000.0,,14500000.0,238400000.0,,20400000.0,-6500000.0,,,6723333333.0,46400000.0,328000000.0,-234400000.0,1187700000,,3416100000.0,238000000,74000000.0,1997900000.0,,815600000.0,200000.0,30200000.0,,-88800000.0,,342800000,104800000.0,2648700000.0,509600000.0,93600000.0,353900000.0,,1211600000.0,3560600000.0,6065900000.0,201700000.0,2505300000.0,0.03,-100000.0,-243400000.0,696700000.0,,,507400000.0,-100000.0,1721200000.0,201700000.0,201700000,-463200000.0,447000000.0,0.0,358200000.0,-1200000.0,151500000.0,52100000.0,491000000.0,,6723333333.0,,
1991-12-31,,,270700000.0,0.0,488400000.0,,,,4417900000.0,,0.0,964500000.0,-1481400000.0,173300000.0,1519000000.0,1519000000.0,18900000.0,,19100000.0,168800000.0,,102700000.0,-18300000.0,,,,34900000.0,403700000.0,-292800000.0,1205400000,,3644100000.0,249800000,82000000.0,2162700000.0,,885700000.0,,3400000.0,,6300000.0,,362000000,112200000.0,2777200000.0,646400000.0,110900000.0,376200000.0,,1227800000.0,3604000000.0,6292100000.0,188700000.0,2688100000.0,,139900000.0,-158600000.0,738200000.0,,,525400000.0,14200000.0,1874200000.0,188700000.0,188700000,-432300000.0,422300000.0,0.0,362500000.0,24600000.0,144000000.0,39700000.0,467200000.0,,,,
1992-03-31,,,278100000.0,1519000000.0,510900000.0,,0.03,,4687700000.0,,0.0,906600000.0,-1570400000.0,139400000.0,1579000000.0,1579000000.0,14500000.0,,90000000.0,198500000.0,,-60100000.0,2700000.0,,,6136666667.0,7800000.0,262000000.0,-244400000.0,1241300000,,3846400000.0,268300000,94000000.0,2276000000.0,,845400000.0,-100000.0,61600000.0,,60000000.0,,387700000,119400000.0,2961300000.0,634200000.0,17600000.0,391500000.0,,1183300000.0,3672800000.0,6505200000.0,184100000.0,2832400000.0,0.03,140000000.0,-55400000.0,779200000.0,,,556400000.0,0.0,1817500000.0,184100000.0,184100000,-209800000.0,456100000.0,0.0,346700000.0,-33800000.0,147500000.0,24200000.0,462100000.0,,6136666667.0,,
1992-06-30,,,306200000.0,0.0,550900000.0,,0.04,,4700600000.0,,0.0,919900000.0,-1645600000.0,167000000.0,1782500000.0,1782500000.0,15300000.0,,176100000.0,211100000.0,,-43200000.0,10900000.0,,,5330000000.0,69700000.0,324200000.0,-285600000.0,1319700000,,4067500000.0,282600000,93000000.0,2421900000.0,,912900000.0,,12500000.0,,203500000.0,,406900000,124300000.0,3054000000.0,892300000.0,38600000.0,426600000.0,,1291000000.0,3993000000.0,6883900000.0,213200000.0,2890900000.0,0.04,385700000.0,-81000000.0,833500000.0,,,469000000.0,27400000.0,2183300000.0,213200000.0,213200000,-190500000.0,503400000.0,0.0,352700000.0,-47300000.0,153900000.0,38900000.0,486200000.0,,5330000000.0,,
1992-09-30,,,353800000.0,0.0,590300000.0,,0.04,,5077100000.0,,100000.0,1250800000.0,-1735300000.0,245400000.0,1392500000.0,1392500000.0,11800000.0,,-257200000.0,272300000.0,,-119800000.0,3800000.0,,,6020000000.0,40200000.0,272500000.0,-334300000.0,1426200000,,4347900000.0,328000000,113000000.0,2612600000.0,,1032000000.0,,44300000.0,,-390000000.0,,460900000,132900000.0,3319600000.0,715400000.0,-61800000.0,457400000.0,,1549700000.0,4156700000.0,7342200000.0,240800000.0,3185500000.0,0.04,281700000.0,-111200000.0,918300000.0,,,572900000.0,-700000.0,2265100000.0,240800000.0,240800000,-702600000.0,548500000.0,0.0,274900000.0,-45100000.0,158800000.0,37700000.0,507900000.0,,6020000000.0,,
1992-12-31,,,630500000.0,0.0,662000000.0,,,,5444600000.0,,-100000.0,251300000.0,-1831800000.0,311800000.0,1842400000.0,1842400000.0,13100000.0,,32400000.0,280500000.0,,187700000.0,-4600000.0,,,,50700000.0,776000000.0,-363900000.0,1856800000,,4647700000.0,611200000,202000000.0,2815900000.0,,1249600000.0,-200000.0,20100000.0,,449900000.0,,752200000,141000000.0,3669100000.0,802100000.0,412100000.0,521000000.0,,1841900000.0,4691000000.0,8088600000.0,428500000.0,3397600000.0,,372800000.0,-45200000.0,1273200000.0,,,581700000.0,15000000.0,2644000000.0,428500000.0,428500000,-376800000.0,535200000.0,0.0,249000000.0,13300000.0,180300000.0,32400000.0,583600000.0,,,,
1993-03-31,,,842900000.0,1842500000.0,638700000.0,,0.08,,6378600000.0,,-121100000.0,1596100000.0,-1956800000.0,287800000.0,2051800000.0,2051800000.0,12700000.0,,,323900000.0,,-193200000.0,9300000.0,,,6848750000.0,351200000.0,531600000.0,-368200000.0,2023600000,,4977700000.0,818800000,295000000.0,3020900000.0,,1223500000.0,200000.0,50600000.0,,209300000.0,,970800000,152000000.0,4215900000.0,859100000.0,163400000.0,486700000.0,,1835200000.0,5415500000.0,9072900000.0,547900000.0,3657400000.0,0.08,323600000.0,-184200000.0,1457500000.0,,,636500000.0,287300000.0,2694300000.0,547900000.0,547900000,-673500000.0,527000000.0,0.0,311700000.0,8200000.0,223800000.0,36900000.0,566100000.0,-21000000.0,6848750000.0,,
1993-06-30,,,873500000.0,0.0,684600000.0,,0.09,,6403400000.0,,-181400000.0,1752900000.0,-2093700000.0,271200000.0,1716900000.0,1716900000.0,6600000.0,,,334800000.0,,-56900000.0,6500000.0,,,6316666667.0,-310100000.0,693400000.0,-447700000.0,2129600000,,5391200000.0,844600000,305000000.0,3297500000.0,,1313800000.0,,15200000.0,,-334800000.0,,1009600000,165000000.0,4267600000.0,1136500000.0,245700000.0,519700000.0,,1919800000.0,5401200000.0,9459700000.0,568500000.0,4058500000.0,0.09,585600000.0,-89000000.0,1529200000.0,,,761000000.0,50500000.0,3056300000.0,568500000.0,568500000,-718100000.0,611300000.0,0.0,316200000.0,-84300000.0,234700000.0,35500000.0,600400000.0,-20800000.0,6316666667.0,,
1993-09-30,,,899400000.0,0.0,713800000.0,,0.09,,7012700000.0,,-336400000.0,2091600000.0,-2143800000.0,335300000.0,1533000000.0,1533000000.0,12300000.0,,,392000000.0,,-129300000.0,53900000.0,,,6493333333.0,233700000.0,699000000.0,-488300000.0,2239800000,,5743900000.0,869500000,315000000.0,3600100000.0,,1399000000.0,,58500000.0,,-184000000.0,-2500000.0,1046100000,176600000.0,4810900000.0,1321600000.0,210700000.0,537200000.0,,2126300000.0,5824600000.0,10460600000.0,584400000.0,4636000000.0,0.09,623300000.0,-292000000.0,1583300000.0,,,1035900000.0,4100000.0,3447900000.0,584400000.0,584400000,-1116700000.0,722900000.0,0.0,416700000.0,-111600000.0,281600000.0,42100000.0,656500000.0,-20800000.0,6493333333.0,,
1993-12-31,,,914100000.0,0.0,818000000.0,,,,7500000000.0,,-521100000.0,2041000000.0,-2317000000.0,497000000.0,1475000000.0,1475000000.0,18400000.0,,,427000000.0,,103400000.0,-57700000.0,,,,77200000.0,877000000.0,-628800000.0,2389000000,,6313000000.0,859000000,320000000.0,3996000000.0,,1509000000.0,,8700000.0,,125500000.0,,1082400000,223400000.0,5306000000.0,1411000000.0,248200000.0,594600000.0,,2433000000.0,5802000000.0,11344000000.0,594100000.0,5542000000.0,,688000000.0,321200000.0,1677000000.0,,,1546000000.0,7100000.0,3844000000.0,594100000.0,594100000,-828700000.0,838000000.0,0.0,426000000.0,-115300000.0,297000000.0,73400000.0,712000000.0,-21400000.0,,,
1994-03-31,,,971000000.0,1659000000.0,609000000.0,2253000000.0,0.09,,8142000000.0,,0.0,92000000.0,-2479000000.0,397000000.0,2887000000.0,1422000000.0,11000000.0,,31000000.0,524000000.0,,-257000000.0,4000000.0,,265000000.0,7072000000.0,-99000000.0,608000000.0,-538000000.0,2660000000,,6774000000.0,927000000,354000000.0,4295000000.0,,715000000.0,,66000000.0,1465000000.0,-237000000.0,-52000000.0,1165000000,238000000.0,5889000000.0,1423000000.0,70000000.0,344000000.0,,2361000000.0,5820000000.0,11926000000.0,617000000.0,6106000000.0,0.09,682000000.0,-239000000.0,1536000000.0,,,1811000000.0,0.0,3784000000.0,617000000.0,617000000,-746000000.0,989000000.0,1422000000.0,429000000.0,-151000000.0,312000000.0,55000000.0,1124000000.0,-21000000.0,7072000000.0,1531000000.0,725000000.0
1994-06-30,,,1009000000.0,1422000000.0,642000000.0,2245000000.0,0.1,,8328000000.0,,0.0,85000000.0,-2673000000.0,539000000.0,2320000000.0,1012000000.0,9000000.0,,241000000.0,543000000.0,,-142000000.0,-1000000.0,,279000000.0,6992000000.0,-406000000.0,753000000.0,-603000000.0,2770000000,,7319000000.0,972000000,369000000.0,4646000000.0,,644000000.0,,78000000.0,1308000000.0,-410000000.0,-465000000.0,1216000000,244000000.0,6083000000.0,1353000000.0,150000000.0,363000000.0,,2605000000.0,5526000000.0,12286000000.0,640000000.0,6760000000.0,0.1,724000000.0,-395000000.0,1614000000.0,,,2114000000.0,0.0,3958000000.0,640000000.0,640000000,-757000000.0,1197000000.0,1012000000.0,303000000.0,-208000000.0,326000000.0,46000000.0,1156000000.0,-21000000.0,6992000000.0,1588000000.0,879000000.0
1994-09-30,,,1038000000.0,1012000000.0,620000000.0,2334000000.0,0.1,,9052000000.0,,0.0,122000000.0,-2914000000.0,640000000.0,2291000000.0,1186000000.0,16000000.0,,271000000.0,500000000.0,,-457000000.0,0.0,,282000000.0,6944000000.0,187000000.0,490000000.0,-540000000.0,2863000000,,7819000000.0,970000000,379000000.0,4905000000.0,,657000000.0,,60000000.0,1105000000.0,174000000.0,-31000000.0,1250000000,280000000.0,6718000000.0,1424000000.0,-50000000.0,338000000.0,,2796000000.0,6055000000.0,13272000000.0,659000000.0,7217000000.0,0.1,687000000.0,-234000000.0,1590000000.0,,,2312000000.0,0.0,4220000000.0,659000000.0,659000000,-503000000.0,1378000000.0,1186000000.0,392000000.0,-181000000.0,345000000.0,84000000.0,1273000000.0,-25000000.0,6944000000.0,1909000000.0,999000000.0
1994-12-31,,,585000000.0,1186000000.0,687000000.0,2306000000.0,,,9267000000.0,,0.0,58000000.0,-3149000000.0,517000000.0,2410000000.0,1180000000.0,21000000.0,,-30000000.0,575000000.0,,610000000.0,-153000000.0,,285000000.0,,-239000000.0,1130000000.0,-760000000.0,3228000000,,8516000000.0,518000000,213000000.0,5367000000.0,,698000000.0,,-54000000.0,1230000000.0,-6000000.0,-110000000.0,803000000,285000000.0,6961000000.0,1525000000.0,370000000.0,402000000.0,,3024000000.0,6167000000.0,13816000000.0,372000000.0,7649000000.0,,744000000.0,-107000000.0,1205000000.0,,,2282000000.0,76000000.0,4549000000.0,372000000.0,372000000,-897000000.0,1169000000.0,1180000000.0,392000000.0,209000000.0,389000000.0,-185000000.0,2023000000.0,-25000000.0,,1978000000.0,1234000000.0
