date,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyInventory,quarterlyTaxProvision,quarterlyAccumulatedDepreciation,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyBasicAverageShares,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyDilutedAverageShares,quarterlyEndCashPosition,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInInventory,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyOperatingExpense,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable
1996-03-31,2500000.0,963300000.0,70000000.0,32100000.0,-343000000.0,3900000.0,139400000.0,72100000.0,56800000.0,0.0,20600000.0,0.251237,,69700000.0,694500000.0,61200000.0,149659683.0,56800000.0,-43100000.0,-14100000.0,92700000.0,1762600000.0,2197400000.0,,22500000.0,78600000.0,,,,,89000000.0,426800000.0,49600000.0,72100000.0,149659683.0,72100000.0,,130800000,0.251237,,37600000.0,-27100000.0,-21300000.0,27100000.0,-2100000.0,1418200000.0,21600000.0,109200000,16500000.0,-3800000.0,573500000,337600000.0,1306300000.0,434800000.0,200000.0,,60600000.0,830900000.0,,15200000.0,191800000.0,214200000.0,300700000.0,272800000.0,37600000,163600000.0,37600000.0,,,451000000.0,,,,,,,
1996-06-30,4000000.0,959900000.0,83200000.0,-3700000.0,-356100000.0,1600000.0,140600000.0,40700000.0,41300000.0,0.0,20500000.0,-0.024457,,-7400000.0,,63500000.0,151287992.0,41300000.0,-37500000.0,-11900000.0,39600000.0,1755000000.0,2091000000.0,,-31400000.0,27700000.0,,,,,65700000.0,426900000.0,72100000.0,40700000.0,151287992.0,40700000.0,-22200000.0,21200000,-0.024457,,-3700000.0,-33500000.0,-21200000.0,11700000.0,-1200000.0,1345600000.0,21400000.0,-200000,25600000.0,2700000.0,276400000,262100000.0,1316000000.0,336000000.0,0.0,,78400000.0,829200000.0,1083500000.0,-13200000.0,155100000.0,126400000.0,134300000.0,142100000.0,-3700000,142300000.0,-3700000.0,,,436100000.0,,,,,,,
1996-09-30,2500000.0,974600000.0,113200000.0,-11400000.0,-368200000.0,3100000.0,159400000.0,74000000.0,96600000.0,0.0,20600000.0,,,-24000000.0,,53300000.0,,96600000.0,50400000.0,-19200000.0,-2200000.0,1763300000.0,2144900000.0,,33300000.0,-21400000.0,,,,,94700000.0,427100000.0,40700000.0,74000000.0,,74000000.0,22100000.0,600000,,,-12600000.0,-14900000.0,-21400000.0,-12800000.0,-2100000.0,1447700000.0,21600000.0,-21000000,3000000.0,8600000.0,284000000,369200000.0,1342800000.0,381600000.0,4200000.0,,72500000.0,845200000.0,1067700000.0,-29700000.0,133100000.0,113300000.0,155000000.0,129000000.0,-12600000,150000000.0,-12600000.0,,,412800000.0,,,,,,,
1996-12-31,3000000.0,976400000.0,122200000.0,23200000.0,-382400000.0,1300000.0,150800000.0,81500000.0,164300000.0,0.0,21800000.0,0.18676,,51100000.0,,51200000.0,149389591.0,164300000.0,49400000.0,-17100000.0,-15800000.0,1757700000.0,2275600000.0,,7500000.0,-32900000.0,,,,,136900000.0,427100000.0,74000000.0,81500000.0,149389591.0,81500000.0,-9300000.0,108300000,0.18676,,27900000.0,-26100000.0,-21500000.0,3200000.0,-2500000.0,1556700000.0,21700000.0,86600000,-83400000.0,1800000.0,529600000,472900000.0,1358800000.0,517900000.0,500000.0,,74900000.0,849100000.0,1083800000.0,-8800000.0,171700000.0,216900000.0,274000000.0,255600000.0,27900000,169000000.0,27900000.0,,,427500000.0,,,,,,,
1997-03-31,8600000.0,977400000.0,56700000.0,29600000.0,-395100000.0,4900000.0,152400000.0,85900000.0,122300000.0,0.0,22100000.0,0.24012,,65400000.0,682600000.0,48500000.0,149092121.0,122300000.0,-77000000.0,-14700000.0,125800000.0,1751800000.0,2232000000.0,,4400000.0,111100000.0,,,,,81300000.0,427500000.0,81500000.0,85900000.0,149092121.0,85900000.0,-35300000.0,120900000,0.24012,,35800000.0,-44400000.0,-21400000.0,26700000.0,-5300000.0,1475600000.0,22000000.0,98900000,52400000.0,-4700000.0,576400000,400900000.0,1372500000.0,480200000.0,0.0,,114400000.0,835500000.0,,65600000.0,197300000.0,205000000.0,310300000.0,266100000.0,35800000,167200000.0,35800000.0,,,451700000.0,,,,,,,
1997-06-30,5500000.0,978700000.0,79700000.0,-400000.0,-401700000.0,1000000.0,153700000.0,93900000.0,72900000.0,0.0,21000000.0,-0.008893,,-1600000.0,,47300000.0,134932534.0,72900000.0,-58100000.0,-15500000.0,55700000.0,1747800000.0,2134700000.0,,8000000.0,40200000.0,,,,,71300000.0,427900000.0,85900000.0,93900000.0,134932534.0,93900000.0,24500000.0,29200000,-0.008893,,-1200000.0,10400000.0,-21500000.0,13600000.0,-5400000.0,1411400000.0,21600000.0,7600000,39200000.0,900000.0,284100000,316300000.0,1380400000.0,386900000.0,2600000.0,,80500000.0,852600000.0,1095100000.0,-22900000.0,172100000.0,126100000.0,133600000.0,150500000.0,-1200000,142900000.0,-1200000.0,,,434700000.0,,,,,,,
1997-09-30,5500000.0,987200000.0,117300000.0,-8800000.0,-410100000.0,4500000.0,162900000.0,64000000.0,122200000.0,0.0,21000000.0,,,-19200000.0,,38300000.0,,122200000.0,14200000.0,-21500000.0,6300000.0,1747800000.0,2151700000.0,,-29900000.0,-15200000.0,,,,,103200000.0,425900000.0,93900000.0,64000000.0,,64000000.0,-22200000.0,4800000,,,-10400000.0,-50400000.0,-21600000.0,-9200000.0,-6000000.0,1476900000.0,20800000.0,-16000000,5400000.0,-200000.0,251900000,404500000.0,1397300000.0,403900000.0,-5300000.0,,104300000.0,844800000.0,1062000000.0,-37500000.0,135900000.0,110600000.0,121700000.0,130200000.0,-10400000,146200000.0,-10400000.0,,,408300000.0,,,,,,,
1997-12-31,4300000.0,990000000.0,105600000.0,19600000.0,-422700000.0,4900000.0,154900000.0,78800000.0,165000000.0,0.0,21400000.0,0.16675,,44400000.0,,40600000.0,148725637.0,165000000.0,55700000.0,-15600000.0,-14900000.0,1749000000.0,2244000000.0,,14800000.0,-30500000.0,,,,,105800000.0,425900000.0,64000000.0,78800000.0,148725637.0,78800000.0,-8400000.0,94900000,0.16675,,24800000.0,-26000000.0,-11900000.0,3100000.0,-11200000.0,1550300000.0,21600000.0,73300000,-73200000.0,900000.0,471200000,444500000.0,1412700000.0,495000000.0,-3700000.0,,106800000.0,876600000.0,1105800000.0,11900000.0,173700000.0,180700000.0,235700000.0,235500000.0,24800000,162200000.0,24800000.0,,,425800000.0,,,,,,,
1998-03-31,4000000.0,992600000.0,62200000.0,26600000.0,-436500000.0,1100000.0,156900000.0,78400000.0,72300000.0,0.0,22200000.0,0.211217,,57800000.0,669100000.0,40100000.0,147715616.0,72300000.0,-113900000.0,-15700000.0,128700000.0,1747000000.0,2184200000.0,,-400000.0,113000000.0,,,,,75900000.0,413800000.0,78800000.0,78400000.0,149287059.0,78400000.0,3800000.0,115600000,0.208993,,31200000.0,-15200000.0,-31300000.0,22400000.0,7100000.0,1476600000.0,21900000.0,93700000,56200000.0,-2800000.0,488300000,353500000.0,1429100000.0,437200000.0,200000.0,,115300000.0,890400000.0,,43500000.0,205300000.0,167500000.0,227500000.0,260800000.0,31200000,167100000.0,31200000.0,,,431800000.0,,,,,,,
1998-06-30,4600000.0,992500000.0,75700000.0,-1600000.0,-450200000.0,1000000.0,156700000.0,42100000.0,75500000.0,0.0,21100000.0,-0.02668,,-5500000.0,,49200000.0,146176912.0,75500000.0,-23300000.0,-15100000.0,34500000.0,1723600000.0,2089900000.0,,-36300000.0,19400000.0,,,,,65800000.0,413900000.0,78400000.0,42100000.0,146176912.0,42100000.0,-31900000.0,25900000,-0.02668,,-3900000.0,-47500000.0,-21600000.0,6200000.0,-19800000.0,1418500000.0,21900000.0,4000000,13500000.0,8700000.0,255200000,288900000.0,1442700000.0,366300000.0,-700000.0,,142100000.0,889000000.0,1129600000.0,-13500000.0,147600000.0,100400000.0,104800000.0,150400000.0,-3900000,146400000.0,-3900000.0,,,412300000.0,,,,,,,
1998-09-30,-200000.0,999000000.0,78700000.0,-10200000.0,-465500000.0,1500000.0,164400000.0,66600000.0,92000000.0,0.0,21200000.0,,,-22000000.0,,35000000.0,,92000000.0,-4300000.0,-22800000.0,30200000.0,1724000000.0,2074600000.0,,24500000.0,7400000.0,,,,,80100000.0,414300000.0,42100000.0,66600000.0,,66600000.0,20100000.0,8900000,,,-11800000.0,-1400000.0,-21800000.0,-17700000.0,-2900000.0,1451000000.0,22400000.0,-13500000,30000000.0,3300000.0,225000000,321800000.0,1464500000.0,350600000.0,-100000.0,,116800000.0,890800000.0,1119200000.0,-2900000.0,105000000.0,81800000.0,90400000.0,134600000.0,-11800000,148100000.0,-11800000.0,,,387100000.0,,,,,,,
