date,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyEbitda,quarterlyBasicEPS,quarterlyNetPPE,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyCommonStockIssuance,quarterlyBasicAverageShares,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyFreeCashFlow,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyDilutedEPS,quarterlyInventory,quarterlyDilutedAverageShares,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable
2000-09-30,988000000,35000000,,315000000.0,0.0,69800000,29000000.0,,-144000000.0,,,1000000.0,36000000,36000000,508000000,-7000000,38600000,,71000000.0,1000000,2905000000.0,,479300000,48000000,-40000000,-1499000000.0,108000000.0,1000000,0.0,21700000,73600000,0.18,1406000000,9100000,126000000,,70400000.0,,,8000000,370900000,482000000,1780000000,687000000,565000000,,46000000,34800000.0,2345000000,12600000,35000000,,3000000.0,14000000.0,,0.18,224000000,70400000.0,12600000,12600000,108400000,1500000,1169000000,59000000,195000000,241000000,21000000,-40000000,36000000,,-4000000.0,,,,,,
2000-12-31,960000000,36000000,,313000000.0,-120000000.0,60100000,8000000.0,,-186000000.0,,,1000000.0,41000000,41000000,267000000,-53000000,40800000,,136000000.0,34000000,2915000000.0,,467500000,108000000,70000000,-1508000000.0,83000000.0,5000000,0.0,21500000,71800000,,1407000000,9000000,132000000,,,,,178000000,366600000,685000000,1784000000,486000000,555000000,,47000000,29100000.0,2339000000,12500000,31000000,,-23000000.0,17300000.0,,,232000000,,12500000,12500000,100900000,1400000,1171000000,64000000,185000000,453000000,-7000000,-49000000,41000000,,-3000000.0,,,,,,
2001-03-31,927000000,41000000,,,0.0,35400000,0.0,,-228000000.0,,,1000000.0,37000000,37000000,317000000,88000000,39600000,,199000000.0,-46000000,1374000000.0,,454600000,-4000000,-13000000,,0.0,-4000000,,21100000,72600000,0.18,1374000000,8400000,141000000,,70600000.0,,-3000000.0,-17000000,379600000,708000000,1757000000,516000000,553000000,313000000.0,43000000,39400000.0,2310000000,12700000,33000000,,0.0,15500000.0,,0.18,212000000,71000000.0,12700000,12700000,75000000,4000000,1224000000,68000000,178000000,487000000,15000000,-88000000,37000000,291000000.0,-4000000.0,,,,,,
2001-06-30,920000000,37000000,,314000000.0,0.0,30300000,0.0,,-247000000.0,,,1000000.0,27000000,27000000,230000000,-2000000,42200000,,208000000.0,-25000000,2876000000.0,,482200000,22000000,-26000000,-1508000000.0,0.0,-10000000,,24800000,75200000,0.215,1368000000,9500000,152000000,,70600000.0,,0.0,-4000000,409700000,801000000,1757000000,438000000,554000000,,45000000,35100000.0,2311000000,15300000,33000000,,0.0,15000000.0,,0.215,211000000,70800000.0,15300000,15300000,72500000,4800000,1239000000,73000000,170000000,586000000,0,-28000000,27000000,301000000.0,-11000000.0,,,,,,
2001-09-30,920000000,27000000,,316000000.0,0.0,37100000,0.0,,-265000000.0,,,1000000.0,20000000,20000000,191000000,-51000000,47000000,,207000000.0,12000000,16408000000.0,,474500000,64000000,-18000000,-15080000000.0,0.0,-7000000,,32200000,79000000,0.275,1328000000,11300000,169000000,,70600000.0,,,46000000,390400000,795000000,1718000000,398000000,548000000,,44000000,40800000.0,2266000000,19500000,32000000,,1000000.0,14800000.0,,0.275,224000000,71000000.0,19500000,19500000,84100000,3700000,1193000000,72000000,180000000,571000000,-17000000,-19000000,20000000,294000000.0,-4000000.0,,,,,,
2001-12-31,857000000,20000000,,283000000.0,0.0,30200000,0.0,,-336000000.0,,,1000000.0,65000000,65000000,444000000,-8000000,37200000,,143000000.0,41000000,2746000000.0,,475700000,89000000,-37000000,-1453000000.0,0.0,45000000,,18500000,66200000,,1293000000,6800000,175000000,3000000.0,,,,52000000,408300000,548000000,1672000000,675000000,555000000,,50000000,32600000.0,2227000000,9600000,29000000,,0.0,18700000.0,,,201000000,,9600000,9600000,67400000,2400000,1223000000,76000000,186000000,312000000,22000000,-36000000,65000000,279000000.0,-4000000.0,88000000.0,,,,,
2002-03-31,810000000,65000000,,,0.0,-30912000,0.0,,-393000000.0,,,1000000.0,41000000,41000000,419000000,-29000000,89712000,,203000000.0,-6000000,2673000000.0,,431900000,27000000,-13000000,-1453000000.0,0.0,-24000000,,21900000,115712000,0.155,1220000000,7900000,182000000,,71000000.0,,2000000.0,14000000,373100000,546000000,1579000000,622000000,496000000,264000000.0,51000000,36900000.0,2075000000,11200000,26000000,,0.0,9600000.0,,0.155,190000000,71200000.0,11200000,11200000,58800000,9600000,1168000000,75000000,193000000,302000000,1000000,-20000000,41000000,252000000.0,-4000000.0,,,,,,
2002-06-30,825000000,41000000,,273000000.0,0.0,31500000,0.0,,-395000000.0,,,1000000.0,51000000,51000000,189000000,-52000000,40000000,,210000000.0,31000000,2639000000.0,,486200000,82000000,-19000000,-1453000000.0,0.0,10000000,,30600000,68000000,0.26,1186000000,12000000,197000000,,71200000.0,,2000000.0,63000000,414700000,738000000,1559000000,399000000,500000000,,63000000,33000000.0,2059000000,18600000,28000000,,3000000.0,6700000.0,,0.26,192000000,71600000.0,18600000,18600000,71500000,1500000,1137000000,80000000,184000000,491000000,-4000000,-19000000,51000000,245000000.0,-7000000.0,,,,,,
2002-09-30,804000000,51000000,,270000000.0,0.0,29600000,0.0,,-430000000.0,,,1000000.0,54000000,54000000,144000000,-32000000,40400000,,195000000.0,19000000,2588000000.0,,480100000,55000000,-19000000,-1453000000.0,0.0,3000000,,31100000,65400000,0.24,1135000000,11200000,211000000,0.0,71200000.0,,-6000000.0,36000000,410100000,729000000,1504000000,339000000,457000000,,76000000,32400000.0,1961000000,17100000,25000000,,0.0,9300000.0,,0.24,172000000,71400000.0,17100000,17100000,70000000,2800000,1068000000,79000000,180000000,473000000,14000000,-19000000,54000000,220000000.0,-4000000.0,,,,,,
2002-12-31,828000000,54000000,,280000000.0,46000000.0,25700000,0.0,,-422000000.0,,,1000000.0,36000000,36000000,84000000,-46000000,41100000,,164000000.0,9000000,2586000000.0,,472800000,42000000,-27000000,-1432000000.0,0.0,-18000000,,18700000,65100000,,1154000000,10900000,224000000,1000000.0,,,,15000000,406000000,747000000,1530000000,347000000,485000000,,68000000,31800000.0,2015000000,16100000,24000000,,0.0,10400000.0,,,194000000,,16100000,16100000,66800000,6100000,1094000000,63000000,163000000,516000000,-17000000,-15000000,36000000,244000000.0,-4000000.0,99000000.0,,,,,
2003-03-31,857000000,36000000,,310000000.0,0.0,33300000,0.0,,-412000000.0,,,1000000.0,39000000,39000000,84000000,60000000,35500000,,241000000.0,-47000000,2581000000.0,,479400000,-3000000,-7000000,-1432000000.0,0.0,3000000,,23100000,60500000,0.19,1149000000,9500000,234000000,,71400000.0,,2000000.0,-10000000,410600000,819000000,1556000000,325000000,517000000,,71000000,34600000.0,2073000000,13600000,25000000,,0.0,9200000.0,,0.19,204000000,71800000.0,13600000,13600000,68800000,1300000,1144000000,64000000,168000000,580000000,-8000000,-55000000,39000000,262000000.0,-4000000.0,,,,,,
2003-06-30,922000000,39000000,,322000000.0,0.0,36600000,0.0,,-362000000.0,,,1000000.0,43000000,43000000,134000000,-44000000,42400000,,236000000.0,23000000,2609000000.0,,539300000,68000000,-20000000,-1432000000.0,0.0,4000000,,29900000,68400000,0.25,1177000000,11700000,248000000,,72000000.0,,,48000000,460300000,747000000,1596000000,370000000,517000000,,72000000,35900000.0,2113000000,18200000,26000000,,2000000.0,10000000.0,,0.25,209000000,72400000.0,18200000,18200000,79000000,-700000,1117000000,64000000,178000000,497000000,1000000,-20000000,43000000,257000000.0,-7000000.0,,,,,,
2003-09-30,938000000,43000000,,325000000.0,0.0,38800000,0.0,,-363000000.0,,,1000000.0,61000000,61000000,131000000,-30000000,44900000,,247000000.0,20000000,2602000000.0,,540700000,67000000,-19000000,-1432000000.0,0.0,18000000,,34800000,69900000,0.275,1170000000,12500000,265000000,0.0,72000000.0,,,48000000,457000000,722000000,1593000000,378000000,521000000,,65000000,37600000.0,2114000000,20000000,25000000,,-25000000.0,10100000.0,,0.275,194000000,72600000.0,20000000,20000000,83700000,-1200000,1100000000,65000000,179000000,478000000,15000000,-19000000,61000000,254000000.0,-5000000.0,,,,,,
2003-12-31,911000000,61000000,,319000000.0,0.0,41300000,0.0,,-346000000.0,,,1000000.0,70000000,70000000,98000000,-59000000,51200000,,200000000.0,50000000,2782000000.0,,542500000,104000000,-37000000,-1595000000.0,0.0,9000000,,41400000,76200000,,1187000000,15300000,285000000,3000000.0,,,,67000000,450000000,827000000,1663000000,394000000,547000000,,165000000,40800000.0,2210000000,24100000,25000000,,-58000000.0,9800000.0,,,215000000,,24100000,24100000,92500000,-500000,1221000000,96000000,210000000,452000000,-19000000,-36000000,70000000,252000000.0,-4000000.0,96000000.0,,,,,
2004-03-31,968000000,70000000,,327000000.0,1000000.0,40300000,0.0,,-307000000.0,,,1000000.0,115000000,115000000,87000000,-16000000,54200000,,305000000.0,15000000,2775000000.0,,550400000,75000000,-15000000,-1595000000.0,0.0,45000000,,44700000,79200000,0.355,1180000000,16100000,306000000,4000000.0,72400000.0,,6000000.0,60000000,455900000,851000000,1656000000,392000000,631000000,,191000000,40300000.0,2287000000,25700000,25000000,,0.0,9500000.0,,0.35,196000000,73400000.0,25700000,25700000,94500000,0,1243000000,91000000,208000000,452000000,19000000,-14000000,115000000,306000000.0,-4000000.0,,,,,,
2004-06-30,980000000,115000000,,327000000.0,0.0,38100000,0.0,,-354000000.0,,,1000000.0,144000000,144000000,98000000,43000000,53500000,,311000000.0,-48000000,2752000000.0,,572000000,4000000,-16000000,-1595000000.0,0.0,29000000,,45400000,79500000,0.405,1157000000,13600000,331000000,14000000.0,73000000.0,,-5000000.0,-12000000,480400000,828000000,1624000000,409000000,672000000,,160000000,40400000.0,2296000000,29500000,26000000,,0.0,8100000.0,,0.395,229000000,74400000.0,29500000,29500000,91600000,2300000,1237000000,83000000,189000000,479000000,-35000000,-18000000,144000000,289000000.0,-10000000.0,,,,,,
2004-09-30,1017000000,144000000,,327000000.0,0.0,37000000,0.0,,-366000000.0,,,1000000.0,138000000,138000000,99000000,-3000000,46400000,,351000000.0,-29000000,2764000000.0,,587400000,17000000,-20000000,-1595000000.0,0.0,-6000000,,38100000,71400000,0.325,1169000000,12600000,351000000,3000000.0,73800000.0,,-5000000.0,-3000000,504000000,791000000,1642000000,450000000,695000000,,134000000,37200000.0,2337000000,24000000,25000000,,0.0,8300000.0,,0.32,230000000,75000000.0,24000000,24000000,83400000,200000,1241000000,88000000,178000000,479000000,2000000,-20000000,138000000,315000000.0,-5000000.0,,,,,,
2004-12-31,1081000000,138000000,,353000000.0,0.0,59500000,0.0,,-323000000.0,,,1000000.0,101000000,101000000,88000000,-11000000,25000000,,261000000.0,14000000,2922000000.0,,573200000,70000000,-53000000,-1711000000.0,0.0,-37000000,,16800000,51000000,,1211000000,700000,360000000,9000000.0,,,,17000000,488700000,806000000,1706000000,462000000,661000000,,149000000,40100000.0,2367000000,14800000,26000000,,0.0,8200000.0,,,258000000,,14800000,14800000,84500000,-19400000,1268000000,70000000,177000000,480000000,-20000000,-97000000,101000000,291000000.0,-4000000.0,113000000.0,,,,,
2005-03-31,1138000000,101000000,,360000000.0,0.0,38000000,0.0,,-292000000.0,,,1000000.0,98000000,98000000,77000000,-9000000,35000000,,285000000.0,-20000000,2914000000.0,,567000000,29000000,-20000000,-1711000000.0,0.0,-3000000,,26000000,61000000,0.22,1203000000,9000000,372000000,10000000.0,75100000.0,,5000000.0,9000000,494000000,796000000,1686000000,362000000,628000000,,106000000,39000000.0,2314000000,17000000,26000000,,0.0,10000000.0,,0.22,220000000,76500000.0,17000000,17000000,73000000,2000000,1158000000,74000000,177000000,480000000,38000000,-23000000,98000000,286000000.0,-6000000.0,,,,,,
2005-06-30,1178000000,98000000,,357000000.0,0.0,38400000,0.0,,-269000000.0,,,1000000.0,119000000,119000000,72000000,-28000000,51800000,,330000000.0,37000000,2933000000.0,,596200000,84000000,-34000000,-1711000000.0,0.0,21000000,,42300000,77800000,0.35,1222000000,14800000,392000000,-8000000.0,75200000.0,,-6000000.0,50000000,506000000,784000000,1704000000,402000000,676000000,,109000000,39600000.0,2380000000,26500000,26000000,,0.0,9500000.0,,0.35,251000000,76000000.0,26500000,26500000,90200000,1200000,1186000000,85000000,176000000,471000000,-28000000,-36000000,119000000,271000000.0,-6000000.0,,,,,,
2005-09-30,1210000000,119000000,,355000000.0,0.0,35400000,0.0,,-231000000.0,,,1000000.0,95000000,95000000,71000000,-35000000,52200000,,326000000.0,-12000000,2956000000.0,,612000000,39000000,-29000000,-1711000000.0,0.0,-24000000,,43200000,79200000,0.31,1245000000,19400000,410000000,13000000.0,74200000.0,,,10000000,524400000,748000000,1687000000,406000000,694000000,,97000000,38300000.0,2381000000,23100000,27000000,,0.0,9000000.0,,0.31,253000000,75000000.0,23100000,23100000,87600000,2900000,1154000000,71000000,154000000,471000000,1000000,-29000000,95000000,320000000.0,-6000000.0,,,,,,
2005-12-31,1210000000,95000000,,359000000.0,0.0,38100000,0.0,,-252000000.0,,,1000000.0,116000000,116000000,57000000,-19000000,43600000,,263000000.0,55000000,3097000000.0,,585200000,93000000,-60000000,-1823000000.0,0.0,21000000,14000000.0,36600000,70600000,,1274000000,13100000,429000000,,,,,33000000,503500000,738000000,1704000000,424000000,685000000,,110000000,40800000.0,2389000000,23900000,27000000,,0.0,7000000.0,,,258000000,,23900000,23900000,81700000,2700000,1162000000,68000000,128000000,471000000,-6000000,-53000000,116000000,287000000.0,-4000000.0,103000000.0,,,,,
2006-03-31,1245000000,116000000,,,1000000.0,47000000,0.0,,-233000000.0,,,1000000.0,90000000,90000000,67000000,5000000,46000000,,334000000.0,-56000000,3120000000.0,,615000000,5000000,-37000000,-1823000000.0,0.0,-26000000,,40000000,74000000,0.32,1297000000,15000000,446000000,3000000.0,74100000.0,,9000000.0,-32000000,522000000,747000000,1731000000,402000000,680000000,367000000.0,111000000,48000000.0,2411000000,23000000,28000000,,0.0,7000000.0,,0.31,263000000,75400000.0,23000000,23000000,93000000,1000000,1149000000,65000000,130000000,471000000,-3000000,-36000000,90000000,299000000.0,-7000000.0,,,,,,
2006-06-30,1248000000,90000000,,,0.0,47400000,0.0,,-238000000.0,,,1000000.0,57000000,57000000,71000000,-42000000,57100000,,360000000.0,-10000000,3134000000.0,,644900000,46000000,-39000000,-1823000000.0,0.0,-33000000,,49500000,84100000,0.41,1311000000,18300000,471000000,3000000.0,73900000.0,,-3000000.0,7000000,540400000,724000000,1752000000,432000000,669000000,371000000.0,140000000,49400000.0,2421000000,30100000,27000000,,0.0,7600000.0,,0.4,294000000,75300000.0,30100000,30100000,104500000,2000000,1156000000,68000000,130000000,454000000,-31000000,-39000000,57000000,292000000.0,-6000000.0,,,,,,
2006-09-30,1287000000,57000000,,,0.0,47700000,0.0,,-242000000.0,,,1000000.0,72000000,72000000,68000000,8000000,64500000,,386000000.0,-10000000,3148000000.0,,674200000,69000000,-40000000,-1823000000.0,0.0,15000000,0.0,57900000,93500000,0.5,1325000000,20000000,502000000,13000000.0,74000000.0,,12000000.0,29000000,562000000,738000000,1790000000,455000000,707000000,371000000.0,148000000,49900000.0,2497000000,37000000,29000000,,5000000.0,6600000.0,,0.49,303000000,75500000.0,37000000,37000000,112200000,2200000,1193000000,91000000,136000000,454000000,-9000000,-62000000,72000000,306000000.0,-7000000.0,,,,,,
2006-12-31,1330000000,72000000,,,-1000000.0,50300000,0.0,,-223000000.0,,,1000000.0,131000000,131000000,74000000,23000000,56200000,,311000000.0,47000000,3297000000.0,,687000000,110000000,-55000000,-1941000000.0,0.0,59000000,0.0,49900000,86200000,,1356000000,15300000,528000000,2000000.0,,,-14000000.0,55000000,580500000,796000000,1825000000,517000000,837000000,381000000.0,195000000,54900000.0,2662000000,33400000,30000000,,1000000.0,6300000.0,,,321000000,,33400000,33400000,106500000,4600000,1313000000,87000000,121000000,480000000,-14000000,-73000000,131000000,357000000.0,-6000000.0,118000000.0,,,,,
2007-03-31,1401000000,131000000,,,0.0,58400000,0.0,,-217000000.0,,,1000000.0,87000000,87000000,64000000,-11000000,87800000,,419000000.0,-32000000,3323000000.0,,761900000,58000000,-32000000,-1941000000.0,0.0,-44000000,-7000000.0,77900000,118800000,0.67,1382000000,26500000,570000000,2000000.0,74500000.0,,,26000000,615700000,788000000,1878000000,497000000,826000000,428000000.0,174000000,57600000.0,2704000000,50000000,31000000,,0.0,9900000.0,,0.66,340000000,76200000.0,50000000,50000000,146200000,-800000,1285000000,66000000,120000000,494000000,-7000000,-91000000,87000000,371000000.0,-8000000.0,,,,,,
2007-06-30,1467000000,87000000,,,1000000.0,64900000,0.0,,-207000000.0,,,1000000.0,396000000,396000000,353000000,335000000,90600000,,457000000.0,-69000000,3369000000.0,,857000000,9000000,-37000000,-1941000000.0,0.0,309000000,0.0,77700000,121600000,0.68,1428000000,25500000,614000000,10000000.0,74800000.0,,,-28000000,701500000,841000000,1945000000,824000000,1207000000,428000000.0,189000000,64900000.0,3152000000,50600000,31000000,,4000000.0,12900000.0,,0.66,365000000,76600000.0,50600000,50600000,155500000,0,1665000000,89000000,112000000,540000000,-19000000,-36000000,396000000,414000000.0,-8000000.0,,,,,,
