date,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyBasicEPS,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyDilutedEPS,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue
1990-03-31,94500000.0,,-31800000.0,54300000.0,0.0,,207600000.0,,-1612300000.0,138400000.0,136300000.0,136300000.0,,71200000.0,36800000.0,61500000.0,,655900000.0,46400000.0,-6800000.0,,-2200000.0,,,1500000.0,121100000.0,813500000,-64500000.0,77800000,,2959000000.0,16300000.0,499400000.0,41800000.0,1346700000.0,0.13125,-2100000.0,,127600000,,-34600000.0,1683700000.0,138400000.0,,56600000.0,,1375700000.0,153300000.0,1226500000.0,38000000.0,2906900000.0,243900000.0,-15200000.0,1531200000.0,49800000.0,,123000000.0,,280900000.0,0.0,2910200000.0,38000000.0,0.13125,38000000,-69500000.0,515100000.0,86700000.0,15800000.0,,1353100000.0,203100000.0,-78900000.0,0.0,,,,532600000.0
1990-06-30,0.0,,60700000.0,79900000.0,-12300000.0,,207400000.0,,-1683200000.0,139412000.0,194200000.0,194200000.0,,75600000.0,37500000.0,70100000.0,,639200000.0,-19300000.0,-3500000.0,,55100000.0,,,4800000.0,75600000.0,987300000,-83200000.0,103900000,,3117400000.0,25200000.0,471000000.0,57900000.0,1434200000.0,0.19,-1000000.0,,156700000,,20200000.0,1733300000.0,139412000.0,,-7600000.0,,1419900000.0,164700000.0,1185800000.0,54700000.0,3037200000.0,238300000.0,,1617300000.0,52800000.0,,113000000.0,,321400000.0,0.0,2919100000.0,54700000.0,0.18875,54700000,26200000.0,498400000.0,94200000.0,15600000.0,,1400800000.0,217500000.0,-77600000.0,0.0,,,,665900000.0
1990-09-30,0.0,,129100000.0,51400000.0,0.0,,213600000.0,,-1739000000.0,139836000.0,197200000.0,197200000.0,,85600000.0,38800000.0,69900000.0,,647300000.0,40700000.0,-5800000.0,,-28800000.0,,,1800000.0,121000000.0,941000000,-91700000.0,79500000,,3240700000.0,15900000.0,495400000.0,3000000.0,1501700000.0,0.1225,5900000.0,,128400000,,55700000.0,1695400000.0,139836000.0,,29300000.0,,1427100000.0,162700000.0,1228300000.0,35500000.0,3115600000.0,232500000.0,,1688500000.0,48900000.0,,116900000.0,,291100000.0,0.0,2923700000.0,35500000.0,0.1225,35500000,12300000.0,492900000.0,97800000.0,13000000.0,,1365100000.0,211600000.0,-94600000.0,0.0,,,,649900000.0
1990-12-31,0.0,,149600000.0,25900000.0,0.0,,219200000.0,,-1772600000.0,,93000000.0,93000000.0,,99600000.0,37500000.0,70200000.0,,677300000.0,60500000.0,-6500000.0,,-198200000.0,,,-5600000.0,127700000.0,980500000,-84900000.0,46000000,,3279700000.0,-1200000.0,477800000.0,-104200000.0,1507100000.0,,-6700000.0,,105700000,,82700000.0,1491900000.0,,,42800000.0,,1295300000.0,163200000.0,1254700000.0,27100000.0,2959200000.0,229100000.0,,1663900000.0,59700000.0,,86600000.0,,268900000.0,0.0,2746600000.0,27100000.0,,27100000,47700000.0,446600000.0,104200000.0,18400000.0,,1158600000.0,222900000.0,-28100000.0,0.0,,,,711600000.0
1991-03-31,93000000.0,,167400000.0,56400000.0,0.0,,224100000.0,,-1803300000.0,139432000.0,188500000.0,188500000.0,,94800000.0,35200000.0,69000000.0,,632500000.0,-44700000.0,-8800000.0,,97500000.0,,,1700000.0,42200000.0,877400000,-42900000.0,78000000,,3279300000.0,17700000.0,508300000.0,95400000.0,1476000000.0,0.13375,-1200000.0,,132700000,,121400000.0,1579700000.0,139432000.0,,-700000.0,,1412200000.0,145800000.0,1235600000.0,38700000.0,3045600000.0,229400000.0,-900000.0,1633400000.0,54700000.0,,88400000.0,,278500000.0,0.0,2815300000.0,38700000.0,0.13375,38700000,-22200000.0,464300000.0,95800000.0,14400000.0,,1254500000.0,200500000.0,-41600000.0,0.0,,,,598900000.0
1991-06-30,0.0,,215100000.0,90500000.0,0.0,,232800000.0,,-1831300000.0,140280000.0,184500000.0,184500000.0,,89100000.0,33000000.0,67700000.0,,590100000.0,-19700000.0,-3500000.0,,-59100000.0,,,4000000.0,100200000.0,1046700000,-45500000.0,121700000,,3284600000.0,28000000.0,486200000.0,-4000000.0,1453300000.0,0.215,-1300000.0,,176400000,,183900000.0,1521300000.0,140280000.0,,54700000.0,,1355900000.0,160100000.0,1165400000.0,62500000.0,2963100000.0,229300000.0,,1607200000.0,54700000.0,,86200000.0,,336500000.0,100000.0,2686700000.0,62500000.0,0.21375,62500000,42500000.0,416600000.0,98100000.0,2600000.0,,1193900000.0,214800000.0,-40300000.0,0.0,,,,710200000.0
1991-09-30,0.0,,249600000.0,60500000.0,-100000.0,,236200000.0,,-1870200000.0,140524000.0,141300000.0,141300000.0,-1000000.0,63200000.0,29900000.0,61600000.0,,569200000.0,12100000.0,7900000.0,,-113500000.0,,,1100000.0,118300000.0,967400000,-52400000.0,78900000,,3314100000.0,18800000.0,536600000.0,-43200000.0,1443900000.0,0.1425,9600000.0,,134800000,,216400000.0,1415600000.0,140524000.0,,65900000.0,,1301900000.0,151100000.0,1169000000.0,41700000.0,2896200000.0,199800000.0,,1594300000.0,55900000.0,,88800000.0,,285900000.0,-100000.0,2584600000.0,41700000.0,0.1375,41700000,45600000.0,371000000.0,100500000.0,12300000.0,,1115300000.0,207000000.0,-50000000.0,0.0,,,,681500000.0
1991-12-31,0.0,,309800000.0,48500000.0,100000.0,,241100000.0,,-1905400000.0,,44200000.0,44200000.0,,63100000.0,26700000.0,25800000.0,,600400000.0,64000000.0,100000.0,,-192400000.0,,,2800000.0,163300000.0,1007900000,-76000000.0,46100000,,3389600000.0,18300000.0,529500000.0,-97000000.0,1484200000.0,,-3100000.0,,105700000,,57000000.0,1250000000.0,,,87300000.0,,1179800000.0,174000000.0,1193000000.0,30200000.0,2815600000.0,198900000.0,,1635800000.0,59600000.0,,125800000.0,,279700000.0,-100000.0,2443000000.0,30200000.0,,30200000,9800000.0,364800000.0,122100000.0,29700000.0,,929000000.0,233600000.0,-77600000.0,0.0,,,,728200000.0
1992-03-31,44200000.0,,360000000.0,77000000.0,-100000.0,,259300000.0,,-1942600000.0,142032000.0,89200000.0,89200000.0,2800000.0,67600000.0,22500000.0,71100000.0,,548000000.0,-120800000.0,-7200000.0,,202400000.0,,,6500000.0,-26300000.0,933900000,-138100000.0,90100000,,3499900000.0,22300000.0,566300000.0,44900000.0,1557300000.0,0.155,-2600000.0,,145700000,,292100000.0,1432200000.0,142032000.0,,-164400000.0,,1321800000.0,153900000.0,1181900000.0,45500000.0,3038100000.0,186600000.0,,1716300000.0,55600000.0,,87900000.0,,299600000.0,0.0,2614100000.0,45500000.0,0.15,54700000,-40100000.0,404700000.0,118600000.0,11000000.0,,1127000000.0,209500000.0,-131700000.0,0.0,,,,634300000.0
1992-06-30,0.0,,429300000.0,95000000.0,100000.0,,258400000.0,,-1982400000.0,142532000.0,106100000.0,106100000.0,2700000.0,55800000.0,26400000.0,25000000.0,,501100000.0,-21400000.0,-6100000.0,,-33800000.0,,,3400000.0,83400000.0,1061100000,-48500000.0,100000000,,3518200000.0,29600000.0,570500000.0,17000000.0,1535800000.0,0.2225,-10000000.0,,158500000,,357500000.0,1409700000.0,142532000.0,,34900000.0,,1324100000.0,174500000.0,1127400000.0,65400000.0,3023800000.0,178600000.0,,1699700000.0,58500000.0,,138900000.0,,333000000.0,0.0,2537100000.0,65400000.0,0.21125,65400000,33800000.0,370900000.0,121700000.0,22700000.0,,1109400000.0,233000000.0,-36100000.0,0.0,,,,728100000.0
1992-09-30,0.0,,478900000.0,54000000.0,0.0,,262700000.0,,-2025900000.0,142664000.0,152400000.0,152400000.0,-900000.0,89300000.0,23400000.0,73300000.0,,503600000.0,-31400000.0,9600000.0,,22600000.0,,,900000.0,78500000.0,976300000,-58600000.0,68600000,,3560300000.0,11800000.0,558900000.0,46200000.0,1534400000.0,0.13625,6500000.0,,126700000,,397500000.0,1411100000.0,142664000.0,,19900000.0,,1400200000.0,161600000.0,1151800000.0,40000000.0,3098700000.0,172800000.0,,1698500000.0,58100000.0,,90800000.0,,288300000.0,-100000.0,2562900000.0,40000000.0,0.13125,42200000,21600000.0,347300000.0,121600000.0,9900000.0,,1116700000.0,219700000.0,-59500000.0,0.0,,,,688000000.0
1992-12-31,0.0,,219000000.0,53500000.0,0.0,,235900000.0,,-2039600000.0,,24300000.0,24300000.0,,63200000.0,22500000.0,63200000.0,,513900000.0,114700000.0,700000.0,,-267000000.0,,,3900000.0,209500000.0,1002500000,-69300000.0,48300000,,3541700000.0,23200000.0,547000000.0,-128100000.0,1502100000.0,,101700000.0,,109200000,,170800000.0,1427600000.0,,,140200000.0,,1123000000.0,188900000.0,1124100000.0,-226600000.0,2826600000.0,584000000.0,,1703600000.0,60900000.0,,138300000.0,,298100000.0,100000.0,2551700000.0,-226600000.0,,30300000,17800000.0,319300000.0,,27700000.0,,843600000.0,249800000.0,-57100000.0,0.0,,,,704400000.0
1993-03-31,24300000.0,,253600000.0,61700000.0,0.0,,235000000.0,,-2073700000.0,143752000.0,130000000.0,130000000.0,4700000.0,112900000.0,18400000.0,61000000.0,,477500000.0,-59800000.0,-8000000.0,,98700000.0,,,1400000.0,37800000.0,901700000,-39500000.0,73400000,,3536000000.0,16300000.0,531800000.0,105700000.0,1462300000.0,0.15375,5900000.0,,132600000,,216300000.0,1501300000.0,143752000.0,,-1700000.0,,1252100000.0,162200000.0,1122200000.0,45400000.0,2933500000.0,250400000.0,,1681400000.0,59200000.0,,158100000.0,,294800000.0,0.0,2623500000.0,45400000.0,0.14875,45400000,-2800000.0,318600000.0,,7500000.0,,1250900000.0,221400000.0,-32500000.0,0.0,,,,606900000.0
1993-06-30,0.0,,306500000.0,84900000.0,-100000.0,,230300000.0,,-2109700000.0,143900000.0,135900000.0,135900000.0,6600000.0,76000000.0,19700000.0,86700000.0,,770300000.0,-41300000.0,6700000.0,,2700000.0,,,900000.0,53500000.0,979300000,-53500000.0,85000000,,3570600000.0,22300000.0,548100000.0,5900000.0,1460900000.0,0.195,-24500000.0,,138600000,,274200000.0,1535200000.0,143900000.0,,0.0,,1595800000.0,167100000.0,1394400000.0,57900000.0,3292600000.0,562600000.0,,1696800000.0,53600000.0,,149200000.0,,305700000.0,0.0,2929600000.0,57900000.0,0.1875,62600000,-311400000.0,629600000.0,,19700000.0,,972600000.0,220700000.0,-44100000.0,0.0,,,,673600000.0
1993-09-30,0.0,,321400000.0,45700000.0,100000.0,,232900000.0,,-2132100000.0,143956000.0,150100000.0,150100000.0,-5300000.0,72300000.0,17500000.0,90900000.0,,457000000.0,67200000.0,16000000.0,,-89400000.0,,,400000.0,153000000.0,926500000,-46400000.0,52700000,,3576300000.0,10400000.0,555300000.0,14200000.0,1444200000.0,0.11875,-4900000.0,,105100000,,309400000.0,1430900000.0,143956000.0,,106600000.0,,1224700000.0,169500000.0,1084600000.0,35300000.0,2894200000.0,546300000.0,,1669500000.0,52400000.0,,134400000.0,,274600000.0,-100000.0,2515500000.0,35300000.0,0.1175,35300000,362200000.0,265400000.0,,11200000.0,,884600000.0,221900000.0,-50500000.0,0.0,,,,651900000.0
1993-12-31,0.0,,216900000.0,-154500000.0,0.0,,240900000.0,,-2108100000.0,,77500000.0,77500000.0,17600000.0,119000000.0,18000000.0,91700000.0,,501200000.0,7000000.0,-53600000.0,,-82800000.0,,,4700000.0,99500000.0,946400000,-105100000.0,-153300000,,3498300000.0,-52200000.0,535800000.0,-72600000.0,1390200000.0,,200800000.0,,-91900000,,207100000.0,1396800000.0,,,-5600000.0,,1159700000.0,362100000.0,1156000000.0,-102300000.0,2813100000.0,646900000.0,,1653400000.0,61400000.0,,171500000.0,,270200000.0,0.0,2552800000.0,-102300000.0,,-102300000,-10500000.0,268100000.0,,17700000.0,,749900000.0,423500000.0,-86000000.0,0.0,,,,676200000.0
1994-03-31,77500000.0,,264000000.0,67800000.0,0.0,,288800000.0,,-2216200000.0,145124000.0,140500000.0,140500000.0,3100000.0,76800000.0,16400000.0,126600000.0,,599500000.0,-145100000.0,12600000.0,,128800000.0,,,3400000.0,-23400000.0,908300000,-46700000.0,72700000,,3649800000.0,21700000.0,614800000.0,63000000.0,1433600000.0,0.155,14200000.0,,126600000,,253200000.0,1514300000.0,145124000.0,,-70100000.0,,1479900000.0,180700000.0,1291100000.0,46100000.0,3192700000.0,633900000.0,,1712800000.0,53900000.0,,152600000.0,,307300000.0,0.0,2805400000.0,46100000.0,0.155,46100000,-68000000.0,422900000.0,,26400000.0,,880400000.0,234600000.0,-40700000.0,0.0,,,,601000000.0
1994-06-30,0.0,,336400000.0,99000000.0,100000.0,,297700000.0,,-2258500000.0,145500000.0,66500000.0,66500000.0,,79000000.0,16700000.0,153800000.0,,627200000.0,-42200000.0,12400000.0,,-37400000.0,,38900000.0,2600000.0,67200000.0,1053800000,-71600000.0,119600000,,3709600000.0,31700000.0,679800000.0,-74000000.0,1451100000.0,0.2275,-14400000.0,,175200000,,320500000.0,1479400000.0,145500000.0,,-4400000.0,,1512300000.0,146500000.0,1386000000.0,67300000.0,3315000000.0,610300000.0,,1802700000.0,55600000.0,,197800000.0,,360600000.0,-30900000.0,2865400000.0,67300000.0,0.22625,67300000,-24100000.0,447000000.0,,16300000.0,,869100000.0,241000000.0,-106700000.0,0.0,,,,693200000.0
1994-09-30,0.0,,392500000.0,47900000.0,-100000.0,,278300000.0,,-2307500000.0,145848000.0,114500000.0,114500000.0,,96100000.0,18200000.0,157600000.0,,658100000.0,72800000.0,11700000.0,,-5100000.0,,40600000.0,2800000.0,207400000.0,1009600000,-117000000.0,69900000,,3803400000.0,13200000.0,626000000.0,48000000.0,1495900000.0,0.11625,39000000.0,,126200000,,355200000.0,1469800000.0,145848000.0,,90400000.0,,1475600000.0,149000000.0,1380200000.0,34700000.0,3361100000.0,591600000.0,-41700000.0,1885500000.0,56300000.0,,232000000.0,,315800000.0,0.0,2850000000.0,34700000.0,0.11625,34700000,18300000.0,430400000.0,,11500000.0,,878200000.0,245900000.0,-155100000.0,0.0,,-9900000.0,,693800000.0
1994-12-31,0.0,,416500000.0,37700000.0,0.0,,231200000.0,,-2360100000.0,,98400000.0,98400000.0,,131000000.0,16700000.0,,,676900000.0,-39800000.0,-6400000.0,,25900000.0,,49200000.0,1700000.0,54500000.0,1039100000,-120700000.0,52400000,,3897500000.0,12400000.0,461000000.0,-16100000.0,1537400000.0,,14000000.0,,115600000,,380500000.0,1566600000.0,,,-66200000.0,,1376300000.0,149700000.0,1268900000.0,25300000.0,3351500000.0,358900000.0,21100000.0,1975200000.0,63200000.0,,437800000.0,,314500000.0,0.0,2835500000.0,25300000.0,,25300000,27600000.0,403900000.0,,12700000.0,,1207700000.0,262100000.0,-90300000.0,0.0,,-29200000.0,,724600000.0
1995-03-31,98400000.0,,473500000.0,74900000.0,0.0,,263300000.0,,-2404700000.0,146196000.0,146000000.0,146000000.0,13300000.0,203700000.0,19000000.0,,,676700000.0,-204800000.0,12200000.0,,190700000.0,,38300000.0,1300000.0,-66700000.0,1032100000,-93100000.0,107200000,,3977700000.0,22500000.0,433700000.0,47800000.0,1573000000.0,0.175,200000.0,,166100000,,432900000.0,1660800000.0,146196000.0,,-159800000.0,,1560400000.0,140800000.0,1314100000.0,52400000.0,3561100000.0,662500000.0,,2000700000.0,58900000.0,,427700000.0,,345200000.0,-100000.0,2974900000.0,52400000.0,0.17375,52400000,-51500000.0,455500000.0,,3200000.0,,998300000.0,238000000.0,-77200000.0,0.0,,-3300000.0,,686900000.0
1995-06-30,0.0,,573200000.0,108400000.0,-509700000.0,,290800000.0,,-2490800000.0,146196000.0,127200000.0,127200000.0,11200000.0,514800000.0,22800000.0,,,703900000.0,-28900000.0,9500000.0,,282400000.0,,42900000.0,2100000.0,83600000.0,1139800000,,135700000,,4167700000.0,30700000.0,514400000.0,-19000000.0,1676900000.0,0.2575,-37600000.0,,194500000,,510700000.0,1656000000.0,146196000.0,,176700000.0,,1717200000.0,151100000.0,1733100000.0,77700000.0,4063400000.0,658300000.0,,2346200000.0,58800000.0,,669300000.0,,388500000.0,-22500000.0,3389100000.0,77700000.0,0.2575,77700000,-39200000.0,539400000.0,,2900000.0,,997700000.0,252800000.0,-386200000.0,0.0,,,,751300000.0
1995-09-30,0.0,,611200000.0,23000000.0,509700000.0,,312800000.0,,-2520100000.0,146788000.0,100800000.0,100800000.0,9300000.0,347700000.0,25200000.0,334000000.0,,734800000.0,-306600000.0,-35300000.0,,12300000.0,,57400000.0,4400000.0,-138400000.0,1176300000,,98000000,,4247800000.0,-34000000.0,601100000.0,-26400000.0,1727700000.0,0.18875,,,163000000,,567700000.0,1714700000.0,146788000.0,,-563000000.0,,1748500000.0,163400000.0,1683600000.0,57000000.0,4163200000.0,719900000.0,,2414700000.0,65000000.0,,353000000.0,,383800000.0,194300000.0,3398300000.0,57000000.0,0.1875,57000000,-75400000.0,568100000.0,,-32300000.0,,994800000.0,285800000.0,100400000.0,0.0,,,,792500000.0
1995-12-31,0.0,,653400000.0,40500000.0,0.0,,281200000.0,,-2341600000.0,,70900000.0,70900000.0,15700000.0,487000000.0,20300000.0,345600000.0,,848500000.0,-100900000.0,9900000.0,,67600000.0,,,173200000.0,18100000.0,1161500000,-141700000.0,19000000,,4171200000.0,12100000.0,457200000.0,-29900000.0,1829600000.0,,,,85200000,,596100000.0,1697600000.0,,,-123600000.0,,1804900000.0,362400000.0,1792700000.0,28400000.0,4301100000.0,438600000.0,,2496200000.0,66200000.0,,321000000.0,,309000000.0,-171700000.0,3490300000.0,28400000.0,,28400000,-51800000.0,615000000.0,,59600000.0,,1259000000.0,290000000.0,-122600000.0,0.0,,-10600000.0,,852500000.0
