date,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyDilutedEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyDilutedAverageShares,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyChangeInInventory,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness
1987-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,2800000,,2800000,,,,,,,,,2800000,,7525000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,7525000.0,,,,,,,,,,,,,,,
1987-12-31,,,,,,9800000.0,,600000.0,,-10100000.0,2500000.0,2500000.0,,1000000.0,,,,,,,,,,,,31300000.0,-6500000,,3900000,,21200000.0,3800000.0,,,,,,-6500000,,,,5800000.0,13200000.0,,,5600000.0,,4800000.0,,22200000.0,27800000.0,0.0,,,,,1000000.0,,,18000000.0,,,,500000.0,,,12100000.0,1100000.0,,400000.0,,,,,,,
1988-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000,,3100000,,,,,,,,,3100000,,7525000.0,-0.02,,,,,,,,,,,,,,,,,,-0.02,,,7525000.0,,-100000.0,,,,,,,,,,,,,
1988-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,1600000,,1600000,,,,,,,,,1600000,,7525000.0,-0.06,,,,,,,,,,,,,,,,,,-0.06,,,7525000.0,,-400000.0,,,,,,,,,,,,,
1988-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,2200000,,2200000,,,,,,,,,2200000,,7525000.0,-0.03,,,,,,,,,,,,,,,,,,-0.03,,,7525000.0,,-300000.0,,,,,,,,,,,,,
1988-12-31,,,,,,10700000.0,,300000.0,,-11300000.0,3300000.0,3300000.0,,1000000.0,,,,,,,,,,,,31900000.0,-7500000,,2300000,,20600000.0,4800000.0,,,,,,-7500000,,,,4700000.0,11100000.0,,,6000000.0,,5800000.0,,21600000.0,27600000.0,0.0,,,,,1000000.0,,,16900000.0,,,,-200000.0,,,10500000.0,600000.0,,400000.0,,,,,,,
1989-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000,,2500000,,,,,,,,,2500000,,7525000.0,-0.02,,,,,,,,,,,,,,,,,,-0.02,,,7525000.0,,-200000.0,,,,,,,,,,,,,
1989-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000,,2500000,,,,,,,,,2500000,,7525000.0,-0.02,,,,,,,,,,,,,,,,,,-0.02,,,7525000.0,,-200000.0,,,,,,,,,,,,,
1989-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000,,2500000,,,,,,,,,2500000,,7525000.0,-0.02,,,,,,,,,,,,,,,,,,-0.02,,,7525000.0,,-200000.0,,,,,,,,,,,,,
1989-12-31,,,,,,9900000.0,,400000.0,,-12400000.0,5200000.0,5200000.0,,400000.0,,,,,,,,,,,,32800000.0,-7600000,,2600000,,20400000.0,6900000.0,,,,,,-7600000,,,,4000000.0,11500000.0,,,7400000.0,,7300000.0,,21300000.0,28700000.0,100000.0,,,,,900000.0,,,18800000.0,,,,-200000.0,,,11200000.0,200000.0,,200000.0,,,,,,,
1990-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,4700000,,4700000,,,,,,,,,4700000,,7525000.0,0.02,,,,,,,,,,,,,,,,,,0.02,,,7525000.0,,200000.0,,,,,,,,,,,,,
1990-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,2600000,,2600000,,,,,,,,,2600000,,7525000.0,-0.01,,,,,,,,,,,,,,,,,,-0.01,,,7525000.0,,-100000.0,,,,,,,,,,,,,
1990-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,4200000,,4200000,,,,,,,,,4200000,,7525000.0,-0.01,,,,,,,,,,,,,,,,,,-0.01,,,7525000.0,,-100000.0,,,,,,,,,,,,,
1990-12-31,,,,,,12300000.0,,600000.0,,-13600000.0,7100000.0,7100000.0,,1200000.0,,,,,,,,,,,,34300000.0,-12200000,,1800000,,20700000.0,9200000.0,,,,,,-12200000,,,,6300000.0,8500000.0,,,9600000.0,,10400000.0,,21600000.0,31200000.0,2300000.0,,,,,900000.0,,,18900000.0,,,,300000.0,,,4600000.0,1600000.0,,300000.0,,,,,,,
1991-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,5800000,,5800000,,,,,,,,,5800000,,9195000.0,0.04,,,,,,,,,,,,,,,,,,0.03,,,9195000.0,,400000.0,,,,,,,,,,,,,
1991-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,3500000,,3500000,,,,,,,,,3500000,,9305000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,9305000.0,,100000.0,,,,,,,,,,,,,
1991-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,2700000,,2700000,,,,,,,,,2700000,,9305000.0,0.01,,,,,,,,,,,,,,,,,,0.01,,,9305000.0,,100000.0,,,,,,,,,,,,,
1991-12-31,,,,,,13300000.0,,800000.0,,-14800000.0,7100000.0,7100000.0,,1100000.0,,,2800000.0,,,,,,,,,35900000.0,-9700000,,6700000,,21100000.0,7300000.0,,,,,,-9700000,,,,7100000.0,7500000.0,,,10200000.0,,11200000.0,,21800000.0,32000000.0,2200000.0,,,,,700000.0,,,18700000.0,,,,300000.0,,,3400000.0,1900000.0,,200000.0,,,,,,,
1992-03-31,700000.0,800000.0,,7100000.0,,13700000.0,100000.0,500000.0,,-15200000.0,3000000.0,3000000.0,,1300000.0,,,3400000.0,,100000.0,-4900000.0,,,-3600000.0,-300000.0,-200000.0,36000000.0,700000,,6500000,300000.0,20800000.0,1500000.0,,200000.0,,-4100000.0,,1100000,,10000000.0,0.04,7600000.0,7300000.0,-3800000.0,,5700000.0,400000.0,6200000.0,400000.0,21500000.0,27200000.0,2500000.0,,400000.0,1500000.0,,700000.0,0.0,0.03,13500000.0,,10000000.0,400000.0,400000.0,0.0,-100000.0,2800000.0,2000000.0,0.0,200000.0,,,5000000.0,,,,
1992-06-30,300000.0,900000.0,,0.0,,13900000.0,-100000.0,600000.0,,-15500000.0,2700000.0,2700000.0,,1300000.0,,,2500000.0,,100000.0,200000.0,,,700000.0,-400000.0,-700000.0,36500000.0,-400000,,3200000,100000.0,21000000.0,2400000.0,,-100000.0,,-300000.0,,0,,10000000.0,0.02,7800000.0,7100000.0,0.0,,5600000.0,500000.0,6200000.0,200000.0,21600000.0,27200000.0,2600000.0,,400000.0,500000.0,,600000.0,0.0,0.02,13300000.0,,10000000.0,200000.0,200000.0,0.0,-700000.0,2500000.0,2000000.0,700000.0,200000.0,,,2700000.0,,,,
1992-09-30,300000.0,900000.0,,0.0,,14200000.0,200000.0,700000.0,,-15900000.0,3200000.0,3200000.0,,1300000.0,,,,,0.0,600000.0,,,1300000.0,-300000.0,-700000.0,37100000.0,300000,,4000000,100000.0,21200000.0,5400000.0,,0.0,,500000.0,,700000,,10000000.0,0.02,8000000.0,7000000.0,600000.0,,6200000.0,500000.0,6700000.0,200000.0,21700000.0,27900000.0,2700000.0,,400000.0,1200000.0,,500000.0,-1100000.0,0.02,13700000.0,,10000000.0,200000.0,200000.0,0.0,-600000.0,2200000.0,2100000.0,100000.0,200000.0,,,2800000.0,,,,
1992-12-31,1200000.0,900000.0,,0.0,,15300000.0,0.0,500000.0,,-16000000.0,9200000.0,9200000.0,,1200000.0,,,4400000.0,,300000.0,5700000.0,,,7500000.0,-200000.0,-1200000.0,37900000.0,900000,,8300000,400000.0,21900000.0,7100000.0,,0.0,,6000000.0,,1400000,,,,8900000.0,6600000.0,6300000.0,,12100000.0,400000.0,12700000.0,800000.0,22500000.0,34600000.0,2200000.0,,500000.0,1800000.0,,600000.0,1000000.0,,19300000.0,,,800000.0,800000.0,0.0,-1200000.0,2000000.0,2400000.0,200000.0,300000.0,,,6500000.0,,,,
1993-03-31,700000.0,900000.0,,9200000.0,,15800000.0,0.0,500000.0,,-16300000.0,3400000.0,3400000.0,,1200000.0,,,3300000.0,,100000.0,-6400000.0,,,-5200000.0,-500000.0,-200000.0,37900000.0,600000,,5700000,200000.0,21600000.0,1700000.0,,200000.0,,-5800000.0,,1000000,,12500000.0,0.04,9400000.0,6300000.0,-5400000.0,,6200000.0,500000.0,6200000.0,500000.0,22100000.0,28300000.0,2300000.0,,400000.0,1500000.0,,500000.0,0.0,0.04,12500000.0,,12500000.0,500000.0,500000.0,0.0,-100000.0,1500000.0,2500000.0,100000.0,300000.0,,,4200000.0,,,,
1993-06-30,300000.0,1000000.0,,0.0,,16300000.0,200000.0,600000.0,,-16800000.0,3400000.0,3400000.0,,1200000.0,,,2900000.0,,0.0,-300000.0,,,500000.0,-300000.0,-400000.0,38300000.0,200000,,4400000,100000.0,21500000.0,2000000.0,,,,-100000.0,,700000,,12500000.0,0.01,9500000.0,5900000.0,100000.0,,6400000.0,500000.0,6100000.0,200000.0,21900000.0,28300000.0,2200000.0,,400000.0,1200000.0,,400000.0,0.0,0.01,12000000.0,,12500000.0,200000.0,200000.0,0.0,-300000.0,1200000.0,2500000.0,100000.0,200000.0,,,3200000.0,,,,
1993-09-30,400000.0,800000.0,,0.0,,16600000.0,-200000.0,600000.0,,-17200000.0,4000000.0,4000000.0,,1200000.0,,,3000000.0,,0.0,1100000.0,,,1500000.0,-300000.0,-700000.0,38800000.0,400000,,4300000,100000.0,21600000.0,2600000.0,,,,600000.0,,800000,,12500000.0,0.02,9900000.0,5700000.0,800000.0,,7200000.0,400000.0,6800000.0,300000.0,21900000.0,29100000.0,2300000.0,,400000.0,1200000.0,,300000.0,0.0,0.02,12500000.0,,12500000.0,300000.0,300000.0,0.0,-600000.0,900000.0,2500000.0,0.0,300000.0,,,3100000.0,,,,
1993-12-31,200000.0,1000000.0,,0.0,,17200000.0,300000.0,500000.0,,-17500000.0,10600000.0,10600000.0,,100000.0,,,2800000.0,,100000.0,7200000.0,,,8100000.0,-300000.0,-1300000.0,39900000.0,300000,,6000000,-100000.0,22400000.0,10300000.0,,0.0,,6600000.0,,800000,,,,10500000.0,6000000.0,6800000.0,,13500000.0,500000.0,13200000.0,600000.0,22900000.0,36400000.0,200000.0,,500000.0,1300000.0,,500000.0,-1800000.0,,19200000.0,,,600000.0,300000.0,0.0,-1200000.0,3200000.0,2600000.0,200000.0,400000.0,,,4700000.0,,,,
1994-03-31,800000.0,1000000.0,,10600000.0,,17800000.0,0.0,500000.0,,-17900000.0,4800000.0,4800000.0,100000.0,100000.0,,,5200000.0,,,-6300000.0,,,-5300000.0,-300000.0,-400000.0,40000000.0,700000,,8800000,200000.0,22100000.0,2200000.0,,-200000.0,,-5800000.0,,1200000,,12000000.0,0.05,11000000.0,5700000.0,-5700000.0,,8400000.0,500000.0,7500000.0,600000.0,22600000.0,31000000.0,200000.0,,500000.0,1700000.0,,500000.0,0.0,0.05,13200000.0,,12000000.0,600000.0,600000.0,0.0,-300000.0,2900000.0,2600000.0,200000.0,400000.0,,,7100000.0,,,,
1994-06-30,,1000000.0,,0.0,,17800000.0,200000.0,800000.0,,-18400000.0,2500000.0,2500000.0,100000.0,100000.0,,,4200000.0,,,-1800000.0,,,-1200000.0,500000.0,-1600000.0,41600000.0,0,,4800000,,23200000.0,1800000.0,,,,-2300000.0,,500000,,10000000.0,-0.01,11000000.0,6300000.0,-2800000.0,,6500000.0,500000.0,6100000.0,-100000.0,23700000.0,30200000.0,300000.0,,500000.0,1000000.0,,500000.0,0.0,-0.01,12400000.0,,10000000.0,-100000.0,-100000.0,0.0,-1500000.0,3400000.0,2600000.0,,400000.0,,,3800000.0,,,,
1994-09-30,,2100000.0,,0.0,,17700000.0,0.0,1000000.0,,-18800000.0,3100000.0,3100000.0,100000.0,,,,3700000.0,,,1500000.0,,,1800000.0,-100000.0,-1100000.0,42600000.0,-100000,,3700000,,23800000.0,3300000.0,,,,700000.0,,400000,,12500000.0,0.01,10900000.0,6200000.0,700000.0,,6600000.0,1600000.0,7000000.0,-100000.0,24300000.0,30900000.0,300000.0,,400000.0,2000000.0,,500000.0,0.0,0.01,13200000.0,,12500000.0,-100000.0,-100000.0,0.0,-1100000.0,3300000.0,2600000.0,,400000.0,,,1700000.0,,,,
1994-12-31,700000.0,-2100000.0,,0.0,,18400000.0,100000.0,800000.0,,-19200000.0,8900000.0,8900000.0,100000.0,,,,2500000.0,,,7200000.0,,,8400000.0,-100000.0,-2500000.0,45000000.0,700000,,6400000,100000.0,25800000.0,11200000.0,,-200000.0,,5700000.0,,1100000,,,,11400000.0,6200000.0,5900000.0,,12100000.0,-2500000.0,13700000.0,600000.0,26200000.0,38300000.0,300000.0,,400000.0,-1400000.0,,400000.0,100000.0,,19900000.0,,,600000.0,600000.0,0.0,-2400000.0,3100000.0,2800000.0,100000.0,400000.0,,,7800000.0,,,,
1995-03-31,900000.0,1100000.0,,8900000.0,,19100000.0,100000.0,800000.0,,-19700000.0,4000000.0,4000000.0,100000.0,,,,5000000.0,,100000.0,-6000000.0,,,-4400000.0,-300000.0,-200000.0,44900000.0,1000000,,9500000,200000.0,25200000.0,2400000.0,,100000.0,,-4900000.0,,1600000,,11666667.0,0.06,12100000.0,6000000.0,-4600000.0,,7000000.0,500000.0,7400000.0,700000.0,25500000.0,32500000.0,300000.0,,600000.0,2100000.0,,300000.0,0.0,0.06,13400000.0,,11666667.0,700000.0,700000.0,0.0,-100000.0,2800000.0,2900000.0,0.0,300000.0,,,7400000.0,,,,
1995-06-30,300000.0,2100000.0,,0.0,,19300000.0,100000.0,600000.0,,-20100000.0,2400000.0,2400000.0,100000.0,,,,3800000.0,,0.0,-1800000.0,,,-1200000.0,-100000.0,-600000.0,45200000.0,300000,,4400000,100000.0,25100000.0,1500000.0,,-200000.0,,-1700000.0,,800000,,10000000.0,0.02,12300000.0,6100000.0,-1800000.0,,5200000.0,1600000.0,5300000.0,200000.0,25500000.0,30700000.0,400000.0,,500000.0,2400000.0,,400000.0,0.0,0.02,11400000.0,,10000000.0,200000.0,200000.0,0.0,-500000.0,2800000.0,2900000.0,100000.0,300000.0,,,2000000.0,,,,
1995-09-30,,2000000.0,,0.0,,19400000.0,100000.0,800000.0,,-20700000.0,2300000.0,2300000.0,100000.0,,,,3800000.0,,0.0,-200000.0,,,800000.0,0.0,-900000.0,46000000.0,200000,,3600000,,25300000.0,1300000.0,,300000.0,,0.0,,800000,,10000000.0,0.01,12400000.0,6000000.0,-100000.0,,4900000.0,1400000.0,5100000.0,100000.0,25600000.0,30500000.0,400000.0,,600000.0,2200000.0,,300000.0,0.0,0.01,11100000.0,,10000000.0,100000.0,100000.0,0.0,-800000.0,2700000.0,2900000.0,,200000.0,,,1400000.0,,,,
1995-12-31,600000.0,-2300000.0,,0.0,,19900000.0,0.0,900000.0,,-21100000.0,10100000.0,10100000.0,100000.0,,,,2100000.0,,0.0,9200000.0,,,10100000.0,-200000.0,-2200000.0,48200000.0,500000,,4700000,100000.0,27100000.0,12600000.0,,-100000.0,,7700000.0,,1000000,,,,12900000.0,6000000.0,7900000.0,,13200000.0,-2800000.0,14700000.0,500000.0,27400000.0,40600000.0,600000.0,,500000.0,-1800000.0,,300000.0,0.0,,20700000.0,,,500000.0,500000.0,0.0,-2200000.0,2500000.0,2900000.0,200000.0,200000.0,,,6500000.0,,,,
1996-03-31,1600000.0,1200000.0,,10100000.0,,20300000.0,300000.0,700000.0,,-21700000.0,5700000.0,5700000.0,100000.0,,,,5600000.0,,,-5700000.0,,,-3700000.0,-400000.0,-500000.0,48300000.0,1700000,,11400000,300000.0,26600000.0,3800000.0,100000.0,-100000.0,,-4400000.0,,2400000,-1000000.0,10833333.0,0.12,14200000.0,6600000.0,-4200000.0,,9200000.0,500000.0,9400000.0,1300000.0,27100000.0,36300000.0,700000.0,,700000.0,2900000.0,,500000.0,100000.0,0.11,16000000.0,,11818182.0,1300000.0,1300000.0,0.0,-200000.0,3000000.0,2900000.0,0.0,200000.0,,,8500000.0,,,,
1996-06-30,900000.0,1100000.0,,0.0,,21400000.0,1500000.0,900000.0,,-21900000.0,5200000.0,5200000.0,100000.0,,,,7600000.0,,,-2400000.0,,,-1200000.0,-300000.0,-600000.0,48600000.0,900000,,10300000,200000.0,26700000.0,3000000.0,0.0,,,-500000.0,,1400000,0.0,11666667.0,0.06,14800000.0,6500000.0,-1800000.0,,11300000.0,600000.0,10600000.0,700000.0,27200000.0,38500000.0,800000.0,,500000.0,2000000.0,,500000.0,-100000.0,0.06,17100000.0,,11666667.0,700000.0,700000.0,0.0,900000.0,2700000.0,3000000.0,100000.0,200000.0,,,8300000.0,,,,
1996-09-30,600000.0,1300000.0,,0.0,,21900000.0,-300000.0,800000.0,,-22500000.0,2700000.0,2700000.0,100000.0,,,,6400000.0,,,-2400000.0,,,-1200000.0,2900000.0,-4200000.0,52700000.0,500000,,11200000,200000.0,30200000.0,1700000.0,0.0,,,-2500000.0,,1100000,0.0,10000000.0,0.04,15200000.0,9400000.0,-5400000.0,,8700000.0,700000.0,8100000.0,400000.0,30700000.0,39400000.0,700000.0,,600000.0,1800000.0,,500000.0,100000.0,0.04,17500000.0,,10000000.0,400000.0,400000.0,0.0,-4100000.0,5600000.0,3100000.0,100000.0,500000.0,,,9400000.0,,,,
1996-12-31,1500000.0,1000000.0,,0.0,,23100000.0,-100000.0,700000.0,,-22500000.0,20600000.0,20600000.0,200000.0,,,,9700000.0,,100000.0,21200000.0,,,23000000.0,-200000.0,-5100000.0,56900000.0,2200000,,16900000,400000.0,34400000.0,21300000.0,0.0,,,18000000.0,,2700000,0.0,,,16400000.0,9500000.0,17900000.0,,28600000.0,500000.0,31000000.0,1100000.0,35000000.0,63600000.0,1100000.0,,500000.0,3200000.0,,600000.0,0.0,,40500000.0,,,1100000.0,1100000.0,0.0,-4900000.0,5300000.0,3100000.0,-500000.0,600000.0,,,13700000.0,,,,
1997-03-31,3300000.0,1100000.0,,20600000.0,,25600000.0,100000.0,900000.0,,-22700000.0,11300000.0,11300000.0,100000.0,,,,10800000.0,,100000.0,-10900000.0,,,-7600000.0,-1100000.0,-1300000.0,57200000.0,3400000,,23400000,800000.0,34500000.0,6900000.0,,100000.0,,-9300000.0,,4000000,,10416667.0,0.24,18900000.0,8600000.0,-8900000.0,,16900000.0,500000.0,17700000.0,2500000.0,35000000.0,51900000.0,1100000.0,,600000.0,4500000.0,,500000.0,0.0,0.21,26300000.0,,11904762.0,2500000.0,2500000.0,0.0,-600000.0,4200000.0,3300000.0,0.0,300000.0,,,18900000.0,,,,
1997-06-30,2000000.0,1200000.0,,0.0,,27000000.0,600000.0,700000.0,,-23300000.0,8500000.0,8500000.0,100000.0,,,,9700000.0,,200000.0,-3300000.0,,,-1000000.0,-500000.0,-1400000.0,58400000.0,1900000,,14700000,600000.0,35100000.0,5000000.0,,0.0,,-2900000.0,,2500000,,10769231.0,0.13,20300000.0,8400000.0,-2400000.0,,14400000.0,600000.0,14700000.0,1400000.0,35700000.0,50100000.0,1300000.0,,600000.0,3100000.0,,600000.0,0.0,0.12,23100000.0,,11666667.0,1400000.0,1400000.0,0.0,-1300000.0,3700000.0,3400000.0,200000.0,300000.0,,,11600000.0,,,,
1997-09-30,1900000.0,1200000.0,,0.0,,30500000.0,-600000.0,1400000.0,,-23900000.0,10300000.0,10300000.0,100000.0,,,,9700000.0,,100000.0,1400000.0,,,3500000.0,1300000.0,-3200000.0,61400000.0,1800000,,13800000,400000.0,37500000.0,7300000.0,,,,1900000.0,,2400000,,10714286.0,0.14,21800000.0,7800000.0,300000.0,,17100000.0,600000.0,17000000.0,1500000.0,38200000.0,55300000.0,1300000.0,,600000.0,3000000.0,,700000.0,2000000.0,0.12,24800000.0,,12500000.0,1500000.0,1500000.0,0.0,-3000000.0,3000000.0,3500000.0,200000.0,400000.0,,,10800000.0,,,,
1997-12-31,2500000.0,1500000.0,,0.0,,55800000.0,-100000.0,2100000.0,,-24200000.0,46600000.0,46600000.0,0.0,,,,9800000.0,,-300000.0,20400000.0,,,23200000.0,20000000.0,-7800000.0,67800000.0,3200000,,22300000,300000.0,43600000.0,27600000.0,23000000.0,,,36200000.0,,4100000,,,,24000000.0,5200000.0,15400000.0,,53900000.0,600000.0,37400000.0,2200000.0,44500000.0,98400000.0,1600000.0,,900000.0,4700000.0,,900000.0,0.0,,42600000.0,,,2200000.0,2200000.0,0.0,-7000000.0,,3600000.0,-700000.0,300000.0,,,17600000.0,,,,
