date,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyLongTermDebt,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyCurrentLiabilities,quarterlyBasicEPS,quarterlyGrossProfit,quarterlyOtherCurrentAssets,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyBasicAverageShares,quarterlyCostOfRevenue,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyEbitda
2002-12-31,-1000000,43000000,1625000000.0,,4244000000.0,848000000,2323000000.0,1161000000.0,,,1929000000,3062000000,,2457000000,,208000000,0.0,277385000000.0,-1324000000,24449000000,0.0,,18892000000.0,2007000000.0,3647000000,8000000.0,561000000,-3341000000.0,-27324000000,-6843000000,2323000000,,,,2807000000.0,1921000000.0,3336000000,258735000000.0,8801000000,208000000.0,769000000.0,4425000000.0,7669000000.0,143822000000.0,,561000000,165000000,17385000000.0,-4847000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,-8000000,121000000,1954000000.0,4569000000.0,8126000000.0,76000000,4938000000.0,2441000000.0,,,1877000000,3186000000,,1175000000,,425000000,,286858000000.0,2615000000,17748000000,0.0,,20598000000.0,2312000000.0,2323000000,8000000.0,362000000,813000000.0,-19178000000,-1746000000,4938000000,,,,3169000000.0,3188000000.0,1175000000,268265000000.0,8377000000,425000000.0,616000000.0,5481000000.0,7968000000.0,149003000000.0,,362000000,304000000,18039000000.0,-316000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,-2000000,218000000,2514000000.0,,8354000000.0,300000000,5714000000.0,3443000000.0,,,2940000000,5029000000,,2285000000,,799000000,,309822000000.0,776000000,22424000000,0.0,,24140000000.0,3306000000.0,4938000000,8000000.0,580000000,1705000000.0,-28563000000,-6538000000,5714000000,,,,3093000000.0,2640000000.0,2285000000,288645000000.0,8878000000,799000000.0,726000000.0,5562000000.0,7512000000.0,163079000000.0,,580000000,581000000,20623000000.0,-399000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30,-43000000,147000000,2400000000.0,5364000000.0,8090000000.0,250000000,5372000000.0,2935000000.0,,,2514000000,2068000000,0.0,1583000000,,707000000,-18000000.0,314983000000.0,-342000000,23981000000,0.0,,25825000000.0,3009000000.0,5714000000,8000000.0,574000000,1009000000.0,-28067000000,-3993000000,5372000000,,,,3667000000.0,2718000000.0,1298000000,293801000000.0,8816000000,707000000.0,728000000.0,5703000000.0,7133000000.0,164317000000.0,,574000000,560000000,20905000000.0,391000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,-710000000,211000000,2399000000.0,,5559000000.0,696000000,3733000000.0,3642000000.0,,,1018000000,1452000000,0.0,2320000000,,727000000,0.0,326841000000.0,-1639000000,26658000000,-97000000.0,,1049000000.0,2792000000.0,5372000000,8000000.0,701000000,-9722000000.0,-31863000000,-5411000000,3733000000,,,,4193000000.0,1826000000.0,2605000000,305692000000.0,9746000000,727000000.0,652000000.0,5703000000.0,7047000000.0,171176000000.0,,701000000,516000000,21149000000.0,-491000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-31,-9000000,304000000,2851000000.0,,5144000000.0,483000000,3146000000.0,3068000000.0,,,1926000000,1290000000,,1116000000,,963000000,,337213000000.0,-587000000,17563000000,-65000000.0,,29031000000.0,3444000000.0,3733000000,8000000.0,523000000,457000000.0,-20136000000,-2993000000,3146000000,,,,4716000000.0,1998000000.0,1116000000,314940000000.0,9503000000,963000000.0,639000000.0,5707000000.0,7554000000.0,177854000000.0,,523000000,659000000,22273000000.0,-449000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-30,-82000000,254000000,1931000000.0,,6548000000.0,356000000,4459000000.0,3218000000.0,,,1882000000,2360000000,,2264000000,,1106000000,,338229000000.0,1313000000,23033000000,-210000000.0,,29196000000.0,1717000000.0,3146000000,8000000.0,947000000,1413000000.0,-26232000000,-3311000000,4459000000,,,,5663000000.0,2089000000.0,2264000000,316913000000.0,9579000000,1106000000.0,756000000.0,6226000000.0,7566000000.0,174025000000.0,,947000000,852000000,21316000000.0,-112000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-30,-31000000,301000000,2468000000.0,,6043000000.0,292000000,3592000000.0,1566000000.0,,,1727000000,359000000,21000000.0,1874000000,,1000000000,,346179000000.0,-828000000,25741000000,-221000000.0,,29787000000.0,2794000000.0,4459000000,8000000.0,695000000,1137000000.0,-28818000000,-3061000000,3631000000,,,,6440000000.0,2451000000.0,1874000000,323204000000.0,10048000000,1000000000.0,501000000.0,6695000000.0,7089000000.0,180411000000.0,,695000000,699000000,22975000000.0,16000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,3000000,220000000,2473000000.0,,6714000000.0,309000000,4051000000.0,1445000000.0,,,1551000000,1313000000,12000000.0,2812000000,,726000000,-7000000.0,356808000000.0,475000000,29622000000,-504000000.0,,1071000000.0,2956000000.0,3631000000,8000000.0,511000000,-7547000000.0,-32711000000,-3650000000,4106000000,,,,6608000000.0,2663000000.0,2812000000,333984000000.0,10053000000,726000000.0,421000000.0,7412000000.0,6696000000.0,181614000000.0,,511000000,506000000,22824000000.0,-554000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,-133000000,350000000,2414000000.0,,6476000000.0,299000000,3925000000.0,1120000000.0,131000000.0,,2102000000,1804000000,12000000.0,1978000000,,1149000000,,362671000000.0,-181000000,40175000000,0.0,,32761000000.0,2156000000.0,4106000000,8000000.0,987000000,991000000.0,-44277000000,-3963000000,3925000000,,,,7595000000.0,2551000000.0,1978000000,339633000000.0,10294000000,1149000000.0,31000000.0,7414000000.0,7515000000.0,187586000000.0,,987000000,799000000,23038000000.0,-113000000,675000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,-1017000000,454000000,3202000000.0,,15778000000.0,301000000,13609000000.0,1979000000.0,137000000.0,,2557000000,7426000000,25000000.0,2475000000,,1463000000,,381431000000.0,9684000000,38007000000,0.0,,32571000000.0,3081000000.0,3925000000,9000000.0,2245000000,1654000000.0,-37276000000,-217000000,13609000000,,,,9840000000.0,2169000000.0,2475000000,353260000000.0,10949000000,1463000000.0,634000000.0,11438000000.0,7822000000.0,189822000000.0,,2245000000,1009000000,28171000000.0,-948000000,748000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,-38000000,246000000,1456000000.0,,11431000000.0,348000000,6950000000.0,1303000000.0,194000000.0,,1079000000,10930000000,21000000.0,369000000,,985000000,,482819000000.0,-6659000000,42861000000,0.0,,41105000000.0,1874000000.0,13609000000,9000000.0,742000000,-370000000.0,-51154000000,-17958000000,6950000000,,,,10582000000.0,4481000000.0,369000000,454062000000.0,12012000000,985000000.0,97000000.0,11626000000.0,14391000000.0,239254000000.0,4564000000.0,773000000,739000000,28757000000.0,501000000,861000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,-242000000,211000000,1706000000.0,,7324000000.0,323000000,4018000000.0,1414000000.0,197000000.0,,4610000000,-5643000000,14000000.0,3183000000,,803000000,-6000000.0,481645000000.0,-2932000000,51237000000,0.0,,917000000.0,1912000000.0,6950000000,9000000.0,677000000,-16790000000.0,-51362000000,-472000000,4018000000,-426000000.0,,,10865000000.0,3306000000.0,3183000000,452544000000.0,11546000000,803000000.0,69000000.0,12022000000.0,12186000000.0,236694000000.0,4797000000.0,709000000,592000000,29101000000.0,-361000000,879000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-31,-23000000,296000000,1199000000.0,,8512000000.0,328000000,5144000000.0,1360000000.0,211000000.0,,13868000000,13876000000,18000000.0,2306000000,,1046000000,,499102000000.0,1126000000,39336000000,,,1732000000.0,590000000.0,4018000000,9000000.0,714000000,1559000000.0,-54045000000,-15056000000,5144000000,-33000000.0,,,11579000000.0,3368000000.0,2306000000,470535000000.0,11585000000,1046000000.0,88000000.0,12066000000.0,12731000000.0,246552000000.0,4797000000.0,747000000,750000000,28567000000.0,-347000000,800000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,-101000000,217000000,485000000.0,,8193000000.0,335000000,4126000000.0,2253000000.0,214000000.0,,-260000000,1392000000,24000000.0,1707000000,,836000000,,500305000000.0,-1018000000,27932000000,,,1137000000.0,-991000000.0,5144000000,9000000.0,617000000,1123000000.0,-30688000000,-4117000000,4126000000,-33000000.0,,,12196000000.0,4067000000.0,1707000000,472624000000.0,11409000000,836000000.0,0.0,12871000000.0,13216000000.0,244362000000.0,4913000000.0,650000000,619000000,27681000000.0,-1409000000,832000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-30,-108000000,357000000,2319000000.0,,11763000000.0,1527000000,5924000000.0,1706000000.0,246000000.0,,2338000000,1735000000,23000000.0,1863000000,,1314000000,48000000.0,516186000000.0,1798000000,39037000000,,,2081000000.0,1887000000.0,4126000000,9000000.0,999000000,764000000.0,-24106000000,-1800000000,5924000000,-34000000.0,,,13195000000.0,5839000000.0,1863000000,484576000000.0,12551000000,1314000000.0,0.0,12845000000.0,14494000000.0,251372000000.0,4916000000.0,1033000000,957000000,31610000000.0,-16731000000,847000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,-500000000,261000000,2278000000.0,,9816000000.0,1592000000,7107000000.0,1449000000.0,229000000.0,,-7000000,-1628000000,18000000.0,724000000,,1067000000,0.0,527715000000.0,1183000000,41896000000,,,558000000.0,1118000000.0,5924000000,9000000.0,3829000000,-13816000000.0,-38767000000,2087000000,7107000000,-484000000.0,,,16574000000.0,2709000000.0,724000000,493917000000.0,12893000000,1067000000.0,1465000000.0,13759000000.0,14490000000.0,7840000000.0,4897000000.0,3863000000,806000000,33798000000.0,-1042000000,951000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-31,-37000000,416000000,1992000000.0,5426000000.0,9028000000.0,1664000000,6545000000.0,3375000000.0,1628000000.0,,2498000000,4014000000,29000000.0,2210000000,-396000000.0,1443000000,-25000000.0,537809000000.0,-562000000,40125000000,-758000000.0,,1935000000.0,1402000000.0,7107000000,9000000.0,983000000,1183000000.0,-39923000000,-6786000000,6545000000,-34000000.0,,,17228000000.0,2483000000.0,1814000000,503740000000.0,12912000000,1443000000.0,0.0,14118000000.0,15581000000.0,7617000000.0,4897000000.0,1017000000,1027000000,34069000000.0,-6617000000,866000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-30,-230000000,477000000,1050000000.0,,9267000000.0,1718000000,6504000000.0,1476000000.0,267000000.0,,5766000000,5954000000,46000000.0,1931000000,,1633000000,-18000000.0,552564000000.0,-41000000,41928000000,-17000000.0,,1384000000.0,-292000000.0,6545000000,9000000.0,1129000000,846000000.0,-42208000000,-7926000000,6504000000,-34000000.0,,,18357000000.0,2763000000.0,2327000000,519009000000.0,13219000000,1633000000.0,7000000.0,16277000000.0,15297000000.0,8809000000.0,4904000000.0,1163000000,1156000000,33555000000.0,-8018000000,898000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-30,-16000000,402000000,1323000000.0,,10354000000.0,1679000000,8627000000.0,1880000000.0,287000000.0,,121000000,418000000,20000000.0,2781000000,,1387000000,0.0,563077000000.0,2123000000,15349000000,-200000000.0,,1675000000.0,56000000.0,6504000000,9000000.0,985000000,1725000000.0,-30151000000,-1076000000,8627000000,-34000000.0,,,19342000000.0,1727000000.0,2781000000,528331000000.0,13055000000,1387000000.0,333000000.0,16416000000.0,16549000000.0,7977000000.0,4909000000.0,1019000000,985000000,34746000000.0,14456000000,890000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31,283000000,464000000,2457000000.0,,13016000000.0,1783000000,10368000000.0,667000000.0,310000000.0,,-8564000000,-13254000000,,-5735000000,,1576000000,43000000.0,558562000000.0,-2459000000,-92186000000,-730000000.0,,1783000000.0,1078000000.0,8627000000,9000000.0,1083000000,-12466000000.0,107664000000,16530000000,587000000,-576000000.0,,,19884000000.0,2648000000.0,-5735000000,523383000000.0,13821000000,1576000000.0,0.0,14102000000.0,14607000000.0,8698000000.0,4910000000.0,1118000000,1112000000,35179000000.0,-203000000,902000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03-31,-62000000,217000000,1462000000.0,,13486000000.0,395000000,10874000000.0,632000000.0,1630000000.0,,5954000000,4654000000,17000000.0,3590000000,,867000000,-305000000.0,557132000000.0,506000000,24645000000,-1267000000.0,,,-1028000000.0,10368000000,9000000.0,615000000,2940000000.0,-31197000000,-7738000000,10874000000,-33000000.0,,,20526000000.0,2612000000.0,3590000000,524133000000.0,13027000000,867000000.0,,14126000000.0,14998000000.0,252233000000.0,5094000000.0,648000000,650000000,32999000000.0,-881000000,852000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,-13000000,381000000,1017000000.0,,15795000000.0,371000000,13815000000.0,623000000.0,,5161000000.0,1961000000,2841000000,,1885000000,,1326000000,-49000000.0,555787000000.0,2941000000,26534000000,17000000.0,,,-2509000000.0,10874000000,9000000.0,915000000,,-28732000000,-1785000000,13815000000,-31000000.0,,,21441000000.0,1980000000.0,1885000000,523246000000.0,13715000000,1326000000.0,,20765000000.0,15402000000.0,249474000000.0,,946000000,945000000,32541000000.0,807000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-30,-152000000,528000000,0.0,,22779000000.0,421000000,20209000000.0,1106000000.0,263000000.0,5036000000.0,-435000000,1713000000,,1415000000,,1589000000,-1737000000.0,521299000000.0,6394000000,25298000000,0.0,,,-7540000000.0,13815000000,9000000.0,600000000,,-16563000000,3266000000,20209000000,-30000000.0,,,22041000000.0,2570000000.0,1415000000,493466000000.0,13378000000,1589000000.0,,19702000000.0,17865000000.0,219480000000.0,,630000000,1061000000,27833000000.0,-960000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,-995000000,502000000,0.0,,38085000000.0,445000000,24207000000.0,2659000000.0,-267000000.0,,8277000000,-3020000000,2226000000.0,3813000000,,1449000000,1305000000.0,501678000000.0,4030000000,28480000000,0.0,,,-14253000000.0,20209000000,9000000.0,954000000,,-23637000000,3586000000,24239000000,-623000000.0,,,22403000000.0,13878000000.0,3813000000,477944000000.0,13885000000,1449000000.0,342000000.0,13425000000.0,16973000000.0,206272000000.0,5008000000.0,985000000,947000000,23734000000.0,-1193000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,-115000000,-376000000,,,30320000000.0,554000000,19424000000.0,5878000000.0,,5010000000.0,-5761000000,-2168000000,0.0,-985000000,-174000000.0,-960000000,-208000000.0,491408000000.0,-4815000000,23420000000,,-877000000.0,,-15358000000.0,24239000000,9000000.0,-574000000,-1197000000.0,-24710000000,-1618000000,19424000000,-30000000.0,129000000.0,-2190000000.0,21829000000.0,10896000000.0,-1159000000,467979000000.0,10216000000,-960000000.0,635000000.0,18975000000.0,18514000000.0,206050000000.0,,-548000000,-584000000,23110000000.0,-18000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,-6488000000,-956000000,,,21330000000.0,572000000,13213000000.0,4757000000.0,,,5959000000,1166000000,1035000000.0,-242000000,-39000000.0,-2374000000,162000000.0,509457000000.0,-6211000000,15206000000,,-120000000.0,,-9834000000.0,19424000000,9000000.0,-1433000000,-1216000000.0,-23503000000,-7263000000,13213000000,-31000000.0,130000000.0,-2658000000.0,20472000000.0,8117000000.0,-281000000,481845000000.0,8266000000,-2374000000.0,0.0,20928000000.0,16730000000.0,224196000000.0,5036000000.0,-1402000000,-1418000000,27293000000.0,-498000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,5809000000,-551000000,,,22423000000.0,602000000,15562000000.0,2131000000.0,,,-7710000000,-3124000000,0.0,3945000000,,-1175000000,-593000000.0,535192000000.0,2349000000,19098000000,0.0,,,-2234000000.0,13213000000,9000000.0,-650000000,,-17223000000,1524000000,15562000000,-30000000.0,,,19822000000.0,6861000000.0,4158000000,500599000000.0,10238000000,-1175000000.0,0.0,21690000000.0,16903000000.0,235844000000.0,5033000000.0,-620000000,-624000000,34268000000.0,-79000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,-8771000000,-131000000,,,18486000000.0,601000000,10112000000.0,912000000.0,,,9202000000,23000000,0.0,1085000000,,179000000,-183000000.0,539314000000.0,-5450000000,20552000000,0.0,,,-3058000000.0,15562000000,9000000.0,289000000,,-21203000000,-6578000000,10112000000,-641000000.0,,,19501000000.0,8374000000.0,506000000,505816000000.0,12341000000,179000000.0,0.0,16411000000.0,16752000000.0,241484000000.0,5047000000.0,320000000,310000000,33121000000.0,435000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,-916000000,358000000,,,17221000000.0,513000000,9202000000.0,318000000.0,,,2842000000,3845000000,0.0,2871000000,-176000000.0,1191000000,-166000000.0,565566000000.0,-910000000,17282000000,,,,-1191000000.0,10112000000,9000000.0,805000000,,-23377000000,-7598000000,9202000000,-30000000.0,,,20294000000.0,8019000000.0,2695000000,529387000000.0,13190000000,1191000000.0,66000000.0,28665000000.0,17554000000.0,253690000000.0,5049000000.0,835000000,833000000,35811000000.0,-35000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
