date,quarterlySaleOfInvestment,trailingOperatingExpense,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,trailingDeferredIncomeTax,annualCapitalExpenditure,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,quarterlyBasicAverageShares,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,annualRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,annualChangesInAccountReceivables,quarterlyOtherCurrentAssets,trailingBeginningCashPosition,annualOtherNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingCapitalExpenditure,trailingNetIncomeContinuousOperations,annualCurrentAssets,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,quarterlyEbitda,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,annualTaxProvision,quarterlyChangeInInventory,annualInterestExpense,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,trailingResearchAndDevelopment,trailingChangeInAccountPayable,annualRepaymentOfDebt,quarterlyGrossProfit,annualTotalRevenue,annualTotalNonCurrentAssets,annualResearchAndDevelopment,quarterlyPretaxIncome,annualGrossProfit,annualFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualInventory,trailingCostOfRevenue,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyOtherNonCashItems,annualChangeInWorkingCapital,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,annualOtherCurrentAssets,quarterlyCapitalExpenditure,trailingNetIncome,trailingTaxProvision,trailingDepreciationAndAmortization,quarterlyTotalRevenue,annualChangeInInventory,quarterlyOperatingIncome,annualCurrentDebt,annualNetIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualPurchaseOfBusiness,annualNetIncomeContinuousOperations,annualOperatingExpense,annualBeginningCashPosition,annualCurrentDeferredRevenue,annualCostOfRevenue,trailingSellingGeneralAndAdministration,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,quarterlyNetIncome,trailingInvestingCashFlow,trailingSaleOfInvestment,annualDilutedEPS,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualStockholdersEquity,annualNonCurrentDeferredRevenue,annualBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,quarterlyCommonStockIssuance,annualLongTermDebt,trailingPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,trailingChangeInInventory,quarterlyGoodwill,annualRetainedEarnings,quarterlyDilutedAverageShares,annualCurrentLiabilities,annualStockBasedCompensation,annualBasicEPS,annualGoodwill,annualTotalAssets,annualDepreciationAndAmortization,trailingStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,quarterlyAccountsReceivable,trailingChangeInWorkingCapital,quarterlyInvestmentsAndAdvances,annualPurchaseOfInvestment,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,annualCapitalStock,quarterlyInventory,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,annualOperatingIncome,trailingGrossProfit,quarterlyCashDividendsPaid,annualNetPPE,quarterlyOperatingExpense,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingOtherIncomeExpense,annualAccountsPayable,trailingOperatingIncome,annualChangeInAccountPayable,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,trailingRepaymentOfDebt,annualEndCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingTotalRevenue,annualEbitda,quarterlyCashAndCashEquivalents,annualOtherIncomeExpense,quarterlyBeginningCashPosition,trailingChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,annualGrossPPE,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyBasicEPS,trailingPretaxIncome,trailingEndCashPosition,quarterlyChangesInAccountReceivables,quarterlyTotalLiabilitiesNetMinorityInterest,annualDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,annualPretaxIncome,annualInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,annualOtherNonCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,trailingOtherNonCashItems,trailingCashDividendsPaid,quarterlyIncomeTaxPayable,trailingBasicAverageShares,trailingPurchaseOfBusiness,annualIncomeTaxPayable,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingChangesInAccountReceivables,annualCashDividendsPaid,trailingDilutedAverageShares,trailingCommonStockIssuance,trailingInterestExpense,trailingBasicEPS
1988-09-30,,,,,,,,,230208000.0,,,,,,,,,,,,,,,,,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000234,,,,,,,,,,,10000000,,10000000,,,,,,,,,,,,,800000,,,,,,,,,,,,,,,,,,,,,,,,230208000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,,,,,,,7000000.0,-2200000.0,,6500000.0,,,,,,,600000.0,,3800000.0,,,,38700000.0,,12400000.0,3400000.0,-26600000,,,,,24200000.0,,,,,1700000.0,,300000.0,,,,,,,40300000.0,8100000.0,,,13400000.0,0.0,,38700000.0,,19500000.0,22600000.0,,,3100000.0,3300000.0,,4300000.0,,,,,,7900000.0,600000.0,,,,,8900000,,-26600000,7100000.0,3400000.0,,-2200000.0,,3400000.0,8600000.0,0.0,,26900000.0,,,600000,0.0,,,,0.000938,1500000.0,,24200000.0,,230400000.0,,200000.0,,,1400000.0,,,12400000.0,,,,,7900000.0,,19500000.0,,0.000938,,46800000.0,,,,,,,,,,,1500000.0,,3300000.0,,1400000.0,4800000.0,,,4300000.0,,0.0,3100000.0,,,,,7300000.0,,,,,,,0.0,,7300000.0,,6400000.0,7300000.0,700000.0,,,,6500000.0,,7300000.0,8100000.0,7100000.0,,,,,,,22600000.0,230400000.0,3800000.0,,5100000.0,,,46800000.0,200000.0,,,,,,,,,,,,,,,,
1989-03-31,,,,,,,,,239296000.0,,,,,,,,,,,,,,,,,,13300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000156,,,,,,,,,,,13300000,,13300000,,,,,,,,,,,,,500000,,,,,,,,,,,,,,,,,,,,,,,,239296000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-06-30,,,,,,,,,229952000.0,,,,,,,,,,,,,,,,,,12600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000234,,,,,,,,,,,12600000,,12600000,,,,,,,,,,,,,800000,,,,,,,,,,,,,,,,,,,,,,,,229952000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-09-30,,,,,,,,,240128000.0,,,,,,,,,,,,,,,,,,12300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000313,,,,,,,,,,,12300000,,12300000,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,240128000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-12-31,,,600000.0,,,-3600000.0,8700000.0,-3500000.0,,7700000.0,,,17400000.0,-4900000.0,,,500000.0,,5700000.0,,,,45200000.0,,3700000.0,3600000.0,-32500000,,100000.0,,,28100000.0,,,0.0,,2000000.0,,600000.0,,,,,,,56700000.0,9900000.0,,,16800000.0,5100000.0,,45200000.0,,23300000.0,27000000.0,,,3700000.0,1900000.0,,4200000.0,,,2400000.0,,,11500000.0,500000.0,,,,,18500000,1500000.0,-32500000,2200000.0,3600000.0,,-3500000.0,,3600000.0,11100000.0,7300000.0,,39900000.0,,,1300000,-4100000.0,,,,0.000938,2100000.0,,28100000.0,,232448000.0,,0.0,-300000.0,,1600000.0,,,3700000.0,,,,,11500000.0,,23300000.0,,0.000938,,55100000.0,2400000.0,,-4600000.0,,,,,,,,2100000.0,,1900000.0,,1600000.0,5700000.0,,,4200000.0,,8700000.0,3700000.0,,17400000.0,,,7400000.0,,,,100000.0,,,0.0,,7400000.0,,8100000.0,7400000.0,500000.0,,,,7700000.0,-500000.0,7400000.0,9900000.0,2200000.0,,,,,,,27000000.0,232448000.0,5700000.0,,5600000.0,,,55100000.0,0.0,,,,,,,,,,,,,,,,
1990-03-31,,,,,,,,,231984000.0,8100000.0,,3300000.0,16500000.0,,,,600000.0,,,,,,,,,,0,,,,,27700000.0,0.0,-1400000.0,,-700000.0,,300000.0,,,,,,,5100000.0,,,,-600000.0,,,,41000000.0,5100000.0,20500000.0,,,,3600000.0,,,4600000.0,-0.000156,100000.0,,-200000.0,,11100000.0,,-700000.0,,,,9100000,,-600000,,,-1100000.0,-3500000.0,,,,,,,,3600000.0,-400000,,-400000.0,,,,,,,,,1100000.0,100000.0,,,,,,2700000.0,,4000000.0,,,,231984000.0,,,,,,,,,,,,,,,0.0,2100000.0,,1500000.0,,1400000.0,,,,,5700000.0,,,,,,,,,,,,600000.0,,,,8400000.0,,,8400000.0,,7400000.0,,,,,,10800000.0,1300000.0,,,-0.000156,,,,24100000.0,,6200000.0,100000.0,,,-400000.0,51800000.0,,,2900000.0,,,,,,,,,,,,,,
1990-06-30,,,,,,,,,200912000.0,8600000.0,,300000.0,14500000.0,,,,600000.0,,,,,,,,,,2700000,,,,,23500000.0,0.0,-1700000.0,,-800000.0,,-2000000.0,,,,,,,8500000.0,,,,2100000.0,,,,40500000.0,5800000.0,19900000.0,,,,8900000.0,,,5100000.0,0.000391,,,800000.0,,12400000.0,,-900000.0,,,,15200000,,2000000,,,-300000.0,-3500000.0,,,,,,,,2200000.0,1300000,,1300000.0,,,,,,,,,100000.0,-100000.0,,,,,,4300000.0,,6700000.0,,,,200912000.0,,,,,,,,,,,,,,,100000.0,2100000.0,,3600000.0,,6900000.0,,,,,6500000.0,,,,,,,,,,,,700000.0,,,,8600000.0,,,8600000.0,,0.0,,,,,,11800000.0,1100000.0,,,0.000391,,,,28800000.0,,6700000.0,-5600000.0,,,1300000.0,52300000.0,,,1300000.0,,,,,,,,,,,,,,
1990-09-30,,,,-100000.0,,,,,200928000.0,9900000.0,,-1100000.0,13800000.0,,,,600000.0,,,,,,,,,,2000000,,,,,24200000.0,0.0,-2400000.0,,-800000.0,,400000.0,,,,,,,7800000.0,,,,1200000.0,,,,40000000.0,5800000.0,19400000.0,,,,9900000.0,,,6400000.0,0.000234,,,400000.0,,13200000.0,,-1600000.0,,,,12900000,,1300000,,,1000000.0,-3500000.0,,,,,,,,400000.0,800000,,800000.0,,,,,,,,,-1000000.0,-100000.0,,,,,,4500000.0,,5100000.0,,,,200928000.0,,,,,,,,,,,,,,,0.0,2100000.0,,3100000.0,,7900000.0,,,,,6500000.0,,,,,,,,,,,,700000.0,,,,7600000.0,,,7600000.0,,0.0,,,,,,13500000.0,1100000.0,,100000.0,0.000234,,,,29300000.0,,7100000.0,100000.0,,,800000.0,53500000.0,,,-1200000.0,,,,,,,,,,,,,,
1990-12-31,,,700000.0,0.0,,-3200000.0,15200000.0,-5000000.0,,11200000.0,,-1800000.0,11400000.0,-5600000.0,,,600000.0,,7600000.0,,,,38600000.0,,4100000.0,1600000.0,800000,,-300000.0,,,24100000.0,0.0,-800000.0,0.0,-800000.0,900000.0,1200000.0,100000.0,,,,,,-600000.0,51300000.0,13800000.0,,-200000.0,20700000.0,2500000.0,,38600000.0,-1400000.0,17800000.0,28300000.0,,,10500000.0,2000000.0,,6200000.0,,,700000.0,-100000.0,,13100000.0,600000.0,0.0,,,,14200000,-100000.0,0,2300000.0,1600000.0,600000.0,-5000000.0,,1600000.0,18000000.0,7400000.0,,30600000.0,,-500000.0,-100000,-6300000.0,-100000.0,,,0.000469,2700000.0,,24100000.0,,230736000.0,-500000.0,100000.0,-100000.0,,7700000.0,,,4100000.0,,14800000.0,,,13100000.0,,17800000.0,,0.000469,,52400000.0,2800000.0,,200000.0,,,,,,,-200000.0,2700000.0,,2000000.0,,7700000.0,2700000.0,,,6200000.0,-600000.0,5700000.0,10500000.0,,11400000.0,,,7100000.0,,,,100000.0,800000.0,,0.0,,7100000.0,,5500000.0,7100000.0,-100000.0,0.0,,,11200000.0,-3100000.0,7100000.0,13800000.0,2300000.0,,,,,,,28300000.0,230736000.0,7600000.0,-100000.0,2500000.0,,-100000.0,52400000.0,100000.0,,-500000.0,,,,,,,,,,,,,,
1991-03-31,,,,,,,,,201264000.0,11300000.0,,-100000.0,14100000.0,,,,1000000.0,,,,,,,,,,1600000,,,,,24600000.0,0.0,-1900000.0,,-1400000.0,,-1200000.0,,,,,,,8200000.0,,,,700000.0,,,,41200000.0,6600000.0,21600000.0,,,,9800000.0,,,6300000.0,0.000156,100000.0,,300000.0,,13500000.0,,-500000.0,,,,14900000,,800000,,,100000.0,-5000000.0,,,,,,,,1200000.0,400000,,400000.0,,,,,,,,,-600000.0,0.0,,,,,,4500000.0,,6700000.0,,,,201264000.0,,,,,,,,,,,,,,,0.0,2700000.0,,3100000.0,,7100000.0,,,,,7400000.0,,,,,,,,,,,,800000.0,,,,6400000.0,,,6400000.0,,7100000.0,,,,,,14800000.0,3000000.0,,100000.0,0.000156,,,,31400000.0,,8500000.0,100000.0,,,400000.0,56000000.0,,,700000.0,,,,,,,,,,,,,,
1991-06-30,,,,,,,,,201312000.0,11400000.0,,-1100000.0,10100000.0,,,,600000.0,,,,,,,,,,2800000,,,,,25600000.0,0.0,-1500000.0,,-800000.0,,900000.0,,,,,,,4400000.0,,,,1700000.0,,,,39400000.0,1600000.0,20200000.0,,,,9100000.0,,,6400000.0,0.000313,0.0,,700000.0,,14500000.0,,-700000.0,,,,18100000,,1900000,,,200000.0,-5000000.0,,,,,,,,900000.0,1000000,,1000000.0,,,,,,,,,-400000.0,100000.0,,,,,,6100000.0,,13700000.0,,,,201312000.0,,,,,,,,,,,,,,,0.0,2700000.0,,2200000.0,,6300000.0,,,,,2500000.0,,,,,,,,,,,,900000.0,,,,6100000.0,,,6100000.0,,0.0,,,,,,15500000.0,4000000.0,,200000.0,0.000313,,,,29300000.0,,9100000.0,0.0,,,1000000.0,54900000.0,,,200000.0,,,,,,,,,,,,,,
