,annualTotalNonCurrentAssets,quarterlyOperatingExpense,trailingGrossProfit,annualOtherIntangibleAssets,annualNetPPE,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIncomeExpense,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualBasicEPS,annualGrossProfit,annualEbitda,trailingRepaymentOfDebt,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyDilutedAverageShares,quarterlyPretaxIncome,trailingChangeInCashSupplementalAsReported,annualChangeInInventory,trailingCashFlowFromContinuingFinancingActivities,annualGrossPPE,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,annualBeginningCashPosition,annualPurchaseOfBusiness,trailingOtherIncomeExpense,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,quarterlyGrossPPE,trailingOperatingExpense,trailingSellingGeneralAndAdministration,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,annualDeferredIncomeTax,annualInvestingCashFlow,annualOperatingExpense,quarterlySaleOfInvestment,trailingCapitalExpenditure,quarterlyBasicEPS,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,quarterlyOperatingCashFlow,annualAccumulatedDepreciation,trailingDeferredIncomeTax,annualCapitalExpenditure,annualChangesInAccountReceivables,trailingPurchaseOfInvestment,quarterlyResearchAndDevelopment,trailingCashDividendsPaid,annualDilutedAverageShares,annualDilutedEPS,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,annualNonCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyEbitda,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualNetOtherFinancingCharges,trailingStockBasedCompensation,quarterlyCommonStockIssuance,annualInventory,quarterlyOtherShortTermInvestments,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,annualInterestExpense,annualRepaymentOfDebt,trailingChangeInWorkingCapital,trailingResearchAndDevelopment,annualPurchaseOfInvestment,annualTotalRevenue,annualCapitalStock,annualGoodwill,annualStockBasedCompensation,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualOperatingIncome,quarterlyCurrentAssets,annualOtherShortTermInvestments,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,annualResearchAndDevelopment,annualChangeInAccountPayable,quarterlySellingGeneralAndAdministration,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,annualOtherCurrentAssets,quarterlyRetainedEarnings,annualEndCashPosition,trailingTotalRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,quarterlyTotalRevenue,trailingEndCashPosition,annualCashAndCashEquivalents,trailingPretaxIncome,trailingTaxProvision,annualNetIncomeContinuousOperations,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,quarterlyBasicAverageShares,annualPretaxIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,annualCostOfRevenue,trailingOperatingIncome,annualInvestmentsAndAdvances,annualNetIncome,annualCurrentDebt,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,annualCashDividendsPaid,quarterlyNetIncome,annualOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,trailingSaleOfInvestment,quarterlyOtherNonCurrentAssets,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualCurrentAssets,annualOtherNonCashItems,annualTotalAssets,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,annualStockholdersEquity,quarterlyGoodwill,annualNetIncomeCommonStockholders,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyCostOfRevenue,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualRetainedEarnings,annualCurrentLiabilities,annualCurrentAccruedExpenses,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyInvestmentsAndAdvances,annualSaleOfInvestment,quarterlyInvestingCashFlow,quarterlyGrossProfit,annualCommonStockIssuance,quarterlyEndCashPosition,annualBasicAverageShares,trailingChangeInInventory,annualIncomeTaxPayable,quarterlyCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualCurrentDeferredRevenue,quarterlyChangesInAccountReceivables,trailingBasicAverageShares,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,trailingBasicEPS,trailingNetOtherInvestingChanges,quarterlyChangeInInventory,trailingChangesInAccountReceivables,quarterlyIncomeTaxPayable,trailingDilutedEPS,trailingDilutedAverageShares,trailingInterestExpense,trailingCommonStockIssuance,trailingChangeInAccountPayable
473299200,,,,,,,,,,,,,,,,,,,,,,56042000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,2022200000.0,,,,,,,,,,2022200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022200000.0,,,,,,,,56042000.0,,,,,,,,,,,,,,,,25900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481075200,,,,,,,,,,,,,,,,,,,,,,56706000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,1800000000.0,,,,,,,,,,1800000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000000.0,,,,,,,,56706000.0,,,,,,,,,,,,,,,,14100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488937600,,,,,,,,,,,,,,,,,,,,,,56358000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,2038800000.0,,,,,,,,,,2038800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2038800000.0,,,,,,,,56358000.0,,,,,,,,,,,,,,,,60300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496886400,2331900000.0,,,50100000.0,1816000000.0,173400000.0,-11700000.0,0.0,173400000.0,173400000.0,1.03,1152400000.0,506900000.0,,,,,,1816000000.0,,,,,,,,3319600000.0,,,,,30500000.0,,,-1503600000.0,0.0,,,574900000.0,50100000.0,3319600000.0,,,,,,0.0,854600000.0,,,,,,,-1503600000.0,,,,,,,56774000.0,1.03,,-5476200000.0,1396600000.0,,380200000.0,,,,,,,-5476200000.0,1396600000.0,,,,,306600000.0,,,,67400000.0,,,,,7891200000.0,,,,1427100000.0,,,,297800000.0,1595700000.0,,,,,,,,1571100000.0,,72000000.0,2998200000.0,121100000.0,690600000.0,0.0,,1571100000.0,,2117200000.0,,173400000.0,,,146700000.0,,,,218700000.0,2998200000.0,,3927600000.0,,6738800000.0,,,146700000.0,30500000.0,0.0,2331900000.0,,,465800000.0,40300000.0,,465800000.0,606800000.0,574900000.0,616000000.0,1595700000.0,,3927600000.0,121100000.0,,929400000.0,,117600000.0,306600000.0,,,,,,,,929400000.0,690600000.0,1427100000.0,,616000000.0,,380200000.0,,,,,,,,,56774000.0,,,,,,,,,,,,,,,,,,,
504835200,,,,,,,,,,,,,,,,,,,,,,56774000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355,,,,,,,,,,,,,,1973900000.0,,,,,,,,,,1973900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973900000.0,,,,,,,,56774000.0,,,,,,,,,,,,,,,,48100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512611200,,,,,,,,,,,,,,,,,,,,,,64024000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,1711600000.0,,,,,,,,,,1711600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711600000.0,,,,,,,,64024000.0,,,,,,,,,,,,,,,,39400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520473600,,,,,,,,,,,,,,,,,,,,,,64024000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,1687900000.0,,,,,,,,,,1687900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687900000.0,,,,,,,,64024000.0,,,,,,,,,,,,,,,,80200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528422400,2281900000.0,,,52700000.0,1847400000.0,295500000.0,52000000.0,0.0,295500000.0,295500000.0,1.54,1277600000.0,622600000.0,,,,,,1847400000.0,,,,,,,,3561500000.0,,,,,90700000.0,,,-1714100000.0,0.0,,,363100000.0,52700000.0,3561500000.0,,,,,,0.0,895700000.0,,,,,,,-1714100000.0,,,,,,,65082000.0,1.54,,-4991400000.0,1119300000.0,,461500000.0,,,,,,,-4991400000.0,1119300000.0,,,,,333000000.0,,,,61400000.0,,,,,6991300000.0,,,,1210000000.0,,,,381900000.0,1522800000.0,,,,,,,,1623700000.0,,163800000.0,2833700000.0,205900000.0,231300000.0,0.0,,1623700000.0,,1618000000.0,,295500000.0,,,208600000.0,,,,372400000.0,2833700000.0,,3804700000.0,,5713700000.0,,,208600000.0,90700000.0,0.0,2281900000.0,,,381800000.0,40900000.0,,381800000.0,655000000.0,363100000.0,799100000.0,1522800000.0,,3804700000.0,205900000.0,,971000000.0,,193700000.0,333000000.0,,,,,,,,971000000.0,231300000.0,1210000000.0,,799100000.0,,461500000.0,,,,,,,,,65082000.0,,,,,,,,,,,,,,,,,,,
536371200,,,,,,,,,,,,,,,,,,,,,,65082000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,1497300000.0,,,,,,,,,,1497300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497300000.0,,,,,,,,65082000.0,,,,,,,,,,,,,,,,27200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544147200,,,,,,,,,,,,,,,,,,,,,,65082000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,1523800000.0,,,,,,,,,,1523800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523800000.0,,,,,,,,65082000.0,,,,,,,,,,,,,,,,700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552009600,,,,,,,,,,,,,,,,,,,,,,65082000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,1802000000.0,,,,,,,,,,1802000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1802000000.0,,,,,,,,65082000.0,,,,,,,,,,,,,,,,40000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559958400,2507400000.0,,,74100000.0,1961300000.0,46900000.0,113400000.0,0.0,46900000.0,46900000.0,1.07,1115900000.0,404300000.0,,,,,,1961300000.0,,,,,,,,3943600000.0,,,,,23800000.0,,,-1982300000.0,0.0,,,498700000.0,74100000.0,3943600000.0,,,,,,0.0,969700000.0,,,,,,,-1982300000.0,,,,,,,62054000.0,1.07,,-4676800000.0,1250200000.0,,430000000.0,,,,,,,-4676800000.0,1250200000.0,,,,,382300000.0,,,,52000000.0,,,,,6870900000.0,,,,1274000000.0,,,,146200000.0,1550600000.0,,,,,,,,1718600000.0,,74300000.0,2992600000.0,232900000.0,906700000.0,0.0,,1718600000.0,,2047900000.0,,46900000.0,,,133400000.0,,,,207700000.0,2992600000.0,,4058000000.0,,5755000000.0,,,133400000.0,23800000.0,0.0,2507400000.0,,,472000000.0,65500000.0,,472000000.0,711600000.0,498700000.0,789900000.0,1550600000.0,,4058000000.0,232900000.0,,1065400000.0,,133300000.0,382300000.0,,,,,,,,1065400000.0,906700000.0,1274000000.0,,789900000.0,,430000000.0,,,,,,,,,62054000.0,,,,,,,,,,,,,,,,,,,
567907200,,,,,,,,,,,,,,,,,,,,,,62054000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355,,,,,,,,,,,,,,1934700000.0,,,,,,,,,,1934700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934700000.0,,,,,,,,62054000.0,,,,,,,,,,,,,,,,40000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575769600,,,,,,,,,,,,,,,,,,,,,,62054000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185,,,,,,,,,,,,,,1815400000.0,,,,,,,,,,1815400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815400000.0,,,,,,,,62054000.0,,,,,,,,,,,,,,,,20600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583632000,,,,,,,,,,,,,,,,,,,,,,62054000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,2087500000.0,,,,,,,,,,2087500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2087500000.0,,,,,,,,62054000.0,,,,,,,,,,,,,,,,56900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
