date,annualInventory,quarterlyNetPPE,quarterlyInventory,quarterlyTaxProvision,annualChangeInInventory,quarterlyRepaymentOfDebt,quarterlyCurrentDebt,trailingDepreciationAndAmortization,quarterlyInterestExpense,trailingChangeInInventory,quarterlyDilutedAverageShares,annualCurrentLiabilities,annualGrossProfit,annualNetPPE,annualOtherNonCashItems,quarterlyCommonStockIssuance,annualTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyBasicEPS,annualBasicEPS,trailingOtherNonCashItems,quarterlyPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualNonCurrentDeferredTaxesLiabilities,quarterlyPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,trailingCashDividendsPaid,annualNonCurrentDeferredRevenue,trailingInterestExpense,trailingPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,annualInterestExpense,trailingBeginningCashPosition,annualPretaxIncome,quarterlyTotalAssets,trailingNetIncome,annualGoodwill,annualGrossPPE,trailingInvestingCashFlow,trailingCapitalExpenditure,trailingOperatingExpense,quarterlySaleOfInvestment,annualChangeInWorkingCapital,quarterlyOtherCurrentLiabilities,quarterlyBeginningCashPosition,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyAccountsPayable,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,annualBasicAverageShares,annualTotalRevenue,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualCapitalStock,trailingResearchAndDevelopment,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,trailingGrossProfit,annualPurchaseOfInvestment,annualRepaymentOfDebt,quarterlyNetIncomeCommonStockholders,annualCurrentDebt,annualTaxProvision,trailingEndCashPosition,trailingTaxProvision,annualNetOtherFinancingCharges,trailingTotalRevenue,trailingCostOfRevenue,quarterlyInvestingCashFlow,trailingOperatingIncome,annualEndCashPosition,quarterlyDilutedEPS,quarterlyEndCashPosition,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfInvestment,annualOperatingIncome,quarterlyEbitda,trailingNetIncomeContinuousOperations,annualOtherCurrentAssets,annualResearchAndDevelopment,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,annualDilutedAverageShares,quarterlyCurrentAssets,trailingFreeCashFlow,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyCurrentLiabilities,annualFreeCashFlow,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,quarterlyTotalRevenue,annualCostOfRevenue,annualBeginningCashPosition,annualOperatingExpense,quarterlyFreeCashFlow,trailingSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,annualNetIncome,trailingPretaxIncome,quarterlyOtherCurrentAssets,annualDilutedEPS,quarterlyBasicAverageShares,annualLongTermDebt,quarterlyNetOtherInvestingChanges,annualCashDividendsPaid,quarterlyAccountsReceivable,annualTotalAssets,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,annualEbitda,annualCurrentAssets,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,trailingNetOtherInvestingChanges,annualOtherNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingSaleOfInvestment,quarterlyGrossProfit,annualOtherIntangibleAssets,annualStockholdersEquity,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,annualSaleOfInvestment,annualCommonStockIssuance,annualDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyOperatingExpense,trailingCommonStockIssuance,quarterlyNetIncome,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyStockholdersEquity,quarterlyLongTermDebt,annualRetainedEarnings,trailingNetIncomeCommonStockholders,trailingRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,trailingDeferredIncomeTax,annualDeferredIncomeTax,quarterlyChangeInWorkingCapital,trailingChangeInAccountPayable,annualStockBasedCompensation,quarterlyOtherIncomeExpense,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,quarterlyRepurchaseOfCapitalStock,annualChangesInAccountReceivables,annualInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingBasicEPS,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyDeferredIncomeTax,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,quarterlyOperatingCashFlow,annualGainsLossesNotAffectingRetainedEarnings,trailingCashFlowFromContinuingFinancingActivities,trailingPurchaseOfBusiness,quarterlyCurrentDeferredRevenue,annualOtherIncomeExpense,annualChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingOtherIncomeExpense,quarterlyChangeInInventory,trailingDilutedAverageShares,quarterlyAccumulatedDepreciation
2010-03-31,,48550909126.86,64358767662.77,361417906.09,,-4684699923.79,26487442896.79,,245270464.01,,15175659045.0,,,,,658944674.72,,26740451066.41,26877740934.44,,451670430.56,,0.11,,,2067745616.79,,17604098644.01,,,,,-3777328581.88,872200386.27,,,,,107494896679.36,,,,275198012232.31,,,,,,,156826206.87,,11774301281.88,34515592102.5,-7775141036.09,137289868.03,,14825000000.0,53532864528.39,,,,,,,,,,,,,,,1669322494.94,,,,,,,,-4698466177.73,,,0.11,26740451066.41,,,-864554289.21,,2053482280.95,,,,,203618602586.54,,16607487764.66,,167703115552.95,,2053482280.95,48550909126.86,158778283602.35,,,,46877500986.1,,,,-6571004819.35,,,,,7784445894.03,,15175659045.0,,-321804803.84,,38398832013.07,,41540188506.9,,,,,489239407.58,,,44840318984.19,,5337312479.2,,,,-713495001.39,,,,1706327710.7,3283830198.25,,1669322494.94,5184023.36,3364542310.43,2141557111.28,,,60037518885.03,36031381112.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,49791114674.0,73338060249.0,735992974.91,,-9041752989.21,28027173305.0,,655711938.99,,,,,,,-648472653.72,,28561902803.0,28755137866.0,,-681166511.56,,,,,2741362655.21,,18425580439.0,,,,,-2272512442.12,1291169761.0,,,,,108187123904.0,,,,293565153456.0,,,,,,,-53457098.87,,17335920267.0,26740451066.41,1625897641.09,193235063.0,,14825000000.0,69756702396.0,,,,,,,,,,,,,,,2002730312.06,,,,,,,,-2704740988.27,,,,27667881282.0,,,-1228014077.79,,3656608394.05,,,,,224534170952.0,,16888699152.0,,185378029552.0,,3358747742.05,49791114674.0,184575030348.0,,,,73397502670.9,,,,-3613421424.65,,,,,9094932543.0,,,,503252190.84,,46264114512.0,,65950027467.1,,,,,553296334.0,,,39959140604.0,,7447475203.8,,,,-487940533.61,,,,2005369680.3,4088727461.75,,2002730312.06,5184023.0,2659402137.0,2075958971.72,,,57976403983.0,31548509746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,,50529158749.47,74953729787.08,427593749.68,,-9644563635.04,28552274722.13,,490509589.96,,,,,,,107527979.0,,33311765336.75,33449948774.91,,327554959.2,,,,,2010064651.67,,19327695097.1,,,,,-9412563566.49,874017115.18,,,,,114039586360.24,,,,310877932004.02,,,,,,,147019780.78,,10059734610.53,27667881282.0,4945416629.25,138183438.16,,14825000000.0,77847822578.28,,,,,,,,,,,,,,,1725668176.72,,,,,,,,-12928005294.96,,,,33311765336.75,,,-2452022665.99,,2002920410.38,,,,,239749509896.97,,18615793626.2,,196838345643.78,,2300781062.38,50529158749.47,188132100347.48,,,,73073546466.37,,,,-7850480024.32,,,,,6845682644.13,,,,-1166010949.24,,50164301157.61,,66166559745.33,,,,,483427889.95,,,51617409549.49,,6906986721.04,,,,-1995694087.29,,,,1582470901.99,4606205658.66,,1725668176.72,5184023.36,2732425482.18,2529201538.49,,,60120620337.95,41731230757.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,64509000000.0,52817243000.0,64509000000.0,929403369.32,-4642267000.0,-22020025451.96,28392794000.0,,725264589.04,,,190164168000.0,31274915000.0,52817243000.0,1666917000.0,-6281000.0,120478186000.0,39545096000.0,39659937000.0,15483490000.0,-547636878.2,,,0.64,,5086122076.33,39659937000.0,22759384000.0,2398005000.0,-588502985.26,663485000.0,-678072000.0,1059695590.49,727977000.0,,,,,120478186000.0,2116756582.0,,11905295000.0,311067043000.0,,300850000.0,52817243000.0,,,,814227111.22,-234396000.0,14518559000.0,33311765336.75,6212985765.75,114841000.0,,14825000000.0,78575102000.0,,,14745415625.0,273571499000.0,,14518559000.0,-15366229000.0,14825000000.0,,5009159000.0,-14402709000.0,,-2606061000.0,-45391042000.0,4039345016.28,28392794000.0,2454408000.0,,,-449578000.0,,,4964983460.96,,38826283000.0,,38826283000.0,78575102000.0,45881201000.0,1938530032.99,13024619000.0,6309040496.62,,10956521000.0,,236045369000.0,236045369000.0,,22361097000.0,14745415625.0,190588857000.0,,5311607914.62,52817243000.0,190164168000.0,1080781000.0,294386000.0,39545096000.0,80222948876.63,242296584000.0,33817125000.0,18250296000.0,19115687268.32,,9450887000.0,9437066000.0,,10956521000.0,0.64,,37090219000.0,1278949562.24,-4573056000.0,47087818000.0,311067043000.0,68639808280.67,9437066000.0,19675178582.0,190588857000.0,10870891000.0,663485000.0,,727977000.0,45881201000.0,,11583140595.96,22759384000.0,64001456000.0,114841000.0,-1375926377.71,1064616000.0,111719000.0,5653127000.0,4156718707.01,6271532681.34,,4039345016.28,300850000.0,2398005000.0,4124173378.51,47087818000.0,,64001456000.0,37090219000.0,22361097000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,,52603603806.05,73296702067.78,433370677.73,,-10761786399.27,28297704434.39,,540034920.24,,,,,,,53340000.0,,36168899783.17,36296699717.37,,-27968342.68,,0.21,,,1970580813.76,,24310764808.92,,-31230000.0,,,-3686874810.56,569564029.09,,,,,124826171246.09,,,,323647157600.12,,,,,,,29759757.59,,17069956792.67,39545096372.9,-3378385170.46,127799934.2,,14825000000.0,77231319406.72,,,,,,,,,,,,,,,1585559938.36,,,,,,,,-3788375218.39,,,-0.03,36166711202.44,,,-235263067.76,,2171332713.23,,,,,246545461138.65,,23946657291.98,,198820986354.03,,2171332713.23,52603603806.05,192869060604.66,,,,53146189827.36,,,,-11933873835.94,,,,,9139508785.34,,7550285421.0,,90538094.8,,48392647529.37,,47001297274.64,,,,,533958680.97,,,53676400533.99,,6144892552.72,,,,-941032900.44,,,,1537210136.03,3973559839.49,,1585559938.36,-18697910.89,2667313189.67,2641883536.93,,,66201447875.44,43520673552.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,52711553000.0,80658426000.0,1078589322.27,,-16580936012.73,38658739000.0,,766661316.76,,,,,,,-40265140.0,,40524182000.0,40641265000.0,,-312423777.32,,,,,5208054186.24,,25872835000.0,,,,,-3158756184.44,1628278000.0,,,,,126374129000.0,,,,345741567000.0,,,,,,,456191714.41,,11721443000.0,36166711202.44,3499407528.46,117083000.0,,14825000000.0,89010899000.0,,,,,,,,,,,,,,,4136346061.64,,,,,,,,-2679868206.61,,,,38947305776.0,,,-404856601.24,,6313998523.77,,,,,267962252000.0,,25711003000.0,,219367438000.0,,4980625286.77,52711553000.0,211557734000.0,,,,86282949172.64,,,,-2544732115.06,,,,,13407303000.0,,,,92136373.2,,54248618000.0,,76154640725.36,,,,,675567000.0,,,56404518000.0,,10128308447.28,,,,-3174861407.56,,,,4129464863.97,5147683160.51,,4136346061.64,300850000.0,2716175000.0,2619928463.07,,,67145724000.0,47326211000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,,53951061116.51,86331507695.14,465476429.25,,-7339017351.64,39734888246.45,,991768629.65,,14778860742.0,,,,,264519429.11,,48371801787.77,48537675224.05,,4659246066.7,,0.16,,,2832495214.0,,28399074699.33,,,,,-2465660032.61,499665163.98,,,,,132326114152.26,,,,365907076940.92,,,,,,,70619414.19,,6892301566.47,38947305776.0,8705683056.87,165873436.28,,14825000000.0,98174673861.66,,,,,,,,,,,,,,,2364617718.79,,,,,,,,-2975231242.01,,,0.16,48371801787.77,,,-949509834.15,,3824263843.65,,,,,287592157007.07,,28075620697.53,,233580962788.66,,3479761353.6,53951061116.51,226270581418.07,,,,72008882911.27,,,,847804010.77,,,,,11331292941.9,,14778860742.0,,331960249.25,,53470012479.81,,63200047302.17,,,,,632501117.58,,,61321575589.0,,8808835609.1,,,,-411948663.24,,,,2367018784.75,5329074255.5,,2364617718.79,301078237.42,2493168247.74,3148304970.56,,,67477188709.25,51865940621.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,76701200459.0,54958733912.0,76701200459.0,1055183524.04,-13510580450.0,-13625661839.36,42940547516.0,,944036660.19,,,218385540885.0,36841945066.0,54958733912.0,2439538946.0,-111340054.11,136445571851.0,46043427699.0,46153901238.0,1712152642.0,-4973620151.7,,,0.78,,4815647589.5,46153901238.0,30616556810.0,2378216809.0,85275229.78,741294776.0,-23507000.0,-6783436691.39,1606992938.0,,,,,136445571851.0,3115326967.0,,14826777900.0,359567922079.0,,306141592.0,54958733912.0,,,,284320577.81,-17131144868.0,11871976886.0,48371801787.77,-2531599911.87,110473539.0,,14825000000.0,95689976331.0,,,14873501147.0,295370486098.0,,11871976886.0,-14378862019.0,14825000000.0,,6295105503.0,-16094727719.0,,-1053858487.0,-48307401603.0,3514807525.09,42940547516.0,3032619486.0,,,-654766205.0,,,-4935387351.99,,45121388921.0,,45121388921.0,95689976331.0,59146696890.0,535771016.15,15484698594.0,5759684249.69,,15566556574.0,,277532237775.0,277532237775.0,,31157073650.0,14873501147.0,223122350228.0,,4852979627.87,54958733912.0,218385540885.0,-14382575077.0,503858211.0,46043427699.0,83932464558.4,258528541032.0,38826283418.0,21357246472.0,-751773136.77,,11794158414.0,11601330895.0,,15566556574.0,0.78,,50576631290.0,-10776506.25,-6388109278.0,50674162716.0,359567922079.0,72172556008.11,11601330895.0,24316291929.0,223122350228.0,13103418494.0,741294776.0,,1606992938.0,59146696890.0,,11759908550.29,30616556810.0,71230218478.0,110473539.0,-1860266306.76,840891464.0,166254235.0,6374187062.0,3760464065.46,6906928922.42,,3514807525.09,306141592.0,2378216809.0,4693301674.22,50674162716.0,,71230218478.0,50576631290.0,31157073650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,,55239832739.47,83359264363.41,490502093.14,,-11767677157.51,44569045773.87,,910099702.02,,15278436268.0,,,,,4866607213.21,,45820528072.57,45908833005.64,,4665420652.89,,0.1,,,1939139589.27,,32009493327.87,,,,,-4913638047.36,1520687442.19,,,,,140350485675.88,,,,371311768713.63,,,,,,,29120536.56,,7751926860.92,45121388921.69,-101909935.93,88304933.07,,16174735425.0,90742488009.7,,,,,,,,,,,,,,,1527843626.75,,,,,,,,-4941586561.0,,,0.1,45019478985.76,,,-348661688.45,,2849239291.29,,,,,282624888110.37,,32684917276.2,,230961283037.75,,2595208790.64,55239832739.47,218194236350.85,,,,50311365934.89,,,,-7755204611.92,,,,,12753774979.97,,15278436268.0,,84679824.51,,51056502600.17,,43635728457.76,,,,,539401100.26,,,64430651759.52,,6675637477.13,,,,-1755806475.42,,,,1448637496.13,4080428686.49,,1527843626.75,306141592.11,2462038418.07,2774733956.85,,,78807309803.39,55097846193.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,54756152534.0,89343402479.0,884649239.86,,-23287616158.49,63282317369.0,,1472799601.98,,,,,,,5427565.79,,57391225880.0,57436234446.0,,-3125552726.89,,,,,4166943439.73,,34928511599.0,,,,,-1858649624.64,1521586278.0,,,,,142572991187.0,,,,401220211235.0,,,,,,,1304389060.44,,11055477084.0,45019478985.76,7789777623.93,45008566.0,,16174735425.0,95778827094.0,,,,,,,,,,,,,,,3322192723.25,,,,,,,,-5640008239.0,,,,52809256609.0,,,-5419405930.55,,5639743041.71,,,,,312495486243.0,,33096699176.0,,258647220048.0,,5091542765.36,54756152534.0,246847338774.0,,,,74757584610.11,,,,-4024113097.08,,,,,20747850143.0,,,,204432274.49,,52608085648.0,,64776896070.24,,,,,757529070.0,,,65648147469.0,,9980688539.87,,,,-1186223546.58,,,,3282294199.87,4889145774.51,,3322192723.25,306141592.0,2354804054.0,2909779992.15,,,78869536811.0,56134041740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,,55929377488.19,94103791645.86,669489279.17,,-26433472855.27,60908452779.64,,721369900.73,,15902093298.0,,,,,0.0,,64020648624.83,64060518621.89,,-3701883862.17,,0.13,,,2499127691.92,,37079627155.27,,,,,-2257670526.82,1286516864.06,,,,,147918108155.38,,,,418389351769.77,,,,,,,2532972934.53,,12152801581.32,52809256609.0,7830545807.98,39869997.06,,16174735425.0,98313852816.18,,,,,,,,,,,,,,,2067272128.68,,,,,,,,-976009374.38,,,0.13,60639802416.98,,,-1721543688.1,,3220497592.65,,,,,328233224467.77,,35168411304.53,,270471243614.39,,3167164253.74,55929377488.19,249149474583.48,,,,75409302505.3,,,,744380219.98,,,,,17086069961.76,,15902093298.0,,0.0,,53392845789.0,,66962303842.4,,,,,941128014.91,,,79083749884.29,,8446998662.9,,,,-1783133613.08,,,,1829638412.75,5279834409.16,,2067272128.68,307045603.72,2187878880.26,3283791345.43,,,80510815505.65,69508182725.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,83969967607.0,56583060072.0,83969967607.0,1694924372.47,-7705862230.0,-20462477017.73,52745304953.0,,2177141012.56,,,252459492230.0,40961316934.0,56583060072.0,4161465994.0,153964574.0,163480816415.0,73072761524.0,73158214617.0,13338004036.0,4162461775.17,,,0.75,,6544170261.42,73158214617.0,42996621661.0,3100544798.0,-15941500.0,1426547575.0,-15941500.0,-10583049484.18,1510746198.0,,,,,163480816415.0,4871385779.0,,15149380983.0,433979036031.0,,307621592.0,56583060072.0,,,,3667903286.47,-9433213403.0,16811589177.0,60639802416.98,7239165265.02,85453093.0,,16174735425.0,106230802738.0,,,15933716503.0,296227385321.0,,16811589177.0,-19502964455.0,16174735425.0,,22757578761.0,-19613007683.0,,-8749727232.0,-81951243189.0,5032978898.04,52745304953.0,3739564985.0,,,2000445839.0,,,-7945360280.62,,67991719769.0,,67991719769.0,106230802738.0,84342734420.0,-1260115924.9,19236155690.0,8721311273.98,,20554380789.0,,336802226650.0,336802226650.0,,39957466998.0,15933716503.0,270498219616.0,,8382239879.57,56583060072.0,252459492230.0,-6275003647.0,725999029.0,73072761524.0,95749132270.71,255266068387.0,45234141008.0,21725161244.0,4759933842.02,,11409815998.0,11950287377.0,,20554380789.0,0.75,,72311259389.0,436886930.0,-9333571737.0,52273037325.0,433979036031.0,79891140016.78,11950287377.0,26788249307.0,270498219616.0,13972098800.0,1426547575.0,,1510746198.0,84342734420.0,,15857992253.93,42996621661.0,87681229113.0,85453093.0,-4608408101.92,7534385818.0,5025999353.0,6767482545.0,4849245888.95,7475752374.36,,5032978898.04,307621592.0,3100544798.0,5003793505.89,52273037325.0,,87681229113.0,72311259389.0,39957466998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,,56792460346.0,92283749433.0,457515935.0,,-14087602950.0,56355298505.0,,1007950096.0,,16280795473.0,,,,,,,60356861060.0,60440195497.0,,-735873740.0,,0.11,,,2256467733.0,,44581355355.0,,-200000.0,,,-4847249857.0,1367959199.0,,,,,165341608608.0,,,,435898021791.0,,,,,,,57444958.0,,17998666083.0,73072761524.0,-12715900464.0,83334437.0,,16174735425.0,94584104322.0,,,,,,,,,,,,,,,1790887502.0,,,,,,,,-12454250147.0,,,0.11,60356861060.0,,,-8334057647.0,,3264417829.0,,,,,337002405383.0,,41748354499.0,,270556413183.0,,2732339511.0,56792460346.0,246906794433.0,,,,54693077798.0,,,,-7458820614.0,,,,,25664765894.0,,16280795473.0,,142665638.0,,50251813871.0,,47576561140.0,,,,,1431489578.0,,,90095610950.0,,7116516658.0,,,,-1852054375.0,,,,1798951798.0,4384177147.0,,1790887502.0,307621592.0,3016466209.0,3084555812.0,,,89191679118.0,77809036692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,55441146625.0,106709857088.0,1165998183.0,,-23779229932.0,60393006573.0,,1765796783.0,,,,,,,,,63160635143.0,63238982502.0,,695055033.0,,,,,4741053952.0,,47861848927.0,,-924219324.0,,,-2750433309.0,4715303292.0,,,,,173788065451.0,,,,474252798004.0,,,,,,,1689070025.0,,20248112990.0,60356861060.0,4232326187.0,78347359.0,,16174735425.0,109254131475.0,,,,,,,,,,,,,,,3562622565.0,,,,,,,,-5413716606.0,,,,59508145492.0,,,-3938248157.0,,6506850735.0,,,,,375748596789.0,,42316000732.0,,300464732553.0,,5630408315.0,55441146625.0,278504125632.0,,,,86680074763.0,,,,-10744231295.0,,,,,26879663052.0,,,,184883329.0,,58228079986.0,,75792606506.0,,,,,1426613403.0,,,97244471157.0,,10887468257.0,,,,-1426839241.0,,,,3575055769.0,5257059942.0,,3562622565.0,307621592.0,2812801830.0,2949352278.0,,,89084204744.0,84393081435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,,55240610657.0,109261842448.0,578729557.0,,-9924955924.0,63897138334.0,,503042.0,,15905179929.0,,,,,286531938.0,,67203394792.0,67331966010.0,,690223526.0,,0.17,,,3294955604.0,,51965288314.0,,0.0,,,-10988797935.0,1332593458.0,,,,,178404042326.0,,,,485685860506.0,,,,,,,1456477188.0,,20108022450.0,59508145492.0,2593739508.0,128571218.0,,16174735425.0,117730384237.0,,,,,,,,,,,,,,,2703880588.0,,,,,,,,-11076682766.0,,,0.17,67193586157.0,,,-1949664461.0,,3295458646.0,,,,,384174216400.0,,45014236662.0,,307281818180.0,,4281758702.0,55240610657.0,283082851466.0,,,,86411702473.0,,,,-6924323830.0,,,,,26577676995.0,,15905179929.0,,49511441.0,,60293513692.0,,76573716588.0,,,,,1517369748.0,,,101091364934.0,,9837985885.0,,,,-5859961031.0,,,,2716226047.0,5556227183.0,,2703880588.0,307621592.0,2811796771.0,3440856460.0,,,91762581682.0,88958822527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,98890692428.0,55358399840.0,98890692428.0,1639689637.0,-12865558337.0,-34674857512.0,64876297102.0,,5739229428.0,,,303974521247.0,43320462508.0,55358399840.0,4543643843.0,155891370.0,199216196968.0,85487115161.0,85799073430.0,6970190099.0,1672705189.0,,,0.75,,5417507854.0,85799073430.0,62264058448.0,2893472654.0,0.0,2356609425.0,-924419324.0,-6547697391.0,1398819686.0,,,,,199216196968.0,5739732470.0,,15709985143.0,517991918129.0,,307621592.0,55358399840.0,,,,3622233619.0,-17595807063.0,26043485756.0,67193586157.0,19125509056.0,311958269.0,,16174735425.0,126420050909.0,,,16185125581.0,332486765232.0,,26043485756.0,-28081357046.0,16174735425.0,,13235674287.0,-25134178492.0,,-12081932230.0,-82466646318.0,4081453531.0,64876297102.0,3841933313.0,,,2322110008.0,,,863292473.0,,81238053457.0,,81238053457.0,126420050909.0,108470057760.0,2140038035.0,19550621188.0,11156737282.0,,28802666989.0,,412444579007.0,412444579007.0,,47981986581.0,16185125581.0,318775721161.0,,6906114660.0,55358399840.0,303974521247.0,-18163988393.0,1810287825.0,85487115161.0,104701910198.0,289166302724.0,68002379170.0,23769841320.0,6963387346.0,,11868051830.0,12138844186.0,,28802666989.0,0.75,,96849894646.0,1433227417.0,-11263667976.0,58736889290.0,517991918129.0,89223418490.0,12138844186.0,29346524461.0,318775721161.0,15127361549.0,2356609425.0,,1398819686.0,108470057760.0,,15478491708.0,62264058448.0,95506291211.0,311958269.0,-2124813329.0,6825225790.0,477724548.0,7896806848.0,3777818217.0,8572377048.0,,4081453531.0,307621592.0,2893472654.0,5652596998.0,58736889290.0,,95506291211.0,96849894646.0,47981986581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,,55018639776.75,108172609432.74,585347900.0,,-22299406247.93,75907322265.99,,1374169163.92,,16557934538.0,,,,,188630376.05,,87909411661.99,88142678346.26,,-163585123.35,,0.11,,,2387169314.22,,66079030895.86,,,,,-7452288031.18,2277665018.5,,,,,207632499395.99,,,,537509797721.39,,,,,,,1815921669.46,,24221973234.02,81238053456.62,2360001124.83,233266684.27,,16174735425.0,109879186631.86,,,,,,,,,,,,,,,1821372799.14,,,,,,,,-12981217285.27,,,0.11,83598054581.45,,,-7814234063.92,,3761338478.14,,,,,430842168489.16,,49803359380.35,,329877298325.4,,3046126014.09,55018639776.75,310192087330.49,,,,61924813254.17,,,,-11437921767.8,,,,,30430087034.46,,16557934538.0,,382553860.53,,59363633209.36,,54297458345.33,,,,,2890341519.17,,,120650081158.67,,7627354908.84,,,,-2257246110.77,,,,1801821414.22,4581228894.75,,1821372799.14,307621592.11,3015216833.7,3101510307.89,,,96463614083.65,106513327429.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,59341894662.0,128176018081.0,1229789281.0,,-34741074811.07,85205914387.0,,2851677753.08,,,,,,,303746423.95,,79928302881.0,80123934831.0,,-2657992039.65,,,,,5226480171.78,,76047641252.0,,,,,-9717129920.82,1934684451.0,,,,,233489267602.0,,,,588485964816.0,,,,,,,2729316888.54,,24788364985.0,83598054581.45,-10847144467.83,195631950.0,,16174735425.0,125922781156.0,,,,,,,,,,,,,,,3989459371.86,,,,,,,,-13016481985.73,,,,72750910114.0,,,-1369179498.08,,8078157924.86,,,,,479375567109.0,,50758114892.0,,354996697214.0,,7067589021.91,59341894662.0,339244527045.0,,,,96638469408.83,,,,-23255877664.2,,,,,31420207196.0,,,,814210987.47,,62294391466.0,,83485253641.67,,,,,5174452905.0,,,140131040064.0,,13153215767.16,,,,-3010228611.23,,,,3996690890.78,6085626745.25,,3989459371.86,1387906342.0,3659917628.0,3695478758.11,,,97601631731.0,121364062828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
