,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualFreeCashFlow,quarterlyCurrentAssets,annualAccountsPayable,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,annualTotalLiabilitiesNetMinorityInterest,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,annualChangeInAccountPayable,annualDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,annualEndCashPosition,annualChangeInWorkingCapital,annualDilutedAverageShares,annualOtherCurrentAssets,trailingTotalRevenue,annualOperatingIncome,quarterlyRetainedEarnings,quarterlyTotalNonCurrentAssets,trailingNetIncome,annualCashAndCashEquivalents,trailingEndCashPosition,quarterlyTotalRevenue,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,trailingPretaxIncome,trailingTaxProvision,quarterlyDilutedEPS,annualCashDividendsPaid,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualInvestmentsAndAdvances,annualPretaxIncome,annualNetIncomeContinuousOperations,quarterlyTotalAssets,trailingOperatingIncome,annualCostOfRevenue,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,annualBasicAverageShares,annualNetIncome,quarterlyNetIncome,annualOtherNonCurrentAssets,annualSaleOfInvestment,annualSellingGeneralAndAdministration,trailingSaleOfInvestment,quarterlyNetIncomeContinuousOperations,annualStockholdersEquity,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualRepurchaseOfCapitalStock,annualCurrentAssets,quarterlyOtherCurrentAssets,annualLongTermDebt,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,annualRetainedEarnings,quarterlyAccountsReceivable,annualCurrentLiabilities,annualCurrentAccruedExpenses,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,annualTotalAssets,trailingNetIncomeCommonStockholders,annualTaxProvision,annualDepreciationAndAmortization,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyBasicAverageShares,quarterlyBasicEPS,trailingChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyInventory,quarterlyGrossProfit,annualTotalNonCurrentAssets,quarterlyOperatingExpense,annualGrossProfit,quarterlyPretaxIncome,annualOtherIncomeExpense,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,trailingGrossProfit,annualOperatingCashFlow,annualNetPPE,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyRepaymentOfDebt,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetPPE,trailingRepaymentOfDebt,quarterlyTaxProvision,quarterlyChangesInAccountReceivables,annualChangeInInventory,annualGrossPPE,trailingChangeInCashSupplementalAsReported,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,trailingOtherIncomeExpense,annualBeginningCashPosition,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,trailingOperatingExpense,annualCapitalExpenditure,quarterlyIncomeTaxPayable,annualOperatingExpense,trailingInvestingCashFlow,annualAccumulatedDepreciation,trailingDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,annualInvestingCashFlow,annualDeferredIncomeTax,annualChangesInAccountReceivables,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,annualBasicEPS,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,trailingInterestExpense,annualNonCurrentDeferredTaxesLiabilities,quarterlyCommonStockIssuance,quarterlyDilutedAverageShares,trailingCapitalExpenditure,annualNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyEbitda,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,trailingStockBasedCompensation,annualStockBasedCompensation,annualInventory,annualCashFlowFromContinuingFinancingActivities,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualInterestExpense,annualPurchaseOfInvestment,annualRepaymentOfDebt,annualTotalRevenue,annualCapitalStock,trailingChangeInWorkingCapital,trailingBasicAverageShares,quarterlyGoodwill,trailingCommonStockIssuance,annualResearchAndDevelopment,quarterlyOtherShortTermInvestments,trailingOtherNonCashItems,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingPurchaseOfInvestment,quarterlyChangeInInventory,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,trailingNetOtherInvestingChanges,annualIncomeTaxPayable,annualGoodwill,trailingChangeInInventory,annualOtherShortTermInvestments,trailingResearchAndDevelopment,trailingRepurchaseOfCapitalStock,trailingDilutedAverageShares
488937600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16700000.0,,,,,0.011655,,,,,,,,,,,,,,,,,,,2400000.0,,,,,,,,,,,,,,,,,,,,,,,,,16612612.0,0.011655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16700000.0,,,,,,,16612612.0,,,,,,16700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496886400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20900000.0,,,,,0.03663,,,,,,,,,,,,,,,,,,,3700000.0,,,,,,,,,,,,,,,,,,,,,,,,,16684684.0,0.03663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20900000.0,,,,,,,16684684.0,,,,,,20900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504835200,,,,,,,,,,,,,,,0.08325,,,,,16768768.0,,,61000000.0,,,,,,12500000.0,,,,,,,,,,,8600000.0,,,,,,16768768.0,8600000.0,,,,,,1400000.0,,,,,,,,,,,,,,,,,,,,,,8300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08325,,,12500000.0,,,,,,,,,,,,,12500000.0,,,,,,,,,,,,,61000000.0,,,,,,,,,,,,,,,,,,,,,,,
512611200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000000.0,,,,,0.008048,,,,,,,,,,,,,,,,,,,900000.0,,,,,,,,,,,,,,,,,,,,,,,,,16762762.0,0.008048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000000.0,,,,,,,16762762.0,,,,,,11000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520473600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18400000.0,,,,,0.029693,,,,,,,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,16780780.0,0.029693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18400000.0,,,,,,,16780780.0,,,,,,18400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528422400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20800000.0,,,,,0.033855,,,,,,,,,,,,,,,,,,,3500000.0,,,,,,,,,,,,,,,,,,,,,,,,,16798798.0,0.033855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20800000.0,,,,,,,16798798.0,,,,,,20800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536371200,,,,,,,,,,,,,,,0.090743,,,,,16828828.0,,,64600000.0,,,,,,14400000.0,,,,,,,,,,,9400000.0,,,,,,16828828.0,9400000.0,,,,,,2100000.0,,,,,,,,,,,,,,,,,,,,,,9100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.090743,,,14400000.0,,,,,,,,,,,,,14400000.0,,,,,,,,,,,,,64600000.0,,,,,,,,,,,,,,,,,,,,,,,
544147200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11700000.0,,,,,0.009713,,,,,,,,,,,,,,,,,,,1100000.0,,,,,,,,,,,,,,,,,,,,,,,,,16828828.0,0.009713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11700000.0,,,,,,,16828828.0,,,,,,11700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552009600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18700000.0,,,,,0.024143,,,,,,,,,,,,,,,,,,,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,,16846846.0,0.024143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18700000.0,,,,,,,16846846.0,,,,,,18700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559958400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21200000.0,,,,,0.031913,,,,,,,,,,,,,,,,,,,3300000.0,,,,,,,,,,,,,,,,,,,,,,,,,16858858.0,0.031913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21200000.0,,,,,,,16858858.0,,,,,,21200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567907200,,,,,,,,,,,,,,,0.08547,,,,,16894894.0,,,65700000.0,,,,,,14100000.0,,,,,,,,,,,8900000.0,,,,,,16894894.0,8900000.0,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,8700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08547,,,14100000.0,,,,,,,,,,,,,14100000.0,,,,,,,,,,,,,65700000.0,,,,,,,,,,,,,,,,,,,,,,,
575769600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12900000.0,,,,,0.011655,,,,,,,,,,,,,,,,,,,1200000.0,,,,,,,,,,,,,,,,,,,,,,,,,16912912.0,0.011655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12900000.0,,,,,,,16912912.0,,,,,,12900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583632000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16200000.0,,,,,0.016928,,,,,,,,,,,,,,,,,,,1800000.0,,,,,,,,,,,,,,,,,,,,,,,,,16912912.0,0.016928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16200000.0,,,,,,,16912912.0,,,,,,16200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591580800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20500000.0,,,,,0.031913,,,,,,,,,,,,,,,,,,,3200000.0,,,,,,,,,,,,,,,,,,,,,,,,,16912912.0,0.031913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20500000.0,,,,,,,16912912.0,,,,,,20500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599529600,,,,,,,,,,,,,,,0.069375,,,,,16966966.0,,,62600000.0,,,,,,13000000.0,,,,,,,,,,,7200000.0,,,,,,16966966.0,7200000.0,,,,,,900000.0,,,,,,,,,,,,,,,,,,,,,,7100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069375,,,13000000.0,,,,,,,,,,,,,13000000.0,,,,,,,,,,,,,62600000.0,,,,,,,,,,,,,,,,,,,,,,,
607305600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800000.0,,,,,0.00222,,,,,,,,,,,,,,,,,,,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,16966966.0,0.00222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800000.0,,,,,,,16966966.0,,,,,,10800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615168000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14500000.0,,,,,0.013043,,,,,,,,,,,,,,,,,,,1300000.0,,,,,,,,,,,,,,,,,,,,,,,,,16966966.0,0.013043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14500000.0,,,,,,,16966966.0,,,,,,14500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623116800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17300000.0,,,,,0.01887,,,,,,,,,,,,,,,,,,,1900000.0,,,,,,,,,,,,,,,,,,,,,,,,,17003004.0,0.01887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17300000.0,,,,,,,17003004.0,,,,,,17300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631065600,,,,,,,,,,,,,,,0.041625,,,,,17045046.0,,,56000000.0,,,,,,13400000.0,,,,,,,,,,,4300000.0,,,,,,17045046.0,4300000.0,,,,,,900000.0,,,,,,,,,,,,,,,,,,,,,,4200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041625,,,13400000.0,,,,,,,,,,,,,13400000.0,,,,,,,,,,,,,56000000.0,,,,,,,,,,,,,,,,,,,,,,,
638841600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12300000.0,,,,,0.00444,,,,,,,,,,500000.0,,,,500000.0,,,,,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,17045046.0,0.00444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12300000.0,,,,,,,17045046.0,,,,,,12300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646704000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15900000.0,,,,,0.012765,,,,,,,,,,1300000.0,,,,1300000.0,,,,,1300000.0,,,,,,,,,,,,,,,,,,,,,,,,,17045046.0,0.012765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15900000.0,,,,,,,17045046.0,,,,,,15900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654652800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26500000.0,,,,,0.057443,,,,,,,,,,5900000.0,,,,5900000.0,,,,,5900000.0,,,,,,,,,,,,,,,,,,,,,,,,,17045046.0,0.057443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26500000.0,,,,,,,17045046.0,,,,,,26500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662601600,,,,,,,,,,,,,,,0.08325,,,,,17045046.0,,,70500000.0,,,,,,15800000.0,,,,,,,,,,,8500000.0,,,,800000.0,,17045046.0,8500000.0,800000.0,,,,,800000.0,,,,,,,,,,,,,,,,,,,,,,8500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08325,,,15800000.0,,,,,,,,,,,,,15800000.0,,,,,,,,,,,,,70500000.0,,,,,,,,,,,,,,,,,,,,,,,
