date,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,annualTotalNonCurrentAssets,quarterlyPurchaseOfBusiness,annualNetPPE,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,trailingGrossProfit,annualOperatingCashFlow,annualGrossProfit,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,trailingRepaymentOfDebt,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyPretaxIncome,annualChangeInInventory,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherNonCurrentLiabilities,trailingOtherNonCashItems,annualBeginningCashPosition,annualPurchaseOfBusiness,trailingOtherIncomeExpense,quarterlyNetOtherFinancingCharges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualIncomeTaxPayable,annualNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingCashFlow,trailingInvestingCashFlow,quarterlySaleOfInvestment,trailingDeferredIncomeTax,annualInvestingCashFlow,annualDeferredIncomeTax,quarterlyDilutedEPS,annualCapitalExpenditure,annualAccumulatedDepreciation,annualBasicEPS,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,trailingPurchaseOfInvestment,quarterlyCommonStockIssuance,trailingCapitalExpenditure,quarterlyAccountsPayable,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,trailingOperatingExpense,trailingBeginningCashPosition,quarterlyNonCurrentDeferredRevenue,quarterlyDilutedAverageShares,annualChangesInAccountReceivables,annualNonCurrentDeferredRevenue,annualStockBasedCompensation,quarterlyNetPPE,trailingStockBasedCompensation,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,trailingInterestExpense,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualInventory,quarterlyEbitda,trailingChangeInInventory,annualChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,annualRepaymentOfDebt,annualCapitalStock,annualTotalRevenue,trailingChangesInAccountReceivables,trailingChangeInWorkingCapital,annualInterestExpense,quarterlyCurrentAssets,annualCommonStockIssuance,annualFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,trailingFreeCashFlow,annualOtherShortTermInvestments,annualAccountsPayable,annualTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,trailingTotalRevenue,trailingCostOfRevenue,quarterlySellingGeneralAndAdministration,annualChangeInWorkingCapital,annualDilutedEPS,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualOtherCurrentAssets,annualOperatingIncome,annualEndCashPosition,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualBasicAverageShares,quarterlyTotalNonCurrentAssets,trailingNetIncome,trailingEndCashPosition,annualNetOtherInvestingChanges,quarterlyTotalRevenue,trailingPretaxIncome,annualCashAndCashEquivalents,trailingTaxProvision,quarterlyPurchaseOfInvestment,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualPretaxIncome,quarterlyFreeCashFlow,annualCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualInvestmentsAndAdvances,quarterlyTotalAssets,annualCashDividendsPaid,annualOtherNonCurrentAssets,trailingSaleOfInvestment,annualSaleOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualSellingGeneralAndAdministration,annualCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualStockholdersEquity,annualOtherNonCashItems,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyInventory,annualRetainedEarnings,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyAccountsReceivable,annualTotalAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,annualTaxProvision,annualDilutedAverageShares,annualDepreciationAndAmortization,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,quarterlyGoodwill,annualCurrentLiabilities,annualCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyBasicAverageShares,quarterlyCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,trailingBasicAverageShares,quarterlyChangesInAccountReceivables,quarterlyStockBasedCompensation,trailingCommonStockIssuance,annualResearchAndDevelopment,trailingPurchaseOfBusiness,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyDeferredIncomeTax,trailingChangeInAccountPayable,trailingResearchAndDevelopment,trailingDilutedAverageShares
1985-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,13801600000.0,,,,,,,,,,,,1116171704.0,,,,,,,,,,,,,13801600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13801600000.0,,,,,,,,,,,,,,,,,,,,,,,698700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116171704.0,,0.62,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,11630000000.0,,,,,,,,,,,,1135966040.0,,,,,,,,,,,,,11630000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11630000000.0,,,,,,,,,,,,,,,,,,,,,,,313100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135966040.0,,0.29,,,,,,,,,,,,,,,,,,,,
1985-12-31,,,17589400000.0,,12421400000.0,1347200000.0,5903800000.0,,0.0,8339000000.0,5122500000.0,5903800000.0,,5903800000.0,,,,,,,,24305900000.0,1274600000.0,-11884500000.0,,,,,,3186300000.0,,0.0,,,,,,5609300000.0,,,1214100000.0,,24305900000.0,,,,,0.0,,,,-11884500000.0,2.29,,-35948100000.0,11502800000.0,,,,,,,,,,,,,,,12421400000.0,,,,,,11502800000.0,,4601900000.0,-35948100000.0,,,,,,52774400000.0,,,446600000.0,14014200000.0,,0.0,,,12777400000.0,,,,,19335000000.0,,6557600000.0,,,,,,2.22,,,656600000.0,2729700000.0,0.0,12112600000.0,6557600000.0,1098427948.0,17589400000.0,,,,14096600000.0,,5903800000.0,,,2515400000.0,44435400000.0,3618500000.0,,,19335000000.0,2515400000.0,1274600000.0,,,,31603600000.0,,5168000000.0,,,5168000000.0,,720300000.0,3216500000.0,14014200000.0,3186300000.0,2157200000.0,12268600000.0,,,656600000.0,,4601900000.0,12112600000.0,,,,,31603600000.0,,,1103100000.0,1133063063.0,,2515400000.0,,,12777400000.0,,12268600000.0,1214100000.0,,,,,,2157200000.0,,,,,,,,,,,,,,,,,,,
1986-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,14785100000.0,,,,,,,,,,,,1116171704.0,,,,,,,,,,,,,14785100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14785100000.0,,,,,,,,,,,,,,,,,,,,,,,728300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116171704.0,,0.68,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,17302500000.0,,,,,,,,,,,,1116731770.0,,,,,,,,,,,,,17302500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17302500000.0,,,,,,,,,,,,,,,,,,,,,,,1078400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116731770.0,,1.01,,,,,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,14365800000.0,,,,,,,,,,,,986244373.0,,,,,,,,,,,,,14365800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14365800000.0,,,,,,,,,,,,,,,,,,,,,,,693300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986244373.0,,0.66,,,,,,,,,,,,,,,,,,,,
1986-12-31,,,19475000000.0,,13200700000.0,1495700000.0,8553100000.0,,0.0,10849600000.0,7016100000.0,8553100000.0,,8553100000.0,,,,,,,,26387900000.0,1304000000.0,-13187200000.0,,,,,,3982700000.0,,0.0,,,,,,6793100000.0,,,1328100000.0,,26387900000.0,,,,,0.0,,,,-13187200000.0,3.03,,-42396900000.0,14321600000.0,,,,,,,,,,,,,,,13200700000.0,,,,,,14321600000.0,,5792600000.0,-42396900000.0,,,,,,62715800000.0,,,482900000.0,18458000000.0,,0.0,,,15625600000.0,,,,,23073500000.0,,7447900000.0,,,,,,3.03,,,624500000.0,4056500000.0,0.0,14167200000.0,7447900000.0,1084191419.0,19475000000.0,,,,16262400000.0,,8553100000.0,,,3285100000.0,51866200000.0,5059300000.0,,,23073500000.0,3285100000.0,1304000000.0,,,,37933000000.0,,6274300000.0,,,6274300000.0,,785100000.0,3833500000.0,18458000000.0,3982700000.0,2137100000.0,14859500000.0,,,624500000.0,,5792600000.0,14167200000.0,,,,,37933000000.0,,,1774200000.0,1084191419.0,,3285100000.0,,,15625600000.0,,14859500000.0,1328100000.0,,,,,,2137100000.0,,,,,,,,,,,,,,,,,,,
1987-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,,18142600000.0,,,,,,,,,,,,971082584.0,,,,,,,,,,,,,18142600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18142600000.0,,,,,,,,,,,,,,,,,,,,,,,1491600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971082584.0,,1.44,,,,,,,,,,,,,,,,,,,,
1987-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,,,19496100000.0,,,,,,,,,,,,1073726696.0,,,,,,,,,,,,,19496100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19496100000.0,,,,,,,,,,,,,,,,,,,,,,,1498200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1073726696.0,,1.46,,,,,,,,,,,,,,,,,,,,
1987-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,15246800000.0,,,,,,,,,,,,1054924478.0,,,,,,,,,,,,,15246800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15246800000.0,,,,,,,,,,,,,,,,,,,,,,,703200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054924478.0,,0.69,,,,,,,,,,,,,,,,,,,,
1987-12-31,,,22974200000.0,,14033500000.0,1619400000.0,10097000000.0,,0.0,13148300000.0,9368600000.0,10097000000.0,,10097000000.0,,,,,,,,28600900000.0,1882700000.0,-14567400000.0,,,,,,4563000000.0,,0.0,,,,,,6947100000.0,,,2354700000.0,,28600900000.0,,,,,0.0,,,,-14567400000.0,4.52,,-46684300000.0,15910700000.0,,,,,,,,,,,,,,,14033500000.0,,,,,,15910700000.0,,6321300000.0,-46684300000.0,,,,,,71643400000.0,,,440600000.0,21981500000.0,,0.0,,,17793400000.0,,,,,26463000000.0,,8669600000.0,,,,,,4.45,,,1161600000.0,6201200000.0,0.0,16717500000.0,8669600000.0,1023274336.0,22974200000.0,,,,18757900000.0,,10097000000.0,,,4625200000.0,58495100000.0,7351200000.0,,,26463000000.0,4625200000.0,1882700000.0,,,,44955700000.0,,8940700000.0,,,8940700000.0,,932200000.0,3779700000.0,21981500000.0,4563000000.0,1751900000.0,18492700000.0,,,1161600000.0,,6321300000.0,16717500000.0,,,,,44955700000.0,,,2726000000.0,1039370787.0,,4625200000.0,,,17793400000.0,,18492700000.0,2354700000.0,,,,,,1751900000.0,,,,,,,,,,,,,,,,,,,
1988-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,,,,,20741700000.0,,,,,,,,,,,,1054924478.0,,,,,,,,,,,,,20741700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20741700000.0,,,,,,,,,,,,,,,,,,,,,,,1623200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054924478.0,,1.66,,,,,,,,,,,,,,,,,,,,
1988-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,22388800000.0,,,,,,,,,,,,974514990.0,,,,,,,,,,,,,22388800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22388800000.0,,,,,,,,,,,,,,,,,,,,,,,1662800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974514990.0,,1.72,,,,,,,,,,,,,,,,,,,,
