,annualOtherNonCurrentLiabilities,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,quarterlyOperatingExpense,trailingGrossProfit,quarterlyChangeInInventory,annualRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,annualBeginningCashPosition,trailingOtherIncomeExpense,quarterlyRepaymentOfDebt,annualDilutedAverageShares,annualCashFlowFromContinuingFinancingActivities,trailingCashFlowFromContinuingFinancingActivities,annualSellingGeneralAndAdministration,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,trailingChangeInCashSupplementalAsReported,quarterlyBasicAverageShares,quarterlyCapitalStock,annualOtherIncomeExpense,annualTotalNonCurrentAssets,quarterlyBeginningCashPosition,annualGrossPPE,trailingRepaymentOfDebt,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,trailingNetOtherFinancingCharges,trailingStockBasedCompensation,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,annualNetOtherFinancingCharges,annualNonCurrentDeferredTaxesLiabilities,annualChangeInInventory,annualStockBasedCompensation,annualInvestingCashFlow,annualCapitalExpenditure,trailingDeferredIncomeTax,quarterlyAccumulatedDepreciation,annualOperatingExpense,trailingSellingGeneralAndAdministration,annualCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyOtherCurrentLiabilities,annualBasicAverageShares,annualTotalRevenue,trailingCostOfRevenue,annualChangesInAccountReceivables,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,trailingBeginningCashPosition,annualDeferredIncomeTax,trailingFreeCashFlow,annualInterestExpense,quarterlyGrossPPE,quarterlyCurrentAssets,trailingCashDividendsPaid,quarterlyCurrentLiabilities,trailingNetIncome,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyEbitda,quarterlyTaxProvision,annualGrossProfit,annualInventory,quarterlyPretaxIncome,annualAccumulatedDepreciation,quarterlyNetPPE,trailingChangeInInventory,quarterlyStockBasedCompensation,trailingOperatingExpense,quarterlyCommonStockIssuance,annualChangeInWorkingCapital,quarterlyFreeCashFlow,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,annualTotalLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCostOfRevenue,annualFreeCashFlow,annualCommonStockIssuance,annualGoodwill,quarterlyTotalAssets,quarterlyDilutedAverageShares,trailingPretaxIncome,annualBasicEPS,quarterlyTotalNonCurrentAssets,annualRetainedEarnings,annualNetIncome,trailingChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,quarterlyLongTermDebt,annualPurchaseOfInvestment,annualOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,trailingOperatingIncome,annualCostOfRevenue,annualLongTermDebt,annualCashDividendsPaid,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,annualEndCashPosition,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,annualTaxProvision,annualPretaxIncome,annualTotalAssets,trailingTaxProvision,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyBasicEPS,quarterlyPurchaseOfInvestment,annualOperatingIncome,annualAccountsPayable,trailingInvestingCashFlow,annualOtherNonCashItems,quarterlyInterestExpense,quarterlyCurrentDebt,annualStockholdersEquity,annualCashAndCashEquivalents,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,annualDepreciationAndAmortization,annualInvestmentsAndAdvances,annualIncomeTaxPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,trailingRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,quarterlyInventory,quarterlyGrossProfit,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,annualDilutedEPS,annualCurrentAssets,trailingOperatingCashFlow,annualAccountsReceivable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyCashDividendsPaid,annualOtherIntangibleAssets,annualRepurchaseOfCapitalStock,annualCurrentLiabilities,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualNetPPE,annualEbitda,annualNonCurrentDeferredRevenue,trailingInterestExpense,annualSaleOfInvestment,trailingDilutedAverageShares,annualResearchAndDevelopment,trailingBasicEPS,trailingCommonStockIssuance,trailingChangeInAccountPayable,quarterlyResearchAndDevelopment,trailingNetOtherInvestingChanges,trailingBasicAverageShares,trailingResearchAndDevelopment,annualOtherShortTermInvestments,trailingSaleOfInvestment,quarterlyCurrentDeferredRevenue,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,trailingOtherNonCashItems,annualCurrentDeferredRevenue,quarterlySaleOfInvestment,trailingPurchaseOfBusiness,trailingDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
488937600,,,,,,,1.017382,,,,,,,,,,,,,,,,,,,,,13412613.0,,,,,,,,,,,,387117537.499633,,,,,,387117537.499633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387117537.499633,,,,,,,,,,,,,,,,,,,,,,,,13412613.0,,,,,,,,,,,,,,,,,,13761519.945989,,,,,,,,,,1.017382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496886400,,,,,,,0.957407,,,,,,,,,,,,,,,,,,,,,13412613.0,,,,,,,,,,,,383620109.885299,,,,,,383620109.885299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383620109.885299,,,,,,,,,,,,,,,,,,,,,,,,13412613.0,,,,,,,,,,,,,,,,,,14033659.48691,,,,,,,,,,0.957407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504835200,109151906.82363,,569870999.391706,64230544.244463,194192346.942427,,,2601237.342112,128761231.616989,,,,,,,128761231.616989,0.0,,,12736986.0,,,121357711.382259,,,6002854.689233,,,,3901855.655348,784773194.976205,,1312824307.439081,,,128761231.616989,,,68732685.440298,-1027706390.27854,,,,,,370658594.871924,,,161376741.689627,,,0.0,,,-552362673.632232,174883164.561491,,,,,194192346.942427,12736986.0,1523924694.600494,,,,,,,,21210086.234658,1312824307.439081,502839122.624969,,249818799.871185,,326555291.80234,,,,-1027706390.27854,,300442874.011522,175483450.101979,,-552362673.632232,760461633.806849,,,,,,,,467922518.338283,,,717741318.209468,,,0.0,,,1287612317.601174,,,5.042837,784773194.976205,326555291.80234,68732685.440298,,,197393869.825026,,6002854.689233,109151906.82363,,1223481820.588972,197393869.825026,,,,20015838.550066,0.0,55626452.928758,,39318697.534619,108051382.974917,1287612317.601174,,,,,,125559709.45003,,,,,55626452.928758,569870999.391706,128761231.616989,,,,,,,,,,,175483450.101979,,,21710323.827244,,717741318.209468,161376741.689627,5.042837,502839122.624969,,,467922518.338283,,,2601237.342112,,249818799.871185,0.0,21710323.827244,760461633.806849,179085163.344903,,,,,,,,,,,,,,,,,,,,,,,,
512611200,,,,,,,1.550726,,,,,,,,,,,,,,,,,,,,,13412613.0,,,,,,,,,,,,400834124.468441,,,,,,400834124.468441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400834124.468441,,,,,,,,,,,,,,,,,,,,,,,,13412613.0,,,,,,,,,,,,,,,,,,22290675.907657,,,,,,,,,,1.550726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520473600,,,,,,,1.378851,,,,,,,,,,,,,,,,,,,,,13466612.0,,,,,,,,,,,,413814521.858809,,,,,,413814521.858809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413814521.858809,,,,,,,,,,,,,,,,,,,,,,,,13466612.0,,,,,,,,,,,,,,,,,,20970330.818507,,,,,,,,,,1.378851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528422400,,,,,,,1.562827,,,,,,,,,,,,,,,,,,,,,13466612.0,,,,,,,,,,,,421870373.655856,,,,,,421870373.655856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421870373.655856,,,,,,,,,,,,,,,,,,,,,,,,13466612.0,,,,,,,,,,,,,,,,,,24126900.913766,,,,,,,,,,1.562827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536371200,199354742.398098,,707604200.803329,90515664.196743,241308352.304859,,,11114201.818366,162407530.12485,,,,,,,162407530.12485,0.0,,,13818324.0,,,130666970.69443,,,5707292.31617,,,,-3604606.093122,1068565449.58891,,1630383359.192611,,,162407530.12485,,,98926411.264011,-1058750651.86262,,,,,,444870726.992708,,,203159604.425562,,,0.0,,,-600567425.286023,190443355.132462,,,,,241308352.304859,13818324.0,1686755393.471862,,,,,,,,10813818.279367,1630383359.192611,577037357.713557,,302486527.558256,,403315369.835999,,,,-1058750651.86262,,373577369.748996,196751415.976683,,-600567425.286023,1029815933.906588,,,,,,,,635512078.940881,,,937998606.499137,,,0.0,,,1645602807.302467,,,6.550408,1068565449.58891,403315369.835999,98926411.264011,,,232997732.117222,,5707292.31617,199354742.398098,,1313178023.722866,232997732.117222,,,,31250955.282705,0.0,61178175.253397,,69388667.11135,168315078.375361,1645602807.302467,,,,,,183134014.616534,,,,,61178175.253397,707604200.803329,162407530.12485,,,,,,,,,,,196751415.976683,,,27635313.863956,,937998606.499137,203159604.425562,6.550408,577037357.713557,,,635512078.940881,,,11114201.818366,,302486527.558256,0.0,27635313.863956,1029815933.906588,242910399.054565,,,,,,,,,,,,,,,,,,,,,,,,
544147200,,,,,,,2.20951,,,,,,,,,,,,,,,,,,,,,13466612.0,,,,,,,,,,,,460181768.448322,,,,,,460181768.448322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460181768.448322,,,,,,,,,,,,,,,,,,,,,,,,13466612.0,,,,,,,,,,,,,,,,,,33494871.423673,,,,,,,,,,2.20951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552009600,,,,,,,2.09345,,,,,,,,,,,,,,,,,,,,,14320609.0,,,,,,,,,,,,492512640.567367,,,,,,492512640.567367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492512640.567367,,,,,,,,,,,,,,,,,,,,,,,,14320609.0,,,,,,,,,,,,,,,,,,33020393.888506,,,,,,,,,,2.09345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559958400,,,,,,,1.674228,,,,,,,,,,,,,,,,,,,,,14320609.0,,,,,,,,,,,,495939640.291606,,,,,,495939640.291606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495939640.291606,,,,,,,,,,,,,,,,,,,,,,,,14320609.0,,,,,,,,,,,,,,,,,,26643034.744388,,,,,,,,,,1.674228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567907200,235462539.254926,,827419762.931034,114730472.598522,290977283.713054,,,120031880.387931,45412061.268473,,,,,,,45412061.268473,0.0,,,14353985.0,,,175546624.846059,,,12303268.165025,,,,-9202443.811576,1634033999.384236,,2188281207.666256,,,45412061.268473,,,123932916.410099,-1234827040.172955,,,,,,520139078.207586,,,277873803.109606,,,0.0,,,-692784003.232759,254067479.987685,,,,,290977283.713054,14353985.0,1976624991.533251,,,,,,,,8502258.312808,2188281207.666256,563449652.093596,,296378718.442118,,509535332.512315,,,,-1234827040.172955,,475726353.140394,244765009.236453,,-692784003.232759,1495497204.433498,,,,,,,,1073685170.874384,,,1370063889.316502,,,0.0,,,2197483651.477833,,,7.992935,1634033999.384236,509535332.512315,123932916.410099,,,560348828.509852,,12303268.165025,235462539.254926,,1500898638.392857,560348828.509852,,,,30233253.874771,0.0,5401434.729064,,80021253.848522,203954170.258621,2197483651.477833,,,,,,221658873.152709,,,,,5401434.729064,827419762.931034,45412061.268473,,,,,,,,,,,244765009.236453,,,18504914.562808,,1370063889.316502,277873803.109606,7.992935,563449652.093596,,,1073685170.874384,,,120031880.387931,,296378718.442118,0.0,18504914.562808,1495497204.433498,300179728.294335,,,,,,,,,,,,,,,,,,,,,,,,
575769600,,,,,,,1.914151,,,,,,,,,,,,,,,,,,,,,14332109.0,,,,,,,,,,,,544496068.024789,,,,,,544496068.024789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544496068.024789,,,,,,,,,,,,,,,,,,,,,,,,14332109.0,,,,,,,,,,,,,,,,,,29983264.024854,,,,,,,,,,1.914151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
