,quarterlyFreeCashFlow,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingChangeInWorkingCapital,quarterlyRetainedEarnings,annualRetainedEarnings,trailingCommonStockIssuance,trailingFreeCashFlow,quarterlyBasicEPS,trailingNetIncome,quarterlyCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,annualTotalAssets,quarterlyCurrentLiabilities,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyGoodwill,annualNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,annualOtherCurrentAssets,annualEndCashPosition,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualNonCurrentDeferredRevenue,annualCostOfRevenue,annualCurrentDebt,quarterlyTotalAssets,annualOperatingIncome,trailingTotalRevenue,annualNetIncome,annualLongTermDebt,quarterlyTotalNonCurrentAssets,annualFreeCashFlow,trailingEndCashPosition,annualAccountsPayable,trailingInvestingCashFlow,quarterlyDepreciationAndAmortization,trailingTaxProvision,annualStockholdersEquity,annualOtherNonCashItems,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,annualRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,annualCurrentAccruedExpenses,annualTaxProvision,annualDepreciationAndAmortization,annualCashAndCashEquivalents,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,annualCurrentAssets,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyInventory,quarterlyChangeInInventory,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualCurrentLiabilities,annualBasicEPS,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualNetPPE,quarterlyCashDividendsPaid,annualCommonStockIssuance,annualOperatingCashFlow,quarterlyDilutedAverageShares,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualNetIncomeCommonStockholders,annualRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualEbitda,trailingRepaymentOfDebt,annualOtherNonCurrentLiabilities,annualChangeInCashSupplementalAsReported,quarterlyPretaxIncome,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,trailingGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,annualBeginningCashPosition,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,trailingCapitalExpenditure,quarterlyOtherCurrentAssets,trailingOtherIncomeExpense,quarterlyChangesInAccountReceivables,annualDilutedEPS,annualOtherIncomeExpense,quarterlyOtherIntangibleAssets,trailingChangeInCashSupplementalAsReported,annualTotalNonCurrentAssets,annualDilutedAverageShares,quarterlyCurrentDebt,annualGrossPPE,trailingCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,annualSellingGeneralAndAdministration,trailingDepreciationAndAmortization,trailingNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,annualPurchaseOfBusiness,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyGrossPPE,trailingStockBasedCompensation,annualChangeInInventory,annualCapitalExpenditure,quarterlyBasicAverageShares,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,trailingDeferredIncomeTax,annualCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyCapitalExpenditure,trailingNetOtherFinancingCharges,annualInvestingCashFlow,quarterlyOperatingCashFlow,annualBasicAverageShares,annualChangesInAccountReceivables,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,trailingCostOfRevenue,annualInterestExpense,trailingBeginningCashPosition,quarterlyOtherNonCashItems,trailingCashDividendsPaid,annualTotalRevenue,annualCapitalStock,trailingOperatingExpense,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepurchaseOfCapitalStock,annualGrossProfit,annualNetOtherFinancingCharges,quarterlyStockBasedCompensation,annualStockBasedCompensation,annualGoodwill,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualInventory,quarterlyEbitda,trailingInterestExpense,quarterlyPurchaseOfInvestment,annualSaleOfInvestment,trailingSellingGeneralAndAdministration,trailingDilutedAverageShares,annualInvestmentsAndAdvances,annualResearchAndDevelopment,annualPurchaseOfInvestment,trailingBasicEPS,annualIncomeTaxPayable,trailingChangeInAccountPayable,quarterlyResearchAndDevelopment,trailingBasicAverageShares,trailingChangeInInventory,trailingResearchAndDevelopment,annualOtherShortTermInvestments,trailingSaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,trailingOtherNonCashItems,annualCurrentDeferredRevenue,quarterlySaleOfInvestment,trailingPurchaseOfBusiness,trailingDilutedEPS,quarterlyOtherShortTermInvestments
478396800,,,,,,,,,,0.09,,,,,,,,,,,,,,,,15600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15600000.0,15600000.0,,,,,,,,,,,,,,,,,,,,,,,173333333.0,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513700000.0,,,,,,,,,,,,,173333333.0,,,,,513700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,513700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486345600,,,,770400000.0,,466800000.0,466800000.0,,,,,423100000.0,,1899500000.0,316800000.0,,1087200000.0,,,,,3100000.0,61600000.0,,83400000.0,41300000.0,,,434300000.0,44700000.0,1899500000.0,136800000.0,,76100000.0,607500000.0,1476400000.0,,,,,,,812300000.0,,130400000.0,1087200000.0,,,,,,,7300000.0,,12200000.0,41900000.0,41900000.0,607500000.0,423100000.0,,,159800000.0,,,56500000.0,,130400000.0,,316800000.0,0.41,,,,,,1346000000.0,,,,,,770400000.0,75500000.0,,,,309100000.0,,3100000.0,,,,,,12200000.0,,,812300000.0,272100000.0,,-447000000.0,,12200000.0,12200000.0,,61600000.0,,,0.41,9200000.0,,,1476400000.0,184146341.0,44700000.0,1793000000.0,,,1287300000.0,,,,-1301200000.0,76100000.0,,,,,,,,1793000000.0,,,,,1459600000.0,159800000.0,,,592700000.0,,,,,184146341.0,,272100000.0,,,62600000.0,,,,2030700000.0,,,,1346000000.0,,1596400000.0,,,,,-447000000.0,,56500000.0,-1301200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494294400,,,,,,,,,,0.17,,,,,,,,,,,,,,,,31600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31600000.0,31600000.0,,,,,,,,,,,,,,,,,,,,,,,185882353.0,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589300000.0,,,,,,,,,,,,,185882353.0,,,,,589300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,589300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502156800,,,,,,,,,,0.18,,,,,,,,,,,,,,,,34900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34900000.0,34900000.0,,,,,,,,,,,,,,,,,,,,,,,193888889.0,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625500000.0,,,,,,,,,,,,,193888889.0,,,,,625500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,625500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509932800,,,,,,,,,,0.13,,,,,,,,,,,,,,,,26300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26300000.0,26300000.0,,,,,,,,,,,,,,,,,,,,,,,202307692.0,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668100000.0,,,,,,,,,,,,,202307692.0,,,,,668100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,668100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517881600,,,,752800000.0,,598200000.0,598200000.0,,,,,613300000.0,,2276400000.0,431900000.0,,1184700000.0,,,,,168300000.0,32000000.0,,164200000.0,38900000.0,,,679300000.0,73000000.0,2276400000.0,212100000.0,,131800000.0,561700000.0,1663100000.0,,,,,,,1091700000.0,,111300000.0,1184700000.0,,,,,,,32400000.0,,185000000.0,38900000.0,38900000.0,561700000.0,613300000.0,,,22800000.0,,,49300000.0,,111300000.0,,431900000.0,0.66,,,,,,1551800000.0,,,,,,752800000.0,131800000.0,,,,424500000.0,,168300000.0,,,,,,185000000.0,,,1091700000.0,358900000.0,,-650800000.0,,185000000.0,185000000.0,,32000000.0,,,0.66,17600000.0,,,1663100000.0,199696970.0,73000000.0,2202600000.0,,,1502400000.0,,,,-1670900000.0,131800000.0,,,,,,,,2202600000.0,,,,,1714800000.0,22800000.0,,,723200000.0,,,,,199696970.0,,358900000.0,,,65500000.0,,,,2606200000.0,,,,1551800000.0,,1926900000.0,,,,,-650800000.0,,49300000.0,-1670900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525830400,,,,,,,,,,0.12,,,,,,,,,,,,,,,,24800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24800000.0,52900000.0,,,,,,,,,,,,,,,,,,,,,,,206666667.0,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726000000.0,,,,,,,,,,,,,206666667.0,,,,,726000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,726000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533692800,,,,,,,,,,-0.8,,,,,,,,,,,,,,,,-164900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-164900000.0,34500000.0,,,,,,,,,,,,,,,,,,,,,,,206125000.0,,,,,,,,,,,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783700000.0,,,,,,,,,,,,,206125000.0,,,,,783700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,783700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541468800,,,,,,,,,,0.18,,,,,,,,,,,,,,,,35900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35900000.0,35900000.0,,,,,,,,,,,,,,,,,,,,,,,199444444.0,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798900000.0,,,,,,,,,,,,,199444444.0,,,,,798900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,798900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549417600,,,,916900000.0,,536400000.0,536400000.0,,,,,507500000.0,,2499500000.0,503700000.0,,1420600000.0,,,,,114300000.0,46600000.0,,311900000.0,38700000.0,,,966200000.0,60400000.0,2499500000.0,364800000.0,,-65500000.0,744900000.0,1992000000.0,,,,,,,1078900000.0,,130600000.0,1420600000.0,,,,,,,144900000.0,,21700000.0,38700000.0,43700000.0,744900000.0,507500000.0,,,57700000.0,,,39900000.0,,130600000.0,,503700000.0,-0.31,,,,,,1861400000.0,,,,,,916900000.0,-65500000.0,,,,604100000.0,,114300000.0,,,,,,21700000.0,,,1078900000.0,443300000.0,,-850600000.0,,21700000.0,21700000.0,,46600000.0,,,-0.31,-6200000.0,,,1992000000.0,211290323.0,60400000.0,2712000000.0,,,1608000000.0,,,,-1943800000.0,167000000.0,,,,,,,,2712000000.0,,,,,1847300000.0,57700000.0,,,869700000.0,,,,,211290323.0,,443300000.0,,,46700000.0,,,,3178300000.0,,,,1861400000.0,,2212100000.0,,,,,-850600000.0,,39900000.0,-1943800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557366400,,,,,,,,,,0.25,,,,,,,,,,,,,,,,52400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52400000.0,52400000.0,,,,,,,,,,,,,,,,,,,,,,,209600000.0,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909400000.0,,,,,,,,,,,,,209600000.0,,,,,909400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,909400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565228800,,,,,,,,,,0.21,,,,,,,,,,,,,,,,44000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000000.0,44000000.0,,,,,,,,,,,,,,,,,,,,,,,209523810.0,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943600000.0,,,,,,,,,,,,,209523810.0,,,,,943600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,943600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573091200,,,,,,,,,,0.18,,,,,,,,,,,,,,,,36500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36500000.0,36500000.0,,,,,,,,,,,,,,,,,,,,,,,202777778.0,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977200000.0,,,,,,,,,,,,,202777778.0,,,,,977200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,977200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581040000,,,,1105800000.0,,726000000.0,726000000.0,,,,,630000000.0,,3008500000.0,572000000.0,,1677800000.0,,,,,267100000.0,35000000.0,,302300000.0,54800000.0,,,2164100000.0,69100000.0,3008500000.0,379400000.0,,187700000.0,838700000.0,2378500000.0,,,,,,,1330700000.0,,146600000.0,1677800000.0,,,,,,,114600000.0,,54900000.0,54800000.0,54800000.0,838700000.0,630000000.0,,,,,,48800000.0,,146600000.0,,572000000.0,0.89,,,,,,2231900000.0,,,,,,1105800000.0,187700000.0,,,,669000000.0,,267100000.0,,,,,,54900000.0,,,1330700000.0,502900000.0,,-1117200000.0,,54900000.0,54900000.0,,35000000.0,,,0.89,500000.0,,,2378500000.0,210898876.0,69100000.0,3349100000.0,,,1049700000.0,,,,-2450800000.0,187700000.0,,,,,,,,3349100000.0,,,,,1339300000.0,,,,1052600000.0,,,,,210898876.0,,502900000.0,,,77600000.0,,,,3882800000.0,,,,2231900000.0,,1718700000.0,,,,,-1117200000.0,,48800000.0,-2450800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588988800,,,,,,,,,,0.23,,,,,,,,,,,,,,,,48200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48200000.0,48200000.0,,,,,,,,,,,,,,,,,,,,,,,209565217.0,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078500000.0,,,,,,,,,,,,,209565217.0,,,,,1078500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
