date,annualCurrentDeferredRevenue,trailingCostOfRevenue,annualEndCashPosition,annualCurrentDebt,trailingChangeInAccountPayable,annualTotalRevenue,quarterlyNetIncomeCommonStockholders,annualCostOfRevenue,trailingOperatingIncome,annualOtherCurrentAssets,trailingTotalRevenue,annualOperatingIncome,quarterlyEbitda,quarterlyCashDividendsPaid,annualNetOtherFinancingCharges,quarterlyDilutedEPS,quarterlyStockBasedCompensation,annualFreeCashFlow,quarterlyEndCashPosition,annualAccountsPayable,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingEndCashPosition,annualChangeInAccountPayable,trailingTaxProvision,trailingNetIncomeContinuousOperations,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,quarterlyDeferredIncomeTax,annualRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyIncomeTaxPayable,annualOperatingExpense,quarterlyCurrentAssets,annualDilutedEPS,trailingNetIncome,annualDilutedAverageShares,annualCashAndCashEquivalents,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,annualNetOtherInvestingChanges,trailingPretaxIncome,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,annualAccountsReceivable,annualCurrentAssets,quarterlyOtherCurrentAssets,annualLongTermDebt,annualNetIncome,annualBeginningCashPosition,quarterlyChangeInInventory,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyAccountsReceivable,annualOtherNonCurrentAssets,quarterlyCostOfRevenue,annualSaleOfInvestment,annualSellingGeneralAndAdministration,annualNetIncomeCommonStockholders,annualBasicAverageShares,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherNonCashItems,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyNetIncome,quarterlyGoodwill,trailingCommonStockIssuance,annualRetainedEarnings,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,annualTotalAssets,trailingNetIncomeCommonStockholders,annualTaxProvision,annualDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyNetIncomeContinuousOperations,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,trailingOperatingCashFlow,quarterlyOtherIncomeExpense,quarterlyNetPPE,trailingOtherIncomeExpense,annualCapitalStock,quarterlyInventory,quarterlyTaxProvision,annualTotalNonCurrentAssets,quarterlyOperatingExpense,annualGrossProfit,annualOtherIncomeExpense,annualCurrentLiabilities,annualStockBasedCompensation,quarterlyBasicEPS,quarterlyOtherIntangibleAssets,annualNetPPE,annualOperatingCashFlow,annualInventory,trailingDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyInterestExpense,trailingChangeInInventory,trailingCashFlowFromContinuingFinancingActivities,annualOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,trailingPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,annualEbitda,annualNonCurrentDeferredTaxesLiabilities,quarterlyCommonStockIssuance,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,quarterlyPretaxIncome,annualChangeInInventory,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOperatingCashFlow,annualInterestExpense,annualChangesInAccountReceivables,trailingBeginningCashPosition,quarterlyOtherCurrentLiabilities,trailingCashDividendsPaid,trailingInterestExpense,annualPretaxIncome,trailingChangesInAccountReceivables,quarterlyTotalAssets,trailingCapitalExpenditure,quarterlyChangesInAccountReceivables,trailingOperatingExpense,quarterlyTotalNonCurrentAssets,annualGrossPPE,trailingInvestingCashFlow,trailingChangeInCashSupplementalAsReported,annualGoodwill,annualAccumulatedDepreciation,annualIncomeTaxPayable,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualRepaymentOfDebt,quarterlyAccountsPayable,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,annualBasicEPS,trailingStockBasedCompensation,trailingGrossProfit,quarterlyDilutedAverageShares,trailingDeferredIncomeTax,annualCashFlowFromContinuingFinancingActivities,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualInvestingCashFlow,quarterlyInvestmentsAndAdvances,trailingOtherNonCashItems,quarterlyPurchaseOfInvestment,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingResearchAndDevelopment,trailingSellingGeneralAndAdministration,trailingSaleOfInvestment,trailingDilutedEPS,trailingPurchaseOfInvestment,annualResearchAndDevelopment,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,annualPurchaseOfInvestment,quarterlyNonCurrentDeferredRevenue,annualOtherShortTermInvestments,trailingBasicEPS
1985-06-30,,,,,,,,,,,,,148500000.0,,,0.26,,,,,,,,,,,,,,148500000.0,,,,,,,,,,,,,,,,,,,,,,148500000.0,,,,,,,,,,,,,,61103000.0,,,,,,,,,,,,,,,,,,,,,,,,,,15700000.0,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61103000.0,,,,,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,,149200000.0,,,0.25,,,,,,,,,,,,,,149200000.0,,,,,,,,,,,,,,,,,,,,,,149200000.0,,,,,,,,,,,,,,61352000.0,,,,,,,,,,,,,,,,,,,,,,,,,,14900000.0,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61352000.0,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,,,0.0,2500000.0,,591300000.0,,280400000.0,,48500000.0,,92100000.0,-350000000.0,,,,,0.0,,,,,,,30100000.0,,,,,-350000000.0,122600000.0,,,59700000.0,,,,,310500000.0,175300000.0,92500000.0,,,,218800000.0,360800000.0,0.97,,61546392.0,1500000.0,122600000.0,149200000.0,,,17700000.0,100000.0,,,360800000.0,48500000.0,17700000.0,59700000.0,0.0,,,,,1000000.0,,,206000000.0,59700000.0,61546392.0,337300000.0,30100000.0,,,,,,,,310500000.0,,,459900000.0,,52100000.0,,,337300000.0,14800000.0,-77200000.0,,12300000.0,1500000.0,1500000.0,,,,98100000.0,,,113100000.0,,99100000.0,,310900000.0,22400000.0,92500000.0,,,,98100000.0,0.0,113100000.0,,2500000.0,,,,,,,,1000000.0,104900000.0,12300000.0,,,100000.0,,,,,1500000.0,,2700000.0,,,90000000.0,,,111800000.0,,459900000.0,,,,99100000.0,175300000.0,,,,-77200000.0,,,,,,,,,,,,,,,0.97,,,,,,,90000000.0,0.0,,,,,,,,,,,,,,,,,,,
1986-03-31,,,,,,,,,,,,,157300000.0,,,0.27,,,,,,,,,,,,,,157300000.0,,,,,,,,,,,,,,,,,,,,,,157300000.0,,,,,,,,,,,,,,61361000.0,,,,,,,,,,,,,,,,,,,,,,,,,,16700000.0,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61361000.0,,,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,,168600000.0,,,0.29,,,,,,,,,,,,,,168600000.0,,,,,,,,,,,,,,,,,,,,,,168600000.0,,,,,,,,,,,,,,61388000.0,,,,,,,,,,,,,,,,,,,,,,,,,,17600000.0,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61388000.0,,,,,,,,,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,,,,,166500000.0,,,0.25,,,,,,,,,,,,,,166500000.0,,,,,,,,,,,,,,,,,,,,,,166500000.0,,,,,,,,,,,,,,61798000.0,,,,,,,,,,,,,,,,,,,,,,,,,,15400000.0,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61798000.0,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,,,0.0,4300000.0,,670100000.0,,323300000.0,,13500000.0,,101400000.0,-391000000.0,,,,,0.0,,,,,,,31300000.0,,,,,-391000000.0,143600000.0,,,65500000.0,,,,,348400000.0,203100000.0,112300000.0,,,,245400000.0,392200000.0,1.06,,61792453.0,27300000.0,143600000.0,177700000.0,,,16100000.0,-100000.0,,,392200000.0,13500000.0,16100000.0,65500000.0,0.0,,,,,0.0,,,230500000.0,65500000.0,61792453.0,383000000.0,31300000.0,,,,,,,,348400000.0,,,526600000.0,,61000000.0,,,383000000.0,15900000.0,-88000000.0,,15300000.0,27300000.0,27300000.0,,,,115100000.0,,,124800000.0,,134400000.0,,346800000.0,27700000.0,112300000.0,,,19300000.0,115100000.0,0.0,124800000.0,,4300000.0,,,,19300000.0,,,,0.0,116300000.0,15300000.0,,,-100000.0,,,,,27300000.0,,2700000.0,,,108000000.0,,,126500000.0,,526600000.0,,,,134400000.0,203100000.0,,,,-88000000.0,,,,,,,,,,,,,,,1.06,,,,,,,108000000.0,0.0,,,,,,,,,,,,,,,,,,,
1987-03-31,,,,,,,,,,,,,185500000.0,,,0.35,,,,,,,,,,,,,,185500000.0,,,,,,,,,,,,,,,,,,,,,,185500000.0,,,,,,,,,,,,,,61853000.0,,,,,,,,,,,,,,,,,,,,,,,,,,21500000.0,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61853000.0,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-30,,,,,,,,,,,,,184600000.0,,,0.34,,,,,,,,,,,,,,184600000.0,,,,,,,,,,,,,,,,,,,,,,184600000.0,,,,,,,,,,,,,,61853000.0,,,,,,,,,,,,,,,,,,,,,,,,,,20900000.0,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61853000.0,,,,,,,,,,,,,,,,,,,,,,,,
1987-09-30,,,,,,,,,,,,,189100000.0,,,0.35,,,,,,,,,,,,,,189100000.0,,,,,,,,,,,,,,,,,,,,,,189100000.0,,,,,,,,,,,,,,62174000.0,,,,,,,,,,,,,,,,,,,,,,,,,,22200000.0,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62174000.0,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,,,0.0,3400000.0,,754300000.0,,360500000.0,,8400000.0,,125100000.0,-434100000.0,,,,,0.0,,,,,,,26900000.0,,,,,-434100000.0,158300000.0,,,88600000.0,,,,,407900000.0,227300000.0,131400000.0,,,,268700000.0,470500000.0,1.42,,62394366.0,64600000.0,158300000.0,195100000.0,,,12600000.0,100000.0,,,470500000.0,8400000.0,12600000.0,88600000.0,0.0,,,,,0.0,,,252100000.0,88600000.0,62394366.0,457500000.0,26900000.0,,,,,,,,407900000.0,,,615800000.0,,67200000.0,,,457500000.0,23900000.0,-99200000.0,,14200000.0,64600000.0,64600000.0,,,,128100000.0,,,120100000.0,,145300000.0,,393800000.0,33500000.0,131400000.0,,,17200000.0,128100000.0,0.0,120100000.0,,3400000.0,,,,17200000.0,,,,0.0,141700000.0,14200000.0,,,100000.0,,,,,64600000.0,,2800000.0,,,128000000.0,,,155800000.0,,615800000.0,,,,145300000.0,227300000.0,,,,-99200000.0,,,,,,,,,,,,,,,1.42,,,,,,,128000000.0,0.0,,,,,,,,,,,,,,,,,,,
1988-03-31,,,,,,,,,,,,,215300000.0,,,0.47,,,,,,,,,,,,,,215300000.0,,,,,,,,,,,,,,,,,,,,,,215300000.0,,,,,,,,,,,,,,62513000.0,,,,,,,,,,,,,,,,,,,,,,,,,,29800000.0,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62513000.0,,,,,,,,,,,,,,,,,,,,,,,,
1988-06-30,,,,,,,,,,,,,219200000.0,,,0.47,,,,,,,,,,,,,,219200000.0,,,,,,,,,,,,,,,,,,,,,,219200000.0,,,,,,,,,,,,,,62513000.0,,,,,,,,,,,,,,,,,,,,,,,,,,29100000.0,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62513000.0,,,,,,,,,,,,,,,,,,,,,,,,
1988-09-30,,,,,,,,,,,,,208900000.0,,,0.43,,,,,,,,,,,,,,208900000.0,,,,,,,,,,,,,,,,,,,,,,208900000.0,,,,,,,,,,,,,,62666000.0,,,,,,,,,,,,,,,,,,,,,,,,,,27200000.0,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62666000.0,,,,,,,,,,,,,,,,,,,,,,,,
