,annualRetainedEarnings,quarterlyTotalNonCurrentAssets,annualNetIncome,annualNetOtherInvestingChanges,quarterlyLongTermDebt,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,annualAccountsReceivable,quarterlyBasicAverageShares,quarterlyFreeCashFlow,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,trailingChangeInWorkingCapital,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,annualPretaxIncome,annualCommonStockIssuance,trailingSaleOfInvestment,annualInvestingCashFlow,trailingCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualOperatingIncome,annualAccountsPayable,trailingInvestingCashFlow,quarterlyInvestmentsAndAdvances,annualTotalRevenue,annualPurchaseOfInvestment,trailingChangeInAccountPayable,annualOtherNonCashItems,quarterlySellingGeneralAndAdministration,trailingTotalRevenue,annualStockholdersEquity,annualOtherCurrentAssets,trailingPurchaseOfInvestment,annualLongTermDebt,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTaxProvision,annualDepreciationAndAmortization,annualTotalAssets,quarterlyEndCashPosition,quarterlyInventory,quarterlyOtherIncomeExpense,trailingEndCashPosition,annualCurrentAccruedExpenses,annualCurrentLiabilities,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,annualCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDilutedEPS,trailingOperatingCashFlow,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,trailingOtherIncomeExpense,quarterlyChangeInAccountPayable,annualIncomeTaxPayable,quarterlyCashDividendsPaid,trailingOperatingIncome,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,annualInvestmentsAndAdvances,annualSaleOfInvestment,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,annualOperatingCashFlow,annualEbitda,annualNetPPE,annualCurrentAssets,trailingPretaxIncome,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualGrossPPE,trailingNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,annualBeginningCashPosition,quarterlyChangeInInventory,annualOtherNonCurrentLiabilities,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,annualInterestExpense,annualBasicAverageShares,trailingChangesInAccountReceivables,annualSellingGeneralAndAdministration,quarterlyOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyCapitalStock,annualCapitalExpenditure,trailingDeferredIncomeTax,trailingRepaymentOfDebt,annualOtherIncomeExpense,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,annualBasicEPS,annualTotalNonCurrentAssets,trailingCapitalExpenditure,annualRepaymentOfDebt,trailingGrossProfit,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,trailingInterestExpense,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyNetPPE,annualNetOtherFinancingCharges,annualChangeInInventory,quarterlyTaxProvision,annualInventory,trailingChangeInInventory,trailingTaxProvision,quarterlyEbitda,trailingNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,trailingDepreciationAndAmortization,annualCostOfRevenue,trailingOtherNonCashItems,annualCapitalStock,annualCurrentDebt,annualOperatingExpense,quarterlyPretaxIncome,annualFreeCashFlow,quarterlyCurrentAssets,annualGrossProfit,trailingFreeCashFlow,trailingOperatingExpense,annualAccumulatedDepreciation,quarterlyRepurchaseOfCapitalStock,annualDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyOperatingCashFlow,quarterlyBasicEPS,quarterlyOtherNonCashItems,annualChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyCapitalExpenditure,trailingNetIncomeContinuousOperations,trailingCostOfRevenue,quarterlyCashFlowFromContinuingFinancingActivities,annualDilutedAverageShares,annualChangesInAccountReceivables,annualDilutedEPS,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,trailingBeginningCashPosition,annualTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyGrossPPE,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,trailingSellingGeneralAndAdministration,trailingBasicAverageShares,quarterlyGoodwill,quarterlyStockBasedCompensation,annualResearchAndDevelopment,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,annualOtherIntangibleAssets,annualNonCurrentDeferredRevenue,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingStockBasedCompensation,annualCurrentDeferredRevenue,annualStockBasedCompensation,annualPurchaseOfBusiness,annualGoodwill,quarterlyPurchaseOfBusiness,trailingCashDividendsPaid,annualOtherShortTermInvestments,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,trailingRepurchaseOfCapitalStock,trailingDilutedAverageShares
488937600,,,,,,,,,,323462000.0,,,,,,,,,,,,,,,266100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323462000.0,,,,,,,,2024200000.0,,,,,,,,,,,,,,,,,,,,,,0.7,,,2024200000.0,,,,,,,,,2024200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496886400,,,,,,,,,,329033000.0,,,,,,,,,,,,,,,278200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329033000.0,,,,,,,,2167400000.0,,,,,,,,,,,,,,,,,,,,,,0.72,,,2167400000.0,,,,,,,,,2167400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504835200,,,1030800000.0,,,,,,,,,,,,,,,,,,,,,,234300000.0,,8431000000.0,,,,8431000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8431000000.0,,,,,,,,866500000.0,,,,,,,,,,326981132.0,,,,,,,,,,,,,2.65,,,,,,,,,,,,,,,,,,,2066900000.0,,,1030800000.0,,,,,,,,,,,,,,,,,,,,,,2066900000.0,,,,,,326981132.0,,2.65,2066900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512611200,,,,,,,,,,337348000.0,,,,,,,,,,,,,,,280300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337348000.0,,,,,,,,2011600000.0,,,,,,,,,,,,,,,,,,,,,,0.7,,,2011600000.0,,,,,,,,,2011600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520473600,,,,,,,,,,337348000.0,,,,,,,,,,,,,,,265300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337348000.0,,,,,,,,1876700000.0,,,,,,,,,,,,,,,,,,,,,,0.63,,,1876700000.0,,,,,,,,,1876700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528422400,,,,,,,,,,360552000.0,,,,,,,,,,,,,,,299600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360552000.0,,,,,,,,2000900000.0,,,,,,,,,,,,,,,,,,,,,,0.73,,,2000900000.0,,,,,,,,,2000900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536371200,,,1081200000.0,,,,,,,,,,,,,,,,,,,,,,236000000.0,,7816700000.0,,,,7816700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7816700000.0,,,,,,,,925000000.0,,,,,,,,,,355769231.0,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,1927500000.0,,,1081200000.0,,,,,,,,,,,,,,,,,,,,,,1927500000.0,,,,,,355769231.0,,2.6,1927500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544147200,,,,,,,,,,368127000.0,,,,,,,,,,,,,,,90300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368127000.0,,,,,,,,1752200000.0,,,,,,,,,,,,,,,,,,,,,,0.17,,,1752200000.0,,,,,,,,,1752200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552009600,,,,,,,,,,368127000.0,,,,,,,,,,,,,,,153500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368127000.0,,,,,,,,1774700000.0,,,,,,,,,,,,,,,,,,,,,,0.33,,,1774700000.0,,,,,,,,,1774700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559958400,,,,,,,,,,368127000.0,,,,,,,,,,,,,,,204500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368127000.0,,,,,,,,1827900000.0,,,,,,,,,,,,,,,,,,,,,,0.47,,,1827900000.0,,,,,,,,,1827900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567907200,,,597200000.0,,,,,,,,,,,,,,,,,,,,,,148900000.0,,7185700000.0,,,,7185700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7185700000.0,,,,,,,,486400000.0,,,,,,,,,,377054264.0,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,,,,1830900000.0,,,597200000.0,,,,,,,,,,,,,,,,,,,,,,1830900000.0,,,,,,377054264.0,,1.29,1830900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575769600,,,,,,,,,,388309000.0,,,,,,,,,,,,,,,136700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388309000.0,,,,,,,,1869600000.0,,,,,,,,,,,,,,,,,,,,,,0.28,,,1869600000.0,,,,,,,,,1869600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583632000,,,,,,,,,,388309000.0,,,,,,,,,,,,,,,146500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388309000.0,,,,,,,,1766600000.0,,,,,,,,,,,,,,,,,,,,,,0.3,,,1766600000.0,,,,,,,,,1766600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591580800,,,,,,,,,,403717000.0,,,,,,,,,,,,,,,240600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403717000.0,,,,,,,,1966000000.0,,,,,,,,,,,,,,,,,,,,,,0.53,,,1966000000.0,,,,,,,,,1966000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599529600,,,62100000.0,,,,,,,,,,,,,,,,,,,,,,-461700000.0,,7645700000.0,,,,7645700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7645700000.0,,,,,,,,-40400000.0,,,,,,,,,,404000000.0,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,2043500000.0,,,62100000.0,,,,,,,,,,,,,,,,,,,,,,2043500000.0,,,,,,404000000.0,,-0.1,2043500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607305600,,,,,,,,,,411443000.0,,,,,,,,,,,,,,,244400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411443000.0,,,,,,,,2109100000.0,,,,,,,,,,,,,,,,,,,,,,0.53,,,2109100000.0,,,,,,,,,2109100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615168000,,,,,,,,,,421600000.0,,,,,,,,,,,,,,,236200000.0,236200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,210800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421600000.0,,,,,,,,2086500000.0,,,,,,,,,,,,,,,,,,,,,,0.5,,,2086500000.0,,,,,,,,,2086500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623116800,,,,,,,,,,422753623.0,,,,,,,,,,,,,,,317000000.0,317000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,291700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422753623.0,,,,,,,,2245900000.0,,,,,,,,,,,,,,,,,,,,,,0.69,,,2245900000.0,,,,,,,,,2245900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631065600,,,900600000.0,,,,,,,,,,,,,,,,,,,,,,103000000.0,103000000.0,8588300000.0,,,,8588300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78100000.0,,,,,,,,,,,,,,8588300000.0,,,,,,,,799500000.0,,,,,,,,,,420789474.0,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,2146800000.0,,,900600000.0,,,,,,,,,,,,,,,,,,,,,,2146800000.0,,,,,,420789474.0,,1.9,2146800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638841600,,,,,,,,,,431627907.0,,,,,,,,,,,,,,,210400000.0,210400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,185600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431627907.0,,,,,,,,2247800000.0,,,,,,,,,,,,,,,,,,,,,,0.43,,,2247800000.0,,,,,,,,,2247800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646704000,,,,,,,,,,428484848.0,,,,,,,,,,,,,,,166200000.0,166200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,141400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428484848.0,,,,,,,,2172600000.0,,,,,,,,,,,,,,,,,,,,,,0.33,,,2172600000.0,,,,,,,,,2172600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654652800,,,,,,,,,,420113636.0,,,,,,,,,,,,,,,394200000.0,394200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,369700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420113636.0,,,,,,,,2597700000.0,,,,,,,,,,,,,,,,,,,,,,0.88,,,2597700000.0,,,,,,,,,2597700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
